Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
11,"A processor uses 2-level page tables for virtual to physical address translation. Page tables for both levels are stored in the main memory. Virtual and physical addresses are both 32 bits wide. The memory is byte addressable. For virtual to physical address translation, the 10 most significant bits of the virtual address are used as index into the first level page table while the next 10 bits are used as index into the second level page table. The 12 least significant bits of the virtual address are used as offset within the page. Assume that the page table entries in both levels of page tables are 4 bytes wide. Further, the processor has a translation look-aside buffer (TLB), with a hit rate of 96%. The TLB caches recently used virtual page numbers and the corresponding physical page numbers. The processor also has a physically addressed cache with a hit rate of 90%. Main memory access time is 10 ns, cache access time is 1 ns, and TLB access time is also 1 ns.  	 Assuming that no page faults occur, the average time taken to access a virtual address is approximately (to the nearest 0.5 ns)",,1.5 ns,,2 ns,,3 ns,,4 ns,,D,MCQ,"The possibilities are TLB Hit*Cache Hit + TLB Hit*Cache Miss + TLB Miss*Cache Hit + TLB Miss*Cache Miss = 0.96*0.9*2 + 0.96*0.1*12 + 0.04*0.9*22 + 0,04*0.1*32 = 3.8 ≈ 4 Why 22 and 32? 22 is because when TLB miss occurs it takes 1ns and the for the physical address it has to go through two level page tables which are in main memory and takes 2 memory access and the that page is found in cache taking 1 ns which gives a total of 22",
12,Using a larger block size in a fixed block size file system leads to :,,better disk throughput but poorer disk space utilization,,better disk throughput and better disk space utilization,,poorer disk throughput but better disk space utilization,,poorer disk throughput and poorer disk space utilization,,A,MCQ,"Using larger block size makes disk utilization poorer as more space would be wasted for small data in a block.  It may make throughput better as the number of blocks would decrease. A larger block size guarantees that more data from a single file can be written or read at a time into a single block without having to move the disk ́s head to another spot on the disk. The less time you spend moving your heads across the disk, the more continuous reads/writes per second. The smaller the block size, the more frequent it is required to move before a read/write can occur. Larger block size means less number of blocks to fetch and hence better throughput. But larger block size also means space is wasted when only small size is required and hence poor utilization.",
13,The cube root of a natural number n is defined as the largest natural number m such that m 3 ≤ n. The complexity of computing the cube root of n (n is represented in binary notation) is:,,O(n) but not O(n 0.5 ),,O(n 0.5 ) but not O((log n) k ) for any constant k > 0,,"O((log n) k ) for some constant k > 0, but not O ((log log n) m ) for any constant m > 0",,"O((log log n) m ) for some constant k > 0.5, but not O((log log n) 0.5 )",,C,MCQ,,
14,"In the following C program fragment, j, k n and TwoLog_n are integer variables, and A is an array of integers. The variable n is initialized to an integer ≥ 3, and TwoLog_n is initialized to the value of 2*⌈log2(n)⌉ C for ( k = 3 ; k < = n ; k ++ ) A [ k ] = 0 ; for ( k = 2 ; k < = TwoLog_n ; k ++ ) for ( j = k + 1 ; j < = n ; j ++ ) A [ j ] = A [ j ] || ( j % k ); for ( j = 3 ; j < = n ; j ++ ) if ( ! A [ j ]) printf ( ""%d"" , j ); The set of numbers printed by this program fragment is",,"{m | m ≤ n, (∃ i) [m = i!]} Here i! mean factorial of i",,"{m | m ≤ n, (∃ i) [m = i 2 ]}",,"{m | m ≤ n, m is prime}",,Last print never executes,,D,MCQ,Option (D) is correct because if take n=4 then TwoLog_n value 4. first loop initially A[3]=A[4]=0; then two loop k = 2 to 4 and j = 3 to 4 if k=2 j=3  A[3] = A[3] || (3%2) = 0 || 1 A[3] = 1 j=4  A[4] = A[4] || (4%2) = 0 || 0 A[4] = 0 K=3 j=4  A[4] = A[4] || (4%3) = 0 || 1 A[4] = 1 K=4 J=5 condition false means terminate A[3] = A[4] = 1 Means last print loop never execute.,
15,"In a permutation a1.....an of n distinct integers, an inversion is a pair (ai, aj) such that i < j and ai > aj. If all permutations are equally likely, what is the expected number of inversions in a randomly chosen permutation of 1.....n ?",,n(n - 1)/2,,n(n - 1)/4,,n(n + 1)/4,,2n[log2 n],,B,MCQ,"There are n(n-1)/2 pairs such that i < j. For a pair (ai, aj), probability of being inversion is 1/2. Therefore expected value of inversions = 1/2 * (n(n-1)/2) = n(n-1)/4",
16,"The following are the starting and ending times of activities A, B, C, D, E, F, G and H respectively in chronological order: ""a s b s c s a e d s c e e s f s b e d e g s e e f e h s g e h e ""  Here, x s denotes the starting time and x e denotes the ending time of activity X. W need to schedule the activities in a set of rooms available to us. An activity can be scheduled in a room only if the room is reserved for the activity for its entire duration. What is the minimum number of rooms required ?",,3,,4,,5,,6,,B,MCQ,Room1 - As Room2 - Bs Room3 - As now A ends (Ae) and now Room3 is free Room3-Ds now A ends (Ae) and Room1 is free Room1-Es Room4-Fs now B ends Room2 is free now D ends Room3 is free Room2-Gs now E ends Room1 free now F ends Room4 free Room1-Hs now G and H ends. Totally used 4 rooms,
17,"A data structure is required for storing a set of integers such that each of the following operations can be done in (log n) time, where n is the number of elements in the set. o	Delection of the smallest element o	Insertion of an element if it is not already present in the set Which of the following data structures can be used for this purpose?",,A heap can be used but not a balanced binary search tree,,A balanced binary search tree can be used but not a heap,,Both balanced binary search tree and heap can be used,,Neither balanced binary search tree nor heap can be used,,B,MCQ,"First we’ll discuss about heap and balanced bst and its time complexities for basic operations like insertion, deletion, find. Heap:- Let us consider it as min heap 1) Insertion: O(logn) 2) Delete Min: O(logn) (Just replace root with INT_MAX and heapify) 3) Find: O(n) Balanced BST:- 1) Insertion: O(logn) 2) Delete Min: O(logn) 3) Find: O(logn) Statement 1: 1) Deletion of smallest element can be done in O(logn) in both data structures Statement 2: 1) Insertion of an element if it is not already present in the set In heap, we can perform this operation in O(n) because we have to perform linear search here, where as in BST we can perform this in O(logn)",
18,"Ram and Shyam have been asked to show that a certain problem Π is NP-complete. Ram shows a polynomial time reduction from the 3-SAT problem to Π, and Shyam shows a polynomial time reduction from Π to 3-SAT. Which of the following can be inferred from these reductions ?",,Π is NP-hard but not NP-complete,,"Π is in NP, but is not NP-complete",,Π is NP-complete,,"Π is neither NP-hard, nor in NP",,C,MCQ,"Since polynomial time reduction from the 3-SAT problem to Π is possible, it is NP hard.  Since polynomial time reduction from Π  to 3-SAT is possible, it is NP-Complete.",
19,Consider the following recurrence relation The value of T(m 2 ) for m ≥ 1 is,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/b4f5db11548691d4-O5JxeKhW9fRcFM1toU2OI8s8pqjYcZ.png,(m/6) (21m - 39) + 4,,(m/6) (4m 2 - 3m + 5),,(m/2) (m 2.5 - 11m + 20) - 5,,(m/6) (5m 3 - 34m 2 + 137m - 104) + (5/6),,B,MCQ,"One easy way to solve this is to try putting different values of m. For example, we know T(1) = 1. If we put m = 1, only A and B satisfy the result. m = 2 T(2) = T(1) + 1 = 2 T(3) = T(2) + 1 = 3 T(4) = T(3) + 2 = 5 Both A & B produce 5 m = 3 T(9) = T(4) + 2*5 + 1 = 5 + 10 + 1 = 16 Both A & B produce 16 m = 4 T(16) = T(9) + 3*7 + 1 = 16 + 21 + 1 = 38 Only B produces 38, A produces 34 which doesn't match",
20,"Let G = (V, E) be an undirected graph with a subgraph G1 = (V1, El). Weights are assigned to edges of G as follows : A single-source shortest path algorithm is executed on the weighted graph (V, E, w) with an arbitrary vertex ν1 of V1 as the source. Which of the following can always be inferred from the path costs computed?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/22c0d9dabf2fb38b-Vuf0vRfhlThyOwLNnwCQmGHPNgx5Lz.png,The number of edges in the shortest paths from ν1 to all vertices of G,,G1 is connected,,V1 forms a clique in G,,G1 is a tree,,B,MCQ,"When shortest path shortest path from v1 (one of the vertices in V1) is computed.  G1 is connected if the distance from v1 to any other vertex in V1 is greater than 0, otherwise G1 is disconnected.",
21,"Let G (V, E) be a directed graph with n vertices. A path from v i to v j in G is sequence of vertices (v i , v i+1 , ......., v j ) such that (vk, v k+1 ) ∈ E for all k in i through j - 1. A simple path is a path in which no vertex appears more than once. Let A be an n x n array initialized as follow Consider the following algorithm. for i = 1 to n for j = 1 to n for k = 1 to n A [j , k] = max (A[j, k] (A[j, i] + A [i, k]); Which of the following statements is necessarily true for all j and k after terminal of the above algorithm ?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/3badb9b072666c0c-q2g9zK0agPLOfmUNoOp8Q4jwE0tZVa.png,"A[j, k] ≤ n",,"If A[j, k] ≥ n - 1, then G has a Hamiltonian cycle",,"If there exists a path from j to k, A[j, k] contains the longest path lens from j to k",,"If there exists a path from j to k, every simple path from j to k contain most A[j, k] edges",,D,MCQ,"In the original input matrix,  A[j , k] is 1 if there is an edge from j to k, else 0. Below expression is important to note: A[j , k] = max(A[j, k] (A[j, i] + A [i, k]); This expression puts the count of maximum edges on a path from j to k.  In this expression, we consider every vertex k that can become an intermediate vertex and can give longer path.",
22,What is the weight of a minimum spanning tree of the following graph? Figure,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/f69ce1844b775fcf-Y3qygq21CMke9n0ZrH7Ef9CdDE51Gb.webp,29,,31,,38,,41,,D,MCQ,"Correct Answer: (d) 41 This is the total weight of the Minimum Spanning Tree (MST) for the given graph, likely computed using Kruskal’s or Prim’s Algorithm .",
23,"Consider the following functional dependencies in a database: Data_of_Birth → Age Age → Eligibility Name → Roll_number Roll_number → Name Course_number → Course_name Course_number → Instructor (Roll_number, Course_number) → Grade The relation (Roll_number, Name, Date_of_birth, Age) is:",,In second normal form but not in third normal form,,In third normal form but not in BCNF,,In BCNF,,None of the above,,D,MCQ,The given table is not in 2NF as age is dependent on date of birth.,
24,"Consider the set of relations shown below and the SQL query that follows. Students: (Roll_number, Name, Date_of_birth) Courses: (Course number, Course_name, Instructor) Grades: (Roll_number, Course_number, Grade) select distinct Name from Students, Courses, Grades where Students. Roll_number = Grades.Roll_number and Courses.Instructor = Korth and Courses.Course_number = Grades.Course_number and Grades.grade = A Which of the following sets is computed by the above query?",,Names of students who have got an A grade in all courses taught by Korth,,Names of students who have got an A grade in all courses,,Names of students who have got an A grade in at least one of the courses taught by Korth,,None of the above,,C,MCQ,"The query gives the name of all the students who have scored ""A"" grade in any of the courses that are taught by Korth. So, C is the correct choice.",
25,"Consider the following SQL query select distinct al, a2,........., an from r1, r2,........, rm where P For an arbitrary predicate P, this query is equivalent to which of the following relational algebra expressions ? A: [Tex]\prod_{a_{1},a_{2},...a_{n}}\sigma_{\rho} (r_{1}\times r_{2}\times r_{3}....\times r_{m})[/Tex] B: [Tex]\prod_{a_{1},a_{2},...a_{n}}\sigma_{\rho} (r_{1}\bowtie r_{2}\bowtie r_{3}....\bowtie r_{m})[/Tex] C: [Tex]prod_{a_{1},a_{2},...a_{n}}\sigma_{\rho} (r_{1}\cup r_{2}\cup r_{3}....\cup r_{m}[/Tex] D: [Tex]prod_{a_{1},a_{2},...a_{n}}\sigma_{\rho} (r_{1}\cap r_{2}\cap r_{3}....\cap r_{m})[/Tex]",,A,,B,,C,,D,,A,MCQ,"Cross product (x) combines the tuples of one relation with all the tuples of the other relation. Thus, tuples of relation r1, r2 …. rn are combined. Select operator [Tex]\sigma[/Tex] is used to select resultant tuples. Projection operator [Tex]\prod_{a_{1},a_{2},...a_{n}}[/Tex] is used to select a subset of  attributes from the resultant tuples by specifying the names of the attributes. So attributes a1, a2, an are projected from the resultant tuples. Thus, option (A) is correct.",
26,"Consider three data items D1, D2 and D3 and the following execution schedule of transactions T1, T2 and T3. In the diagram, R(D) and W(D) denote the actions reading and writing the data item D respectively. Which of the following statements is correct?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/d690aa1d370dd74d-tBNW7txxu8W2OEYp3mJZM1m4TUnsZs.png,The schedule is serializable as T2; T3; T1,,The schedule is serializable as T2; T1; T3,,The schedule is serializable as T3; T2; T1,,The schedule is not serializable,,D,MCQ,"T1 and T2 have conflicting operations between them forming a cycle in the precedence graph.  R(D2) of T2, and W(D2) of T1 ( Read-Write Conflict) R(D1) of T1, and W(D1) of T2 ( Read-Write Conflict)  Hence in the precedence graph of the schedule there would be a cycle between T1 and T2 vertices. Therefore not a serializable schedule.",
27,Which of the following scenarios may lead to an irrecoverable error in a database system ?,,A transaction writes a data item after it is read by an uncommitted transaction,,A transaction reads a data item after it is read by an uncommitted transaction,,A transaction reads a data item after it is written by a committed transaction,,A transaction reads a data item after it is written by an uncommitted transaction,,D,MCQ,"Option C is a normal operation.  Option B is also fine as no write operation is involved.  Option A can be recovered, but option D can't be.",
28,"Let P(E) denote the probability of the event E. Given P(A) = 1, P(B) = 1/2, the values of P(A | B) and P(B | A) respectively are",,"1/4, 1/2",,"1/2, 1/14",,"1/2, 1",,"1, 1/2",,D,MCQ,"Given, [Tex]P(A) = 1[/Tex] , [Tex]P(B) = \frac{1}{2}[/Tex] We need to find the conditional probability of two given events without being told about [Tex]P(A\\cap B)[/Tex] . Also it is not mentioned that they are independent events. But since [Tex]P(A)[/Tex] is 1, it means that [Tex]A[/Tex] covers the complete sample space. So, [Tex]P(A\cap B) = P(B) = \frac{1}{2}[/Tex] [Tex]P(A|B) = \frac{P(A\cap B)}{P(B)} = \frac{1/2}{1/2} = 1\\\\P(B|A) = \frac{P(A\cap B)}{P(A)} = \frac{1/2}{1} = \frac{1}{2}[/Tex]",
29,"A program consists of two modules executed sequentially. Let f1(t) and f2(t) respectively denote the probability density functions of time taken to execute the two modules. The probability density function of the overall time taken to execute the program is given by : A) [Tex] f_{1}(t)+f_{2}(t)[/Tex] B) [Tex]\int_{0}^{t}f_{1}(x)f_{2}(x)dx[/Tex] C) [Tex]\int_{0}^{t}f_{1}(x)f_{2}(t-x)dx[/Tex] D) [Tex]max\left \{ f_{1}(t),f_{2}(t) \right \}[/Tex]",,A,,B,,C,,D,,C,MCQ,"We assume the total time to be ‘t’ units  and f1 executes for 'x’ units.  Since, f1(t) and f2(t) are executed sequentially.  So, f2 is executed for ‘t – x’ units. We apply convolution on the sum of two independent random variables to get probability density function of the overall time taken to execute the program. f1(t) * f2(t – x) = [Tex]\int_{0}^{t}f_{1}(x)f_{2}(t-x)dx[/Tex] Thus, option (C) is correct.",
30,"Let f : A → B be an injective (one-to-one) function. Define g : 2 A → 2 B as : g(C) = {f(x) | x ∈ C}, for all subsets C of A. Define h : 2 B → 2 A as : h(D) = {x | x ∈ A, f(x) ∈ D}, for all subsets D of B. Which of the following statements is always true ?",,g(h(D)) ⊆ D,,g(h(D)) ⊇ D,,g(h(D)) ∩ D = ф,,g(h(D)) ∩ (B - D) ≠ ф,,A,MCQ,,
31,"Let ∑ = {a, b, c, d, e} be an alphabet. We define an encoding scheme as follows : g(a) = 3, g(b) = 5, g(c) = 7, g(d) = 9, g(e) = 11. Let p i denote the i-th prime number (p 1 = 2). For a non empty string s = a 1 , a 2 , ..., a n , where each a i ∈ ∑, define For a non-empty sequence ⟨s j , …, s n ⟩ of strings from Σ + , define Which of the following numbers is the encoding, h, of a non-empty sequence of strings?","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/68dc6e4380168d4e-MFAbHo9CityuyQuzofWHrZuHmeE2lL.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/020b4846769d8421-KpE3e7q8SSvqjfgXmRtcdX3RHAgKYS.png",2 7 3 7 5 7,,2 8 3 8 5 8,,2 9 3 9 5 9,,2 10 5 10 7 10,,B,MCQ,"Since, the answer is a product of three prime numbers 2, 3 and 5. So, we have three non-empty sequence of strings : ""a"", ""a"" and ""a"". f(s) = 2 x for some x Since, 7 and 9  are not multiple of 2. So, options (A) and (C) are eliminated. f(a) = 2 3 = 8 h = 2 8 3 8 5 8 Thus, option (B) is correct.",
32,"Consider the set ∑* of all strings over the alphabet ∑ = {0, 1}. ∑* with the concatenation operator for strings",,does not form a group,,forms a non-commutative group,,does not have a right identity element,,forms a group if the empty string is removed from ∑*,,A,MCQ,"The given set with the concatenation operator forms a Monoid as it follows the properties of Closure, Associativity and has an identity element(null string). It is not a Group since no element has an inverse element i.e. there is no string S for another string R such that S*R = null string.",
33,"Let (5, ≤) be a partial order with two minimal elements a and b, and a maximum element c. Let P : S → {True, False} be a predicate defined on S. Suppose that P(a) = True, P(b) = False and P(x) ⇒ P(y) for all x, y ∈ S satisfying x ≤ y, where ⇒ stands for logical implication. Which of the following statements CANNOT be true ?",,P(x) = True for all x ∈ S such that x ≠ b,,P(x) = False for all x ∈ S such that x ≠ a and x ≠ c,,P(x) = False for all x ∈ S such that b ≤ x and x ≠ c,,P(x) = False for all x ∈ S such that a ≤ x and b ≤ x,,D,MCQ,"'a' and 'b' are given as minimal elements. No other element in S is of lower order than either a or b.  'c' is given as maximum element. So, c is of higher order than any other element in S. P(a) = True means all elements 'x' which have an edge from element 'a' have to be true. Since there is an edge from 'a', we have to satisfy formula P(a) => P(x), which can only be done by setting  P(x) = True. Elements which have an edge from b can be anything because formula P(b) => P(x) is satisfied as P(b) = False. (A) This statement is true  because making all elements true trivially satisfy formula P(x) => P(y). (B) This statement is true  if all elements are connected from b then all elements can be false. (C) This statement is true because b<=x ensures  x!=a  and for all other elements P(x) can be false without violating the given implication. (D) This statement is false. Since, P(a) = true , for all 'x' such that a<=x, P(x) must be true. We do have at least one such 'x', which is 'c' as it is the maximum element. Thus, option (D) is the answer.",
34,"Consider the following circuit composed of XOR gates and non-inverting buffers. The non-inverting buffers have delays d1 = 2 ns and d2 = 4 ns as shown in the figure. Both XOR gates and all wires have zero delay. Assume that all gate inputs, outputs and wires are stable at logic level 0 at time 0. If the following waveform is applied at input A, how many transition(s) (change of logic levels) occur(s) at B during the interval from 0 to 10 ns ?","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/3eb529ce1618bd3e-qGD3JFFYDR4dqz16RruO0U1buKATdx.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/c01f649ae890d0e6-YGmsLWI8dExVSvktlZhyPq5nZkYIrX.png",1,,2,,3,,4,,D,MCQ,"As we draw wave forms of different inputs: The 2ns buffer input is shifted form of A The output of first EXOR gate is a single beat of 1 through 3 While this is shifted by the 4ns buffer Which in-turn results in two beats output from the second EXOR gate Hence 4 transitions, so option (D) is correct.",
