Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
11,"Let the set of functional dependencies F = {QR → S, R → P, S → Q} hold on a relation schema X = (PQRS). X is not in BCNF. Suppose X is decomposed into two schemas and Z where Y = (PR) and Z = (QRS). Consider the two statements given below: I. Both Y and Z are in BCNF II. Decomposition of X into Y and Z is dependency preserving and a lossless. Which of the above statements is/are correct?",,I only,,Neither I nor II,,Both I and II,,II only,,D,MCQ,"X(PQRS) {QR → S, R → P, S → Q} decomposed into Y (PR) and Z (QRS). So, Y (PR) Z (QRS) {R → P} Candidate key : {R} So, relation Y in BCNF {QR → S, S → Q} Candidate key : {QR, RS} So, relation Z in 3NF but not BCNF , becasuse of S is not superkey. Since, this decomposition covers all functional dependencies of original relation (X), so decomposition of X into Y and Z is dependency preserving . Also, this decomposition has common attribute (i.e., R) which is superkey of relation Y(PR), so decomposition of X into Y and Z is also lossless join decomposition . Option (D) is correct.",
12,"Which one of the following languages over ∑ = {a, b} is NOT context-free?",,"{a n b i ⏐ i ∈ {n, 3n, 5n}, n≥ 0}",,"{wa n w R b n ⏐ w ∈ {a, b}*, n≥ 0}",,"{ww R ⏐ w ∈ {a, b}*}",,"{wa n b n w R ⏐ w ∈ {a, b}*, n≥ 0}",,B,MCQ,"(A): It is CFL, because we have union of three CFLs, and CFLs are closed under union property . {a n b i ⏐ i ∈ {n, 3n, 5n}, n≥ 0} = a n b n ∪ a n b 3n ∪ a n b 5n We can identify strings of these languages using only one stack. (B): It is not CFL, because you can identify strings of given language using only one stack, you need atleast 2 stacks. There is alternate string matching which is not possible using only one stack. It is context sensitive language but not content free. (C): It is very well known CFL. It is language of palindrome over only two alphabets which can be recognize by using only one stack. (D): It is also CFL, since we can first push w, then a’s, b’s pop with a’s and wR pops with the w. So PDA can accept the language. Option (B) is correct.",
13,"Consider three 4-variable functions f 1 , f 2 and f 3 , which are expressed in sum-of-minterms f 1 = Σ(0, 2, 5, 8, 14) f 2 = Σ(2, 3, 6, 8, 14, 15) f 3 = Σ(2, 7, 11, 14) For the following circuit with one AND gate and one XOR gate, the output function f can be expressed as:",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Question_Images/d71b59ee5487d14e-hJPWDNxago0wlAY2Bfhjo3na3k2nQ0.png,"Σ(7, 8, 11)",,"Σ(2, 14)",,"Σ(0, 2, 3, 5, 6, 7, 8, 11, 14)",,"Σ(2, 7, 8, 11, 14)",,A,MCQ,"According to the circuit diagram: = f 1 ∧ f 2 = Σ(0, 2, 5, 8, 14) ∧ Σ(2, 3, 6, 8, 14, 15) = Σ (2, 8, 14) { i.e., Common minterm } Again, = (f 1 ∧ f 2 ) ⊕ Σ(2, 7, 11, 14) = Σ(2, 8, 14) ⊕ Σ(2, 7, 11, 14) = Σ(7, 8, 11) { i.e., either in first set or in second set but not in both } So, option (A) is correct.",
14,"Suppose that in an IP-over-Ethernet network, a machine X wishes to find the MAC address of another machine Y in its subnet. Which one of the following techniques can be used for this?",,X sends an ARP request packet with broadcast IP address in its local subnet,,X sends an ARP request packet to the local gateway’s MAC address which then finds the MAC address of Y and sends to X,,X sends an ARP request packet with broadcast MAC address in its local subnet,,X sends an ARP request packet to the local gateway’s IP address which then finds the MAC address of Y and sends to X,,C,MCQ,"If a machine X wants to find the MAC address of Y then it will send ARP packet. Since it is used for discovering physical address associated with the given network address. X will send a broadcast message to all host in its network with an intended IP address. This message will be discarded by every host except the one with the intended IP address. Now the receiver will unicast a packet with MAC address (ARP reply). So, option (C) is correct.",
15,"Consider three machines M, N and P with IP addresses 100.10.5.2, 100.10.5.5 and 100.10.5.6 respectively. The subnet mask is set to 255.255.255.252 for all the three machines. Which one of the following is true?",,"M, N and P all belong to the same subnet",,Only N and P belong to the same subnet,,"M, N, and P belong to three different subnets",,Only M and N belong to the same subnet,,B,MCQ,"First, we will do bitwise AND between Subnet mask and given IP address one by one  For M: 100.10.5.2  Bitwise AND: 01100100.00001010.00000101.00000010 (100.10.5.2) AND 11111111.11111111.11111111.11111100 (255.255.255.252) ___________________________________________________________ = 01100100.00001010.00000101.00000000 (100.10.5.0) For N: 100.10.5.5  Bitwise AND: 01100100.00001010.00000101.00000101 (100.10.5.5) AND 11111111.11111111.11111111.11111100 (255.255.255.252) ___________________________________________________________ = 01100100.00001010.00000101.00000100 (100.10.5.4) For P: 100.10.5.2  Bitwise AND: 01100100.00001010.00000101.00000110 (100.10.5.6) AND 11111111.11111111.11111111.11111100 (255.255.255.252) ___________________________________________________________ = 01100100.00001010.00000101.00000100 (100.10.5.4) It is sure from the above computation that N and P belong to the same network (i.e., 100.10.5.4). While M can belong to the same network or it can be from any other network. So, option (B) is correct.",
16,"Consider the following C program: C #include <stdio.h> int r (){ int static num = 7 ; return num -- ; } int main () { for ( r (); r (); r ()) { printf ( ""%d "" , r ()); }; return 0 ; } Which one of the following values will be displayed on execution of the programs?",,41,,52,,63,,630,,B,MCQ,"According to ""for"" loop in C , for (initialization expr; test expr; update expr) { // body of the loop // statements we want to execute } Code will execute as following flow chart, Also, note that there is postdecrement (num – –) in given return statement, so it will return previous value of ""num"" then decrements it by 1. Static will assign memory once  for variable int ""num"" and all the changes will happen here. C #include <stdio.h> int r (){ int static num = 7 ; return num -- ; } int main () { for ( r (); r (); r ()) { printf ( ""%d "" , r ()); }; return 0 ; } Therefore, given code will print: 5 2 . Option (B) is correct.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/34259c1516ba5062-0XBasD768Urqk0XOZeQV5WEmll8MaB.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/c3abfa74996e3c4f-aHTQIUkQsBWt0tSp0nhnlpcbEN2Bj2.png"
17,"Consider the following C program: C void convert ( int n ) { if ( n < 0 ) printf ( “ % d ” , n ); else { convert ( n / 2 ); printf ( “ % d ” , n % 2 ); } } Which one of the following will happen when the function convert is called with any positive integer n as argument?",,It will print the binary representation of n in the reverse order and terminate.,,It will print the binary representation of n but will not terminate,,It will not print anything and will not terminate.,,It will print the binary representation of n and terminate.,,C,MCQ,"Since n is the integer, so it 1/2 = 0.5 = 0 will return because of integer.  0/2 = 0 will cause infinite loop because there is no terminating condition for 0.   So, option (C) is correct. Note: It will print the binary representation of n and terminate, only if condition ""if (n <= 0)"". C #include <stdio.h> void convert ( int n ) { if ( n <= 0 ) printf ( ""%d"" , n ); else { convert ( n / 2 ); printf ( ""%d"" , n % 2 ); }; } int main () { convert ( 16 ); }",
18,"Consider a sequence of 14 elements: A = [-5, -10, 6, 3, -1, -2, 13, 4, -9, -1, 4, 12, -3, 0]. The subsequence sum [Tex]S(i,j) = \sum_{k=i}^{j} A[k][/Tex] . Determine the maximum of S(i,j), where 0 ≤ i ≤ j < 14. (Divide and conquer approach may be used) Note: This was a numerical-type question.",,29,,19,,39,,09,,A,MCQ,"According to largest Sum Contiguous subarray is from index 2 to 11, Max (S(i, j)) = S(2, 11) = 6 + 3 + (-1) + (-2) + 13 + 4 + (-9) + (-1) + 4 + 12 = 29 So, answer is 29 .",
19,Consider the following matrix: The absolute value of the product of Eigenvalues of R is _________ . Note: This was Numerical Type question.,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Question_Images/a0d08ed3712d7f30-cnUbSBOWaenoraM3NDwyxG6wcXP1rs.png,12,,145,,125,,4,,A,MCQ,"The determinant of a matrix is equal to the product of eigenvalues. So, the determinant of above matrix will be calculated as follows: Apply row operation R 2 → R 2 - R 1 and R 3 → R 3 - R 1 and R 4 → R4 - R 1 Apply row operation R 3 → R 3 - 2 * R 2 and R 4 → R 4 - 3 * R 2 Apply row operation R 4 → R 4 - 3 * R 3 So, determinant of above matrix is, = 6 * (2 * (1*1)) = 12 So, answer is 12 .","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/947bb916bbc6aba3-lHDSfJAbD4eIrRnqdo2k78N4e3WCbD.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/0dd9055ebe791529-59hOjoAinEpP8LX3z4PHw1VSC6U1bK.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/7e3a2304441a215b-1UStT8GFm73x9Pl61MaIs7kZLPV0Ec.png"
20,"A certain processor deploys a single-level cache. The cache block size is 8 words and the word size is 4 bytes. The memory system uses a 60 MHz clock. To service a cache-miss, the memory controller first takes 1 cycle to accept the starting address of the block, it then takes 3 cycles to fetch all the eight words of the block, and finally transmits the words of the requested block at the rate of 1 word per cycle. The maximum bandwidth for the memory system when the program running on the processor issues a series of read operations  is  _________  ×  10 6 bytes/sec. Note: This was Numerical Type question.",,160,,128,,256,,320,,A,MCQ,"Total time to transfer a cache block = 1 + 3 + 8 = 12 cycles. 8 W      ----------  12 cycles 8 × 4 bytes --------- 12 cycles ? B ------------ 1 sec So, = { (8*4 bytes) / (12 cycles) } * 60 MHz clock = { (32 bytes) / (12 cycles) } * 60 * 10 6 Hz cycles / second = {(32 * 60) / (12)} bytes / second = 160 bytes / second So, answer is 160 .",
21,"Let T be a full binary tree with 8 leaves. (A full binary tree has every level full.) Suppose two leaves a and b of T are chosen uniformly and independently at random. The expected value of the distance between a and b in T (i.e., the number of edges in the unique path between a and b) is (rounded off to 2 decimal places) ___________ . Note: This was Numerical Type question.",,5.71 to 5.73,,4.85 to 4.86,,2.71 to 2.73,,4.24 to 4.26,,D,MCQ,"Full binary tree with 8 leaf nodes, Two leaf nodes can be selected in 8*8 = 64 ways. Where, X is length between two nodes selected.  The expected value of the length between a and b in T, = E[X] = X * P[X] = 0*(8/64) + 2*(8/64) + 4*(16/64) + 6*(32/64) = 272/64 = 4.25 So, answer is 4.25 . Alternative way: Sum of distances from a particular leaf to the remaining 7 leaves is 34. The sum would remain the same for each leaf node. Therefore total sum of distance of all the leaf nodes = 34*8.   Two leaf nodes can be selected in 8*8 = 64 ways.  Therefore, the expected value of the length between a and b in T, = (34*8) / (8*8) = 34 / 8 = 4.25","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/1a416e53af41a808-hhJLfkLSODB83WiYLztOIagU6ziLFF.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/dab8cf86869ce6d2-gdvUJrAOFJOAxDeWscQ2HPsWIm0gEp.png"
22,"Suppose Y is distributed uniformly in the open interval (1, 6). The probability that the polynomial 3x 2 + 6xY + 3Y + 6 has only real roots is (rounded off to 1 decimal place) _________. Note: This was Numerical Type question.",,0.80,,0.17,,0.20,,1,,A,MCQ,"For a quadratic polynomial ax 2 + bx + c = 0. There are three condition: b 2 - 4ac > 0   {real and distinct root, i.e., two real roots} b 2 - 4ac = 0     {real and equal roots, i.e., only one real root} b 2 - 4ac < 0    {imaginary roots} Polynomial 3x 2 + 6xY + 3Y + 6 has only real roots, ⇒ b 2 – 4ax ≥ 0 ⇒ (6Y) 2 – 4(3) (3Y+ 6) ≥ 0 ⇒ Y 2 – Y + 2 ≥ 0 Y ∈ (–∞, – 1] ∩ [2, ∞) ⇒ Y ∈ [2, 6) Since y is uniformly distributed in (1, 6).  Probability distributed function, f(Y) = (1/5), 1 < y > 6 Hence, So, answer is 0.8 .",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/0a37812ee937b711-4nUkUaz2icsc3UmV1DSntoyJ4inMnP.gif
23,"Let Σ be the set of all bijections from {1, ..., 5} to {1, ..., 5}, where id denotes the identity function,  i.e.  id(j)  =  j,∀j.  Let ° denote composition on functions. For a string x = x 1 x 2 ... x n ∈ Σn, n ≥ 0, let  π(x)  = x 1 °x 2 ° ... °x n . Consider the language L = {x ∈ Σ* ⏐ π(x) = id}. The minimum number of states in any DFA accepting L is _________ . Note: This was Numerical Type question.",,120,,125,,210,,None of these,,A,MCQ,"The DFA for accepting L will have 5! = 120 states, since we need one state for every possible permutation function on 5 elements. So, answer is 120 .",
24,Consider that 15 machines need to be connected in a LAN using 8-port Ethernet switches. Assume that these switches do not have any separate up link ports. The minimum number of switches needed is ___________. Note: This was Numerical Type question.,,3,,4,,5,,6,,A,MCQ,You need at least 3 switches of Ethernet are required to connect 15 computers.,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/005c8ed25bca7f62-grpUvVGBVeMz0YYoNC0NcOsRJN2b1m.png
25,"What is the minimum number of 2-input NOR gates required to implement 4-variable function expressed in sum-of-minterms from as f = Σ(0, 2, 5, 7, 8, 10, 13, 15)? Assume that all the inputs and their complements are available. Answer  ________ . Note: This was Numerical Type question.",,3,,4,,5,,6,,A,MCQ,"K-map for given, f = Σ(0, 2, 5, 7, 8, 10, 13, 15) Therefore, f = BD +B'D' = (B' + D).(B + D') Since all the inputs and their complements are available, so circuit implementation using NOR gate: F can be implemented using 3 NOR gates.  So, option (A) is correct.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/ecaeff02281791e5-srdtIDGHeY751Dxr7mgfweFjwlfLaX.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Explanation_Images/76aaeceb8cbe4a34-YsVSMQ10oSzkBUKPmru283rphkQCHg.png"
26,"In an RSA cryptosystem, the value of the public modulus parameter n is 3007. If it is also is known that φ(n) = 2880, where φ( ) denotes Euler’s Totient Function, then the prime factors of n which is greater than 50  is _________ . Note: This was Numerical Type question.",,97,,31,,37,,91,,A,MCQ,"Given, n = p * q = 3007  ... ... (1) And, φ(n) = (p - 1) * (q - 1) = 2880 ... ... (2) → pq - p - q + 1 = 2880 → 3007 - p - q + 1 = 2880 → p + q = 128 ......(2) Using equation (1) and (2), → (3007 / q) + q = 128 → q 2 - (128*q) + 3007 = 0 On solving the above equation: q = 31, 97 97 is greater than 50.   So, option (A) is correct.",
27,"A relational database contains two tables Student and Performance as shown below: The primary key of the Student table is Roll_no. For the Performance table, the columns Roll_no. and Subject_code together from the primary key. Consider the SQL query given below: SELECT S.Student_name, sum(P.Marks) FROM Student S, Performance P WHERE  P.Marks  >  84 GROUP BY S.Student_name; The number of rows returned by the above SQL query is  _________ . Note: This was Numerical Type question.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Question_Images/56bc0fdecbd782a4-3m02VmEcWhnwMMGRPyVCDGkPy3UI8U.png,5,,4,,3,,None of these.,,A,MCQ,In where condition no condition over Roll_no so query produces all groups. Student_name Sum (P.marks) Amit 452 Priya 452 Rohan 452 Smita 452 Vinit 452 Total 5 different student names all 5 group records in result. See: http://sqlfiddle.com/#!9/8a79d3/1/0,
28,"Consider the following C program: C #include <stdio.h> int main () { float sum = 0.0 , j = 1.0 , i = 2.0 ; while ( i / j > 0.0625 ) { j = j + j ; printf ( ""%f \\ n"" , sum ); }; return 0 ; } The number of times variable sum will be printed When the above program is executed is _________ . Note: This was Numerical Type question.",,5,,6,,4,,0,,A,MCQ,"C #include <stdio.h> int main () { float sum = 0.0 , j = 1.0 , i = 2.0 ; while ( i / j > 0.0625 ) { j = j + j ; printf ( ""%f \\ n"" , sum ); }; return 0 ; } According to ""while"" loop , Initially i = 2.0, j = 1.0 i / j = 2.0 / 1. 0 = 2.0 > 0.0625 j = j + j j = 2.0 printed sum = 0.0 Second time, i / j = 1 > 0.0625 j = 4 printed sum = 0.0 Third time, i / j = 0.5 > 0.0625 j = 8 printed sum = 0.0 Fourth time, i / j = 0.25 > 0.0625 j = 16 printed sum = 0.0 Fifth time, i / j = 0.125 > 0.0625 j = 32 printed sum = 0.0 Sixth time, i / j = 0.0625 = 0.0625 It violates the greater then condition. This time while loop will not execute. So, option (A) is correct.",
29,"Consider the following relation P(X, Y, Z), Q(X, Y, T) and R(Y, V): How many tuples will be returned by the following relational algebra query? π x (σ( P.Y = R.Y ∧ R.V = V (P X R))) - π x (σ( Q.Y = R.Y ∧ Q.T > 2 (Q X R))) Note: This was Numerical Type question.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2019/Question_Images/1068f4b57f14b50f-h8huFG7LtqWgUH1eweFFFEgD2vcK6n.png,3,,1,,2,,4,,B,MCQ,"Query-1: π x (σ( P.Y = R.Y ∧ R.V = V (P X R))) It will satisfy only one row: X  Y  Z  Y  V ------------------- X2  Y2  Z2  Y2  V2 ------------------- Only column X will be selected. X ----- X2 ----- Query-2: π x (σ( Q.Y = R.Y ∧ Q.T > 2 (Q X R))) It will satisfy three row: X  Y  T  Y  V ------------------- X1  Y2  5  Y2  V3 X1  Y2  5  Y2  V2 X1  Y1  6  Y1  V1 ------------------- Only column X will be selected. X ----- X1 ----- Note that relational algebra return unique tuples only. Now, = π x (σ( P.Y = R.Y ∧ R.V = V (P X R))) = (Query-1) - (Query-2) = X2 - X1 = X2 So, answer is 1 . Note that {(Query-1) - (Query-2)} will return all tuples from query-1 those are not in query-2. Quiz of this Question",
30,"Consider the following C program: C #include <stdio.h> int main () { int a [] = { 2 , 4 , 6 , 8 , 10 }; int i , sum = 0 , * b = a + 4 ; for ( i = 0 ; i < 5 ; i ++ ) sum = sum + ( * b - i ) - * ( b - i ); printf ( ""%d \\ n"" , sum ); return 0 ; } The output of above C program is __________ . Note: This was Numerical Type question.",,10,,8,,6,,3,,A,MCQ,"C #include <stdio.h> int main () { int a [] = { 2 , 4 , 6 , 8 , 10 }; int i , sum = 0 , * b = a + 4 ; for ( i = 0 ; i < 5 ; i ++ ) sum = sum + ( * b - i ) - * ( b - i ); printf ( ""%d \\ n"" , sum ); return 0 ; } Given, ""for"" loop will run from i=0 to 4. i = 0 sum = 0+ 10 – 10 = 0 i = 1 sum = 0 + 9 – 8 = 1 i = 2 sum = 1 + 8 – 6 = 3 i = 3 sum = 3 + 7 – 4 = 6 i = 4 sum = 6 + 6 – 2 = 10 Now, loop terminate and value of sum (i.e., 10) will be printed. So, The output of above C program is 10 .",
31,"If L is a regular language over ∑ = {a, b}, which one of the following languages is NOT regular?",,"L⋅ L R {xy ⏐ x ∈ L,  y R ∈ L}",,Suffix (L) = {y ∈ ∑* ⏐ ∃x ∈ ∑* such that  xy ∈ L},,Prefix (L) = {x ∈ ∑* ⏐ ∃y ∈ ∑* such that  xy ∈ L},,{ww R ⏐ w ∈ L},,D,MCQ,"Regular languages closed under reversal, concatenation, prefix(L), and suffix(L) property. So, languages given in option (A), (B), and (C) are regular.  But language L = {ww R ⏐ w ∈ L} is infinite and not regular because it involves string matching and we can increase in length indefinitely and then finite automata will run out of memory, so it require stack. Hence, it is context-free but not regular.  Option (D) is correct.",
32,Which of the following protocol pairs can be used to send and retrieve e-mails (in that order)?,,IMAP POP3,,"SMTP, POP3",,"SMTP, MIME",,"IMAP, SMTP",,B,MCQ,"Simple Mail Transfer Protocol (SMTP) is a push protocol and is used to send the mail whereas post office protocol (POP) or IMAP (internet message access protocol) are used to retrieve those emails at the receiver’s side. Whereas Multipurpose Internet Mail Extension (MIME) is a kind of add-on or a supplementary protocol which allows non-ASCII data to be sent through SMTP and received through POP. MIME allows the users to exchange different kinds of data files on the Internet: audio, video, images, and application programs as well. So, option (B) is correct.",
