Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
11,"In a virtual memory system, size of virtual address is 32-bit, size of physical address is 30-bit, page size is 4 Kbyte and size of each page table entry is 32-bit. The main memory is byte addressable. Which one of the following is the maximum number of bits that can be used for storing protection and other information in each page table entry?",,2,,10,,12,,14,,D,MCQ,"Virtual memory = 2 32 bytes Physical memory = 2 30 bytes Page size = Frame size = 4 * 10 3 bytes = 2 2 * 2 10 bytes = 2 12 bytes Number of frames = Physical memory / Frame size = 2 30 /2 12 = 2 18 Therefore, Numbers of bits for frame = 18 bits Page Table Entry Size =  Number of bits for frame  + Other information Other information = 32 - 18 = 14 bits Thus, option (D) is correct.",
12,"Consider a fully associative cache with 8 cache blocks (numbered 0-7) and the following sequence of memory block requests:  4, 3, 25, 8, 19, 6, 25, 8, 16, 35, 45, 22, 8, 3, 16, 25, 7  If LRU replacement policy is used, which cache block will have memory block 7?",,4,,5,,6,,7,,B,MCQ,"Block size is =8  Given 4, 3, 25, 8, 19, 6, 25, 8, 16, 35, 45, 22, 8, 3, 16, 25, 7  So from 0 to 7 ,we have 4 3 25 8 19 6 16 35    //25,8 LRU so next 16,35 come in the block. 45 3 25 8 19 6 16 35 45 22 25 8 19 6 16 35 45 22 25 8 19 6 16 35 45 22 25 8 3 6 16 35     //16 and 25 already there 45 22 25 8 3 7 16 35   //7 in 5th block Therefore , answer is  B",
13,"What is the output of the following program? C #include <stdio.h> int funcf ( int x ); int funcg ( int y ); main () { int x = 5 , y = 10 , count ; for ( count = 1 ; count <= 2 ; ++ count ) { y += funcf ( x ) + funcg ( x ); printf ( ""%d "" , y ); } } funcf ( int x ) { int y ; y = funcg ( x ); return ( y ); } funcg ( int x ) { static int y = 10 ; y += 1 ; return ( y + x ); }",,43 80,,42 74,,33 37,,32 32,,A,MCQ,"The count=1 and it goes till two,so following statement will be executed twice. y += funcf(x) + funcg(x); 1st call- funcg(x); // y = 11        y+x=  16. 2nd call funcg(x); // y= 12         y+x=  17. First iteration-> main()->y = 16+17 +10 = 43 Second iteration-> main() y= 18+19 +43 = 80 So the Answer is A",
14,Consider a list of recursive algorithms and a list of recurrence relations as shown below. Each recurrence relation corresponds to exactly one algorithm and is used to derive the time complexity of the algorithm. Recursive Algorithm Recurrence Relation P. Binary search I. T(n) = T(n-k) + T(k) + cn Q. Merge sort II. T(n) = 2T(n-1) + 1 R. Quick sort III. T(n) = 2T(n/2) + cn S. Tower of Hanoi IV. T(n) = T(n/2) + 1,,"P-II, Q-III, R-IV, S-I",,"P-IV, Q-III, R-I, S-II",,"P-III, Q-II, R-IV, S-I",,"P-IV, Q-II, R-I, S-III",,B,MCQ,These are examples of some standard algorithms whose Merge Sort :    T(n) = 2T(n/2) + Θ(n). It falls in case 2 as c is 1 and Log b a] is also 1 and  the solution is Θ(n Logn) //time complexity can be evaluated using Master Method Binary Search : T(n) = T(n/2) + Θ(1). It also falls in case 2 as c is 0 and Log b a is also 0 and the solution is Θ(Logn) //time complexity can be evaluated using Master Method Quick Sort : Time taken by QuickSort in general can be written as  T(n) = T(k) + T(n-k-1) + [Tex]\\theta[/Tex] (n) Tower of Hanoi : T(n) = 2T(n-1) + 1  Read More at : http://www.geeksforgeeks.org/analysis-algorithm-set-4-master-method-solving-recurrences/,
15,"Consider the following C program which is supposed to compute the transpose of a given 4 x 4 matrix M. Note that, there is an X in the program which indicates some missing statements. Choose the correct option to replace X in the program. C #include <stdio.h> #define ROW 4 #define COL 4 int M [ ROW ][ COL ] = { 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15 , 16 }; main () { int i , j , t ; for ( i = 0 ; i < 4 ; ++ i ) { X } for ( 1 = 0 ; i < 4 ; ++ i ) for ( j = 0 ; j < 4 ; ++ j ) printf ( ""%d"" , M [ i ][ j ]); } A) for(j = 0; j < 4; ++j){ t = M[i][j]; M[i][j] = M[j][i]; M[j][i] = t; } B) for(j = 0; j < 4; ++j){ M[i][j] = t; t = M[j][i]; M[j][i] = M[i][j]; } C) for(j = i; j < 4; ++j){ t = M[i][j]; M[i][j] = M[j][i]; M[j][i] = t; } D) for(j = i; j < 4; ++j){ M[i][j] = t; t = M[j][i]; M[j][i] = M[i][j]; }",,A,,B,,C,,D,,C,MCQ,"To compute transpose j needs to be started with i , so A and B are WRONG In D, given statement is wrong as temporary variable t needs to be assigned some value and NOT vice versa M[i][j] = t; So the answer is C",
16,"Consider the following entity relationship diagram (ERD), where two entities E1 and E2 have a relation R of cardinality 1 : m. The attributes of E1 are A11, A12 and A13 where A11 is the key attribute. The attributes of E2 are A21, A22 and A23 where A21 is the key attribute and A23 is a multi-valued attribute. Relation R does not have any attribute. A relational database containing minimum number of tables with each table satisfying the requirements of the third normal form (3NF) is designed from the above ERD. The number of tables in the database is",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Question_Images/9fbc8189a3a7375a-REybyLt5eogArXm0VEfbpb3pPIhqGH.jpg,2,,3,,5,,4,,B,MCQ,"Step 1: 1NF T1: A11 , A12, A13  T2: A11, A21 , A22, A23 //because A23 is multivalued ,it has to be included in Key attribute Step 2: 2NF // A23 is Multivalued attribute and not allowed in 2NF therefore new tables are : T1: A11 , A12, A13  T2: A11, A21 , A22  T3: A21 , A23 Step 3: 3NF // There is no transitive functional dependency in all tables , So in 3NF Therefore answer is B",
17,"A relational database contains two tables student and department in which student table has columns roll_no, name and dept_id and department table has columns dept_id and dept_name. The following insert statements were executed successfully to populate the empty tables: Insert into department values (1, 'Mathematics') Insert into department values (2, 'Physics') Insert into student values (l, 'Navin', 1) Insert into student values (2, 'Mukesh', 2) Insert into student values (3, 'Gita', 1) How many rows and columns will be retrieved by the following SQL statement? Select * from student, department",,0 row and 4 columns,,3 rows and 4 columns,,3 rows and 5 columns,,6 rows and 5 columns,,D,MCQ,"Simple,Cartesian product of two tables will result Rows = 3*2 = 6 Columns = 3+2 = 5 Option (D) is correct.",
18,Consider the following schedule S of transactions T1 and T2: T1 T2 Read(A)A = A - 10 Read (A)Temp = 0.2*A  Write(A)  Read(B) Write(A)Read(B)  B = B + 10  Write(B) B = B + TempWrite(B),,"S is serializable only as T1, T2",,"S is serializable only as T2, T1",,"S is serializable both as T1, T2 and T2, T1",,S is serializable either as T1 or as T2,,,MCQ,"This given schedule is not serializable as cycles exist in precedence graph .Therefore, options A, B, C, D are practically not possible. The answer should be schedule is NOT serializable both as T2,T1 and T1,T2",
19,Which level of locking provides the highest degree of concurrency in a relational data base?,,Page,,Table,,Row,,"Page, table and row level locking allow the same degree of concurrency",,C,MCQ,"Page level locking locks whole page i.e all rows therefore highly restrictive Table locking is mainly used for concurrency control with DDL operations A row share table lock is the least restrictive, and has the highest degree of concurrency for a table.It indicates the transaction has locked rows in the table and intends to update them. Therefore, Row level provides highest level of concurrency. Option (C) is correct.",
20,"In how many ways can we distribute 5 distinct balls, B1,B2,...,B5 in 5 distinct cells, C1,C2,...,C5 such that Ball B,is not in cell C,Vi=1,2,...,5 and each cell contains exactly one ball?",,44,,96,,120,,3125,,A,MCQ,Total permutations possible = 5!=120 Possible number of ways in which at least one ball is in cell = 5C1*4! - 5C2*3! + 5C3*2! - 5C4*1! + 1 = 76 ->120-76=44 So answer is A,
21,"Let R 1 be a relation from A = {1, 3, 5, 7} to B = {2, 4, 6, 8} and R 2 be another relation from B to C = {1, 2, 3, 4} as defined below: An element x in A is related to an element y in B (under R 1 ) if x + y is divisible by 3. An element x in B is related to an element y in C (under R 2 ) if x + y is even but not divisible by 3. Which is the composite relation R 1 R 2 from A to C?",,"R1R2 = {(1, 2), (1, 4), (3, 3), (5, 4), (7, 3)}",,"R1R2 = {(1, 2), (1, 3), (3, 2), (5, 2), (7, 3)}",,"R1R2 = {(1, 2), (3, 2), (3, 4), (5, 4), (7, 2)}",,"R1R2 = {(3, 2), (3, 4), (5, 1), (5, 3), (7, 1)}",,C,MCQ,"R1 is a relation from A = {1,  3,  5,  7}  to  B = {2,  4,  6,  8} . Under R1, an element x in A is related to an element y in B if x + y is divisible by 3. Thus, R1 = {(1, 2), (1, 8), (3, 6), (5, 4), (7, 2), (7, 8)} R2 is a relation from B = {2, 4, 6, 8} to C = {1, 2, 3, 4}  Under R2, an element y in B is related to an element z in C if y + z is even but not divisible by 3. Thus, R2 = {(2, 2), (4, 4), (6, 2), (6, 4), (8, 2)} Then the composition of R1 with R2, denoted R2R1, is the relation from A to C defined by the following property: (x, z) [Tex]\\epsilon [/Tex] R2R1 If and only if there is a y E B such that (x, y) [Tex]\\epsilon [/Tex] R1 and (y, z) [Tex]\\epsilon [/Tex] R2. Thus, R1R2 = {(1, 2), (3, 2), (3, 4), (5, 4), (7, 2)} Thus, option (C) is correct.",
22,"Let a(x, y), b(x, y,) and c(x, y) be three statements with variables x and y chosen from some universe. Consider the following statement: (∃x)(∀y)[(a(x, y) ∧ b(x, y)) ∧ ¬c(x, y)]  Which one of the following is its equivalent?",,"(∀x)(∃y)[(a(x, y) ∨ b(x, y)) → c(x, y)]",,"(∃x)(∀y)[(a(x, y) ∨ b(x, y)) ∧¬ c(x, y)]",,"¬ (∀x)(∃y)[(a(x, y) ∧ b(x, y)) → c(x, y)]",,"¬ (∀x)(∃y)[(a(x, y) ∨ b(x, y)) → c(x, y)]",,C,MCQ,"Choice (C) is  = ¬ (∀x)(∃y)[(a(x, y) ∧ b(x, y)) → c(x, y)]  =  ¬ (∀x)(∃y)[ a∧ b → c ]  = ¬ (∀x)(∃y)[ (ab)' + c]  =  ∃ x ∀ y[ (ab)' + c]'  =  ∃ x ∀ y[ abc' ]  = ∃ x ∀ y[ a ∧ b ∧ c ¬c]  Which is same as the given expression.  (∃x)(∀y)[(a(x, y) ∧ b(x, y)) ∧ ¬c(x, y)]",
23,"Let H1,H2,H3,... be harmonic numbers Then, for can be expressed as",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Question_Images/99acab9aa1dca99b-r55P52TNnHa0xoqse9vVyUnBtbKRH9.png,nHn+1 - (n + 1),,(n + 1)Hn - n,,nHn - n,,(n+1)Hn+1—(n+1),,B,MCQ,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Explanation_Images/320528eb7ea88de1-99utchdTYvBtvZITEJJP1RrvGRvMGg.jpeg
24,"What values of x, y and z satisfy the following system of linear equations?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Question_Images/cabf0c1ee85c6063-styr51LARVxztteFDGrOZX4a7lH2Bk.png,"x = 6, y = 3, z = 2",,"x = 12, y = 3, z = -4",,"x = 6, y = 6, z = -4",,"x = 12, y = -3, z = 0",,C,MCQ,"1 * x + 2 * y + 3 * z = 6 1 * x + 3 * y + 4 * z = 8 2 * x + 2 * y + 3 * z = 12 Put x = 6 , y = 6 and z = -4 The above three equation are satisfied.",
25,"Using a 4-bit 2’s complement arithmetic, which of the following additions will result in an overflow? (i) 1100 + 1100 (ii) 0011 + 0111 (iii) 1111 + 0111",,(i) only,,(ii) only,,(iii) only,,(i) and (iii) only,,B,MCQ,"When two signed 2's complement numbers are added, overflow is detected if: both operands are positive and the result is negative, or both operands are negative and the result is positive When two unsigned numbers are added, overflow occurs if there is a carry out of the leftmost bit With these conditions only (ii) will get an overflow Therefore, B is the answer",
26,The function AB’C + A’BC + ABC’ + A’B’C + AB’C’ is equivalent to,,AC’+AB+A’C,,AB’+AC’+A’C,,A’B+AC’+AB’,,A’B+AC+AB’,,B,MCQ,"(A'BC + A'B'C) + (ABC' + AB'C') + AB'C A'C(B + B') + AC'(B + B') + AB'C A'C * 1 + AC' * 1 + AB'C A'C + AC' + AB'C A'C + A(C' + B'C) A'C + A(C' + B') A'C + AC' + AB' Thus, option (B) is correct.",
27,The number (123456) 8 is equivalent to,,(A72E)16 and (22130232)4,,(A72E)16 and (22131122)4,,(A73E)16 and (22130232)4,,(A62E)16 and (22120232)4,,A,MCQ,"(123456)8 =(001 010 011 100 101 110)2 To convert it into hexadecimal,make groups of 4 (1010 0111 0010 1110) =(A72E)16 To convert it into base 4,make groups of 2 (10 10 01 11 00 10 11 10) =(22130232)4",
28,What is the minimum number of NAND gates required to implement a 2-input EXCLUSIVE-OR function without using any other logic gate?,,3,,4,,5,,6,,B,MCQ,Other way around: x XOR y = x’y+xy’ = x’y+xy’+xx’+yy’ = (x+y) (x’+y’)  Using NAND gates  F= (x+y)(xy)’ = x. (xy)’ + y. (xy)’  Taking compliment  F’= ( x. (xy)’ + y. (xy)’ )’ = (x. (xy)’)’. (y. (xy)’)  Compliment again  F=( (x. (xy)’)’. (y. (xy)’) )’ So Answer is B,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Explanation_Images/d5be9c61255cb998-eKj9f5aTqBi7xYci1cdIDOGwiqTqvB.png
29,Which one of the following regular expressions is NOT equivalent to the regular expression (a + b + c) *?,,(a* + b* + c*)*,,(a*b*c*)*,,((ab)* + c*)*,,(a*b* + c*)*,,C,MCQ,"C - (ab)* + c*)* will always give strings with ""ab"" together.Whereas (a+b+c)* would generate language where a,b,c may not be always together. A,B,D may generate same language as (a+b+c)* So, Answer is (C)",
30,Which one of the following strings is not a member of L (M)?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Question_Images/ac219330ba464862-2EqBHetG5ZJGXumBfEuebjjEbrIi4P.png,aaa,,aabab,,baaba,,bab,,C,MCQ,"Basics of PDA A push down automata or a PDA is essentially a NFA with a stack and its transition function also depends on the symbol at the stack top. Formally, a PDA is a 6-tuple (Q, Σ, Γ, δ, q0, F) with Q being set of all possible states, Σ is the set of all possible input, Γ is the set of all possible stack symbol, δ : Q × Σ × Γ → Q × Γ is the transition function, q0 is the initial state, and F ⊆ Q is the set of final state. Some times, PDA is also known to be of 7 tuples when we considers the initial stack symbol z0 as an additional member in the above 6 tuples. Note that there should exists a transition function for a given input otherwise there won’t be any possible move. The PDA can be of two types: Empty stack accepting PDA and Final state PDA. Empty stack accepting PDAs are the PDAs for which a given input is accepted if on a given input string, when the input exhausts, the stack should be empty. Similarly, a Final state accepting PDA is a PDA for which a given input is accepted if on a given input string, when the input exhausts, thePDA should be in one of the final states. A Non-deterministic PDA or NPDA is a PDA in which, for a given input, multiple output is possible. i.e. The Transition function δ maps a given input from Q × Σ × Γ to a finite set of Q × Γ. For the given question , since there is a more than one output corresponding to a given input for transition function, we will consider a NPDA for the execution of the input and we will halt our execution for a corresponding branch if there is no move possible for a given input and We assume that if the machine halts at one of the final state and input is exhausted, we accept the string otherwise we reject it. Notice, the Given PDA is final state accepting PDA and not the empty stack accepting PDA. Choice of the Questions: We will assume the initial stack symbol is ε, and • In choice 1 , The execution will be as follow: (s, a, ) → (s, a) or (f, ε). Let’s first consider, (s, a) as output and execute the remaining input. (s,a, a) → No valid Move. halt this branch and not in the final state, so not accepted. Now consider (f, ε) as output. (f, a, ε) → No Valid Move. halt this branch Notice that the PDA is in one of the final state, But the input string is not exhausted, So this should not be accepted by the PDA. • In choice 2 , The Execution will start as of choice 1 and will halt at character 2 as no possible move. This option is also not accepted in same way as of the first option. 3 • In choice 3 , The execution will be as follow: (s, b, ε) → (s, a). (s, a, a) → No Possible move. halt this branch . Since halted before reaching to any final state so this option is not accepted. • In choice 4 , This option is also not accepted as the PDA will halt at second character as it halted in previous option. This option is also not accepted. Assuming that if the PDA halts on a input due to no possible move and if the current state is one of the final state but the input is not exhausted, PDA will reject that string, For Question 2, Every answer is true i.e. None of the given for string belongs to the given PDA’s language. Again, Assuming that if the PDA halts on a input due to no possible move and if the current state is one of the final state but the input is not exhausted, the PDA will keep on consuming the input string until the end of string comes, string in option (A) and option (B) will be accepted by the language of this PDA. while option (C) and option (D) still won’t get accepted as by the end of the string, the PDA won’t be in final state. So keeping this assumption in mind, option (C) and option (D) both will be true for this question.",
31,Which one of the following statements is FALSE?,,There exist context-free languages such that all the context-free grammars generating them are ambiguous,,An unambiguous context free grammar always has a unique parse tree for each string of the language generated by it.,,Both deterministic and non-deterministic pushdown automata always accept the same set of languages,,A finite set of string from one alphabet is always a regular language.,,C,MCQ,"A) For real-world programming languages, the reference CFG is often ambiguous, due to issues such as the dangling else problem. B) A string is ambiguous if it has two distinct parse trees; The grammar is unambiguous, if a string has distinct parse trees. C) Deterministic pushdown automata can recognize all deterministic context-free languages while   nondeterministic ones can recognize all context-free languages Therefore it's FALSE D)Properties of Regular Language: The set of regular languages over an alphabet [Tex]\Sigma[/Tex] is closed under operations union, concatenation and Kleene star. Finite languages are regular So Answer is C",
32,"If we use internal data forwarding to speed up the performance of a CPU (R1, R2 and R3 are registers and M[100] is a memory reference), then the sequence of operations",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Question_Images/d606084b0ce53e4f-6sfOYRCYp8GEg8Xkv3vgAAW3ZVpDpN.png,A,,B,,C,,D,,D,MCQ,"• Data Forwarding : In figure(2),ADD and SUB instructions have data dependency due to R1 registers,2nd and 3rd instructions read the register R1 value at ID stage but 1st instruction updates the value of R1 after WB stage .So 2nd SUB instruction is stalled for next two cycles to get updated value of R1 register. • Internal data forwarding is a mechanism to reduces the stalls due to data dependency, it uses hardware technique to forward the result of interstage buffer register (IBR) to next instruction's buffer register. As soon as result is available after ALU operation (in 1st instruction), result is transferred as input to ALU unit, then updated value of R1 gets available after ALU operation (otherwise it is available after WB stage),so no stalls are there. • The ALU result from the EX/MEM register is always fed back to the ALU input latches. If the forwarding hardware detects that the previous ALU operation has written the register corresponding to the source for the current ALU operation, control logic selects the forwarded result as the ALU input rather than the value read from the register file. • As given in Ques, It is straight from question,register R1 value is copied(or better say loaded) to memory location M[100] then M[100]'s value is stored to registers R2 and R3 .Options A,B and C are wrong since they do not produce same result as desired. • Let's suppose register R1,R2,R3 and memory reference M[100] have initial values 10,20,30 and 40 respectively then after the execution of sequence of operation,registers R2,R3 and memory references M[100] have values 10,10 and 10 respectively. • In option A ,after the execution of operations,registers R2,R3 and memory references M[100] have values 20,10 and 20 respectively. In option B, registers R2 , R3 and memory references M[100] have values 10,10 and 40 respectively and option C ,registers R2,R3 and memory references M[100] have values 20,20 and 10 respectively . But option D produces ,all registers and memory reference have value same value 10 as desired , so option (D) is correct only.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Explanation_Images/534a656785af63f6-CAZ6zeNJQ9hc2BPT31FOJmxaOEq9jb.jpg
33,"Let X and Y be two exponentially distributed and independent random variables with mean α and β, respectively. If Z = min(X,Y), then the mean of Z is given by",,1/α+β,,"min(α ,β)",,α β/α + β,,α + β,,C,MCQ,,
