Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
11,"Let L(R) be the language represented by regular expression R. Let L(G) be the language generated by a context free grammar G. Let L(M) be the language accepted by a Turing machine M. Which of the following decision problems are undecidable? I. Given a regular expression R and a string w, is w∈L(R)? II. Given a context-free grammar G, is L(G)=∅ III. Given a context-free grammar G, is L(G)=Σ ∗ for some alphabet Σ? IV. Given a Turing machine M and a string w, is w ∈ L(M)?",,I and IV only,,II and III only,,"II, III and IV only",,III and IV only,,D,MCQ,"Membership problem of regular language -> Decidable Emptiness of CFL -> Decidable L(G)=Σ ∗ problem of CFL  -> UNdecidable Membership problem of RE language -> UNdecidable Therefore , option D",
12,"Consider the following expression grammar G. E -> E - T | T T -> T + F | F F -> (E) | id Which of the following grammars are not left recursive, but equivalent to G. A) E -> E - T | T T -> T + F | F F -> (E) | id B) E -> TE' E' -> -TE' | ε T -> T + F | F F -> (E) | id C) E -> TX X -> -TX | ε T -> FY Y -> +FY | ε F -> (E) | id D) E -> TX | (TX) X -> -TX | +TX | ε T -> id",,A,,B,,C,,D,,C,MCQ,"We know for left recursion : A -> Aα/β After removing left recursion it can be written as A->βA’ A’->αA’/ε Thus for : E->E- T/T α= -T , β= T . thus new production after removing left recursion is E->TE’ and E’->- TE’/ ε T->FT’ and T’->+FT’/ ε F->(E)/id .",
13,"Let δ denote the transition function and α denoted the extended transition function of the ε-NFA whose transition table is given below: Then, α (q2,aba) is",http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_10.png,Ø,,"{q1, q2, q3}",,"{q0, q1, q2}",,"{q0, q2, q3}",,C,MCQ,"Extended transition function describes what happens when we start in any state and follow any sequence of inputs. Since this is an epsilon NFA so we have to consider the epsilon moves also and see which states we can reach after the input string is over. The starting state is q2, from q2 transition with input a is dead so we have to look for epsilon transition. With epsilon transition we reach to q0, at q0 we have a transition with input symbol a so we reach to state q1. From q1 we can take transition with symbol b and reach state q3 but from q3 we have no further transition with symbol a as input  so we have to take another transition from state q1 that is the epsilon transition which goes to state q2. From q2 we reach to state q0 and read input b and then read input a and  reach state q1. So q1 is one of the state of extended transition function. From q1 we can reach q2 with epsilon as input (mans with no input) and from q2 we can reach q0 with epsilon move so state q2 and q0 are also part of extended transition function. So state q1, q2, q0",https://media.geeksforgeeks.org/wp-content/uploads/20241230164652974427/img.png
14,"Consider the C program fragment below which is meant to divide x by y using repeated subtractions. The variable x, y, q and r are all unsigned int. while(r >= y) { r = r - y; q = q + 1; } Which of the following conditions on the variables x, y, q and r before the execution of the fragment will ensure that the loop terminates in a state satisfying the condition x == (y*q + r)?",,( q == r ) && ( r == 0),,( x > 0 ) && ( r == x ) && ( y > 0 ),,( q == 0 ) && ( r == x ) && ( y > 0 ),,( q == 0 ) && ( y > 0 ),,C,MCQ,"x == ( y * q + r ) x= product, y= multiplicand, q = quotient , r =  remainder For loop to be terminated, the quotient has to be 0, so only options C and D are left If q=0 -> r=x should apply Therefore, option C is most appropriate",
15,"The read access times and the hit ratios for different caches in a memory hierarchy are as given below: The read access time of main memory in 90 nanoseconds. Assume that the caches use the referred-word-first read policy and the writeback policy. Assume that all the caches are direct mapped caches. Assume that the dirty bit is always 0 for all the blocks in the caches. In execution of a program, 60% od memory reads are for instruction fetch and 40% are for memory operand fetch. The average read access time in nanoseconds (up to 2 decimal places) is _________ Note: This question appeared as Numerical Answer Type.",http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_9.png,2.74,,4.72,,3.10,,2.67,,B,MCQ,"Since, L2 cache is shared between Instruction and Data. Average Instruction fetch Time = L1 access time + L1 miss rate * L2 access time + L1 miss rate * L2 miss rate * Memory access time = 2 + 0.2 * 8 + 0.2 * 0.1 * 90 = 5.4 ns Average Data fetch Time = L1 access time + L1 miss rate * L2 access time + L1 miss rate * L2 miss rate * Memory access time = 2 + 0.1 * 8 + 0.1 * 0.1 * 90 = 3.7 ns So, average read (access) time = Fraction of Instruction Fetch * Average Instruction fetch time + Fraction of Data Fetch * Average Data Fetch Time = 0.6×5.4+0.4×3.7 = 4.72ns Option (B) is correct.",
16,A system shares 9 tape drives. The current allocation and maximum requirement of tape drives for 3 processes are shown below: Which of the following best describes the current state of the system?,http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_8.png,"Safe, Deadlocked",,"Safe, Not Deadlocked",,"Not Safe, Deadlocked",,"Not Safe, Not Deadlocked",,B,MCQ,using Banker's Algorithm : we will calculate need matrix (Max requirement - Allocated): [4 5 2] Available = 2 from here we can visualize that P3 can be executed because it's need matches the available resources. Then other process can also be executed similarly and we can conclude system is in safe state.,
17,Which of the following is/are shared by all the threads in a process? I. Program Counter II. Stack III. Address space IV. Registers,,I and II only,,III only,,IV only,,III and IV only,,B,MCQ,"Every thread have its own stack , register, and PC, so only address space that is shared by all thread for a single process. Therefore, option B is correct",https://cdncontribute.geeksforgeeks.org/wp-content/uploads/threads.png
18,"The minimum number of ordered pairs that need to be added to R to make (X, R) a lattice is _____. Note: This question appeared as Numerical Answer Type.",http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_7.png,0,,1,,2,,3,,A,MCQ,"Here in the given lattice a should be related as (a,a) , (a,b), (a,c), (a,d), (a,e) b: (b,c), (b,e), (b,b). c: (c,c), (c,e) d: (d,d), (d,e) e: (e,e) all pairs are already present here . Thus answer will be zero.",
19,P and Q are considering to apply for job. The probability that p applies for job is 1/4. The probability that P applies for job given that Q applies for the job 1/2 and The probability that Q applies for job given that P applies for the job 1/3.The probability that P does not apply for job given that Q does not apply for the job .,,4/5,,5/6,,7/8,,11/12,,A,MCQ,"P(p)=1/4, P(p/q) = 1/2, P(q/p) = 1/3 According to Bayes theorem: P(p/q) = P(q/p).P(p) /P(q) =>1/2=((1/3)*1/4)/P(q)=>P(q)=1/6 and P(q') = 5/6 P(q'/p) = 2/3 P(p/q') = P(q'/p).P(p) / P(q') = (2/3*1/4) / 5/6 =>1/5 P(p'/q') = 1-P(p/q') =1-1/5=4/5",
20,If the ordinary generating function of a sequence is: then a 3 -a 0 is equal to:,https://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_17.png,8,,10,,15,,20,,C,MCQ,"To find a 3 - a 0 , we expand the generating function: [Tex]\frac{1 + z}{(1 - z)^3} = \sum_{n=0}^{\infty} \binom{n + 2}{2} z^n + \sum_{n=1}^{\infty} \binom{n + 1}{2} z^n[/Tex] The coefficients are: a 0 ​ = 1 a 1 ​ = 4 a 2 ​= 9 a 3 = 16 Thus, a 3 − a 0 = 16−1 = 15. So, the correct answer is: 15",
21,"Consider the following program #include<stdio.h> #include<string.h> int main() { char * c = ""GATECSIT2017""; char *p = c; printf(""%d"", (int)strlen(c+2[p]-6[p]-1)); return 0; } The Output of the following program is____ Note: This question appeared as Numerical Answer Type.",,1,,2,,4,,6,,B,MCQ,c + 2[p] -6[p] -1 = c + p[2] –p[6] -1 = c + T – I – 1 = c + 11 -1 = c + 10 strlen(17) = 2,
22,Consider a machine with byte addressable memory of 2 32 bytes divided into blocks of size 32 bytes. Assume a direct mapped cache having 512 cache lines is used with this machine. The size of tag field in bits is _____,,12,,16,,18,,24,,C,MCQ,"Memory is 2 32 bytes, and each block is 32 bytes. So, the total number of blocks is: [Tex]\frac{2^{32}}{32} = 2^{27} \text{ blocks}[/Tex] The cache has 512 lines, and each line corresponds to one block of memory. Therefore, the number of cache lines is 512, which is 2 9 . [Tex]\text{Number of index bits} = \log_2(512) = 9 \text{ bits}[/Tex] [Tex]\text{Block offset bits} = \log_2(32) = 5 \text{ bits}[/Tex] Total address bits = Tag bits + Index bits + Block offset bits We know that: Total address bits = 32 Index bits = 9 Block offset bits = 5 So, the number of tag bits is: Tag bits = 32−9−5 = 18",
23,"Consider a binary code that consists only four valid codewords as given below. 00000, 01011, 10101, 11110 Let minimum Hamming distance of code be p and maximum number of erroneous bits that can be corrected by the code be q. The value of p and q are:",,p = 3  and q = 1,,p = 3  and q = 2,,p = 4  and q = 1,,p = 4  and q = 2,,A,MCQ,"We need to find minimum hamming distance (difference in their corresponding bit position) 00000, 01011, 10101, 11110 For two binary strings, hamming distance is number of ones in XOR of the two strings. Hamming distance of first and second is 3, so is for first and third. Hamming distance of first and fourth is 4. Hamming distance of second and third is 4, and second and fourth is 3. Hamming distance of third and fourth is 3. Thus a code with minimum Hamming distance d between its codewords can detect at most d-1 errors and can correct ⌊(d-1)/2⌋ errors. Here d = 3. So number of errors that can be corrected is 1.",
24,Find the complexity,http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/Gate_4.png,θ(log log n),,θ(log n),,θ(sqrt(n)),,θ(n),,B,MCQ,T(n) = 2T(√n) + 1 Let n = 2 m ==> T(2 m ) = 2T(2 m/2 ) + 1 Let S(m) = T(2 m ) ==> S(m/2) = T(2 m/2 ) Thus above equation will be : S(m) = 2S(m/2) + 1 Applying master’s theorem S(m) = m Thus : T(n) = Θlog(n) (since n = 2 m ) This question is duplicate of http://quiz.geeksforgeeks.org/algorithms-analysis-of-algorithms-question-17-2/,
25,The next state table of a 2 bit saturating up-counter is given below. The counter is built as synchronous sequential circuit using T flip-flops. The value for T 1 and T 0 are,https://media.geeksforgeeks.org/wp-content/cdn-uploads/gq/2017/02/Gate_8.png,"T 1 = Q 0 Q 1 , T 0 = Q' 0 Q' 1",,"T 1 = Q' 1 Q 0 , T 0 = Q' 1 + Q' 0",,"T 1 = Q 1 + Q 0 , T 0 = Q' 1 + Q' 0",,"T 1 = Q' 1 Q 0, T 0 = Q 1 + Q 0",,B,MCQ,"Using above excitation table, T 1 = Q' 1 Q 0 = 0100 T 0 = Q' 1 + Q' 0 = 1110 Therefore, Option B Another Solution T1 and T2 are filled by using the property that output of T FF  will change when T=1 and will not change when T=0 Thus T1(Q1, Q2) = Q1’ Q2 T2(Q1, Q2) = Q1’Q2’ + Q1’Q2 + Q1Q2’ = Q1’ + Q1Q2’ = Q1’ + Q2’","http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/excitation-table1.png, https://cdncontribute.geeksforgeeks.org/wp-content/uploads/GATE_CS_2017_Set2_Question_57.png"
26,"A message is made up entirely of characters from the set X = {P,Q,R,S,T} . The table of probabilities of each character is shown below : A message of 100 characters over X is encoded using Huffman coding. Then the excepted length of the encoded message in bits is _____",http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/Gate_6.png,225,,226,,227,,228,,A,MCQ,"In Huffman coding , we pick the least two frequent (or probable) character, combine them and create a new node. .08 (T)      0.17(R)    0.19(S)     0.22(P) \\        /                 \\       / 0.25    0.34(Q)         0.47 \\      /               / 0.59                / \\                / 1 Looking at above tree structure, Number of bits required by each: P - 2 Q - 2 R - 3 S - 2 T - 3  Therefore, excepted length of the encoded message = 3*0.8 + 3*0.17 +  2*0.19  + 2 *0.22 + 2*0.34 = 2.25 For 100 characters, 2.25*100 = 225 Therefore, option A is correct.",
27,Which is correct,http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/Gate_7.png,Nβ(1-β),,Nβ,,N((1-β)),,Not expressible in  terms of  N and  β,,B,MCQ,"g y (z) = ((1- β) + βz) N Expanding  g y (z) we'll get binomial distribution  with n=N and p = β  Mean of binomial distribution is E[Y] = n*p = Nβ which seems to be the only correct option here.  Therefore, option B",
28,"In a B+ tree, if the search-key value is 8 bytes long, the block size is 512 bytes and the block pointer is 2 bytes, then the maximum order of the B+ tree is ____. Note: This question appeared as Numerical Answer Type.",,51,,52,,53,,54,,B,MCQ,Order of a B+ tree node is maximum number of children in an internal node Let the order be x. Number of keys in a node is equal to number children minus 1. So a full node has (x-1) keys and x children. (x-1)*(search key) + x * block ptr <= block size ==> (x-1)*8 + x*2 <= 512 ==> 10x <= 520 ==> x <= 52,
29,Consider the following database table named top_scorer. Consider the following SQL query: SELECT ta.player FROM top_scorer AS ta WHERE ta.goals > ALL ( SELECT tb.goals FROM top_scorer AS tb WHERE tb.country = 'Spain' ) AND ta.goals > ANY (SELECT tc.goals FROM top_scorer AS tc WHERE tc.country = 'Germany') The number of tuples returned by the above SQL query is ____. Note: This questions appeared as Numerical Answer Type.,http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_13.png,6,,7,,8,,9,,B,MCQ,"The query says we need to Condition 1: Select players which have goals greater than ALL players of Spain - This condition will always be true as ALL (empty) always returns TRUE. AND Condition 2: Any  player of Germany having 10 goals, so all the rows which are greater than 10 Goals will be returned. Looking at the table, first 7 rows satisfy both the conditions. Therefore, option B is true.",http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/goals.png
30,"If a random variable X has a Poisson distribution with mean 5, then the expression E[(X + 2) 2 ] equals _____. Note: This question appeared as Numerical Answer Type.",,54,,55,,56,,57,,A,MCQ,"Using Linearity of Expectation , we can write, E[(X+2) 2 ] = E[X 2 ] + E[4X] + E[4] In Poisson distribution , mean and variance are same. Mean is given as 5. So variance should also be 5. Also, variance = E[X 2 ] – (E[X]) 2 5 =  E[X 2 ] – 25 E[X 2 ] = 30 Thus E[(X+2) 2 ] = 30 + 4*5 + 4 = 54.",
31,"Given f(w, x, y, z) = Σ m (0,1,2,3,7,8,10) + Σ d (5,6,11,15), where d represents the don't-care condition in Karnaugh maps. Which of the following is a minimum product-of-sums(POS) form of f(w,x,y,z)?",,f = (w' + z' )( x' + z ),,f = (w' + z ) ( x + z ),,f = ( w + z ) ( x ' + z ),,f = ( w + z' ) ( x' + z ),,A,MCQ,,https://media.geeksforgeeks.org/wp-content/uploads/20241230095058734787/kmap.webp
32,Two transactions T 1 and T 2 are given as: T 1 : r 1 (X)w 1 (X)r 1 (Y)w 1 (Y) T 2 : r 2 (Y)w 2 (Y)r 2 (Z)w 2 (Z) where r i (V) denotes a read operation by transaction T i on a variable V and w i (V) denotes a write operation by transaction T i on a variable V. The total number of conflict serializable schedules that can be formed by T1 and T2 is ______ Note: This question appeared as Numerical Answer Type.,,54,,55,,56,,57,,A,MCQ,"For schedules to be conflict serializable they should be free from RW, WW, WR conflicts. In the conflict serializable schedule we have to see that the operations in both the transactions occurring on same data item should not conflict. Data item y is shared between the two transactions so the read and write operations in T1 on data item y can produce RW, WR, WW conflict with the read and write operations of transaction T2 on data item y. Another constraint is that the order of operations of each transaction should be maintained. We can not change the order of operation on transaction. Suppose if read(x) is before write(x) in T1 then it should be in the same order in resulting conflict serializable schedule. In T1 we have two conflicting operations r1(y) and w1(y) In T2 we have two conflicting operations r2(y) and w2(y) Both the read and write of T1 on y should be performed together either before the read write pair of T2 or after read write pair to T2 because interleaving them will result in inconsistency because both these transaction are performing operation on same object. There is only one way to have (conflict) serializable schedule as T1->T2, because last operation of T1 and first operation of T2 conflicts each other. Now See How many schedules are conflict serializable to T2->T1. T1- r1(x)      w1(x)         r1(y)         w1(y) Now See T2 from right, if we see T2 from right, see the first conflicting operation w2(z) and r2(z) don’t have any conflict with any operation, but w(y) has conflict Pick W2(y) and see, at how many places it can be there. Case1: w2(y) r1(x)      w1(x)         r1(y)         w1(y) Case2:     r1(x) w2(y) w1(x)         r1(y)         w1(y) Case3:     r1(x)       w1(x) w2(y) r1(y)         w1(y) Pick each case and see,how many positions other operation of T2 can take. Case1: w2(y) r1(x)      w1(x)         r1(y)         w1(y)    How many positions w2(z) and r2(z) can take ? (note that these w2(z) and r2(z) cant come before w2(y) ) that is 5C1 + 5C2 = 15 (either both can take same space or two different spaces) Now see, for each of these 15 positions, how many can r2(y) take ? Obviously r2(y) cant come before w2(y) therefore one position. 15x1 = 15 total possible schedules from case 1. Case2: r1(x) w1(y) w1(x)         r1(y)         w1(y)    How many positions w2(z) and r2(z) can take ? that is 4C1 + 4C2 = 10 (either both can take same space or two different spaces) Now see, for each of these 10 positions, how many can r2(y) take ? Only 2 positions, because it has to come before w1(y) . 10x2 = 20 total possible schedules from case 2. Case3: r1(x)       w1(x) w2(y) r1(y)         w1(y)    How many positions w2(z) and r2(x) can take ? that is 3C1 + 3C2 = 6 Now see, for each of these 6 positions, how many can r2(y) take ? Only 3 positions, because it has to come before w2(y) . 6x3 = 18 total possible schedules from case 3. total schedules that are conflict serializable as T2->T1 = 15+20+18 = 53. total schedules that are conflict serializable as T1->T2 = 1.   total schedules that are conflict serializable as either T2->​​​​​​​T1  or  T1->T2 = 53+1 = 54.",
33,"If the characteristic polynomial of a 3 × 3 matrix M over R (the set of real numbers) is λ 3 - 4λ 2 + aλ + 30, where a ∈ R, and one eigen value of M is 2, then the largest among the absolute values of the eigenvalues of M is _______ Note: This question appeared as Numerical Answer Type.",,2,,3,,4,,5,,D,MCQ,"λ 3 - 4λ 2 + aλ + 30 = 0 Since 2 is root . putting in eqn we get a = -11 λ 3 - 4λ 2 - 11λ + 30 =0 solving we get λ = 2, -3, 5. Refer http://quiz.geeksforgeeks.org/eigen-values-and-eigen-vectors/ for details.",
34,Match the algorithms with their time complexities:,http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_3.png,"P-> (iii), Q -> (iv), R -> (i), S -> (ii)",,"P-> (iv), Q -> (iii), R -> (i), S -> (ii)",,"P-> (iii), Q -> (iv), R -> (ii), S -> (i)",,"P-> (iv), Q -> (iii), R -> (ii), S -> (i)",,C,MCQ,Tower of Hanoi - Ɵ(2 n ) Heap sort worst case - Ɵ(n log n) Binary Search - Ɵ(log n) Addition of two nxn matrices - Ɵ (n 2 ) Therefore Option (C) is correct,
35,"There are 5 buildings called V, W, X, Y, Z in a row (not necessarily in order). V is to the West of W, Z is to the East of X and the West of V. W is to West of Y. Which building is in the middle?",,V,,W,,X,,Y,,A,MCQ,"V is to the West of W, V W Z is to the East of X and the West of V. X Z V W W is to West of Y. X Z V W Y Therefore, V is in middle. So option A is correct.",
36,Saturn is __________ to be seen on a clear night with the naked eye?,,enough bright,,bright enough,,as enough bright,,bright as enough,,B,MCQ,"With adjectives and adverbs, enough comes after adjectives and adverbs. With nouns, enough comes before noun. In the given question, enough is used with bright which is an adjective, so enough will come after the adjective. So bright enough is the correct option. This explanation has been contributed by Parul Sharma.",
37,"There are 3 red socks, 5 green socks and 3 blue socks. You choose 2 socks. The probability that they are of the same color is",,1/5,,7/30,,1/4,,16/55,,D,MCQ,"Ways to collect both Red = 3 C 2 Ways to collect both Green = 3 C 2 Ways to collect both Blue = 5 C 2 Total Ways = 11 C 2 P(Socks of Same Colour) = ( 3 C 2 + 5 C 2 + 3 C 2 ) / 11 C 2 = 16/55 Therefore, Option D is correct",
38,Choose the option with words that are not synonyms.,,"aversion, dislike",,"luminous, radiant",,"plunder, loot",,"yielding, resistant",,D,MCQ,"Yield - produce or provide Resistance - the refusal to accept or comply with something. Rest are all synonyms.  Hence, (D) is correct.",
39,"The numbers of the roots of e x + 0.5x 2 -2 = 0 in the range [-5, 5] are",,0,,1,,2,,3,,C,MCQ,"The given function is a continuous function in range [-5, 5].    The Intermediate Value Theorem states if a continuous function has values of opposite sign inside an interval, then it has a root in that interval.  The function changes sign twice in range [-5, 5]. It becomes positive to negative in range [-5, 0] when e x + 0.5x 2 becomes less than 2. It becomes positive to negative in range [0, 5] when e x + 0.5x 2 becomes more than 2.",
40,"There are three boxes, one contains apples, another contains oranges and last one contains both apples and oranges. All three are known to be incorrectly labelled. You are permitted to open just one box and then pull out and inspect only one fruit. Which box would you open to determine the contents of all three boxes?",,The box labelled apples,,The box labelled both apples and oranges,,The box labelled oranges,,can't be determined,,B,MCQ,"In given question there are three boxes incorrectly labeled: Box 3 labeled as Apples and Oranges - Original Content can be Apple or Orangle (This box will have only one fruit, so whichever we pick would  be the correct label). Let's say the picked item was Apple, therefore the box labeled Orange will have Apples and Oranges.) Box 2 - Oranges - This box will definitely not have orange (as its mislabeled) and it can not contain only apple (As it is in box 3) - So this will have Original Content- both oranges and Apples Box 1 - Apples - This is the leftover box and it can now have Original Content - Orange Therefore option B is correct",
41,X is 30 digit number starting with 4 followed 7. Then number X 3 will have,,90 digits,,91 digits,,92 digits,,93 digits,,A,MCQ,"X = 4777....(till 30 digits) or X = 4.7777⋯ ∗ 10 29 X 29 = (4.777⋯∗10 29 ) 3 = (4.777…) 3 ∗ 10 87 So, (X 3 ) 3 requires 3 + 87 = 90 digits. Therefore, option A",
