Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
14,"The binary relation S = ф (empty set) on set A = {1, 2, 3} is :",,Neither reflexive nor symmetric,,Symmetric and reflexive,,Transitive and reflexive,,Transitive and symmetric,,D,MCQ,"Reflexive : A relation is reflexive if every element of set is paired with itself. Here none of the element of A is paired with themselves, so S is not reflexive. Symmetric : This property says that if there is a pair (a, b) in S, then there must be a pair (b, a) in S. Since there is no pair here in S, this is trivially true, so S is symmetric. Transitive : This says that if there are pairs (a, b) and (b, c) in S, then there must be pair (a,c) in S. Again, this condition is trivially true, so S is transitive. Thus, option (D) is correct. Please comment below if you find anything wrong in the above post.",
15,Which of the following is true?,,The set of all rational negative numbers forms a group under multiplication.,,The set of all non-singular matrices forms a group under multiplication.,,The set of all matrices forms a group under multiplication.,,Both (2) and (3) are true.,,B,MCQ,"A group is a set of elements such that any two elements of the group combine to form a third element of the same group. Also, a group must satisfy certain properties: Closure Property - Any two elements of the set when operated open by an operator form a third element that must also be in the set. Associative Property - For an expression with three or more operands having the same operator between them, the order of operation does not matter as long as the sequence of operands are not changed. For example, (a + b) + c = a + (b + c). Identity element Property - Each set must have an identity element, which is an element of the set such that when operated upon with another element of the set, it gives the element itself. For example, a + 0 = a. Here, 0 is the identity element. Invertibility Property - For each element of the set, inverse should exist. Now, for the given statements, we have  A is incorrect as it does not satisfies closure property. If we take two negative numbers and multiply them, we get a positive number which is not in the set.  B is correct. The matrices in the set must be non - singular, i.e., their determinant should not be zero, for the inverse to exist (Invertibility Property). C is incorrect as the inverse of a singular (determinant = 0) matrix does not exist (Invertibility Property violated). Thus, B is the correct option.",
16,The rank of the given matrix is: [Tex]\begin{bmatrix} 1 & 1 \\ 0 & 0 \end{bmatrix}[/Tex],,1,,0,,2,,4,,A,MCQ,"Rank of the matrix is defined as the maximum number of linearly independent vectors (or) the number of non-zero rows in its row-echelon matrix. A = [Tex]\begin{bmatrix} 1 & 1 \\ 0 & 0 \end{bmatrix}[/Tex] Since the matrix A is already in echelon form, Just count the number of non-zero rows to get the rank of the matrix = 1.",
17,"Let f(A, B) = A' + B. Simplified expression for function f(f(x + y, y)z) is :",,x' + z,,xyz,,xy' + z,,None of these,,C,MCQ,"Simplified expression for given function 'g' is : g = f( f(x + y, y), z) g = f( ((x + y)’ + y), z) g = f( (x’y’ + y), z)    g = f( ((y + y’) * (x’ + y)), z)                        g = f( (1 * (x’ + y)), z)                        g = f( (x’ + y), z) g = (x’ + y)’ + z) g = xy’ + z Thus, option (C) is correct.",
18,"Consider the following multiplexor where 10, 11, 12, 13 are four data input lines selected by two address line combinations A1A0 = 00, 01, 10, 11 respectively and f is ""the output of the multiplexor. EN is the enable input. The function f(x, y, z) implemented by the above circuit is :",http://www.geeksforgeeks.org/wp-content/uploads/gq/2014/11/GATECS200227-300x108.png,xyz',,xy + z,,x + z,,None of these,,A,MCQ,"F = (A1’A0’I0 + A1’A0I1 + A1A0’I2 + A1A0I3) * EN F = (XYZ' +XYZ + Y'ZY + ZY')Z' F = (XYZ' +XYZ + ZY'(Y + 1))Z' F = (XYZ' +XYZ + ZY' * 1)Z' F = (XY(Z’ + Z) + ZY’)Z’ F = (XY + ZY’)Z’ F = XYZ’ + 0 F = XYZ' Thus, option (A) is correct",
19,"Consider the following logic circuit whose inputs and function and output is f. Figure Given that f1(dx, y, z) = ∑(0, 1, 3, 5), f2(dx, y, z) = ∑(6, 7) and f(dx, y, z) = ∑(1, 4, 5), f3 is :",https://media.geeksforgeeks.org/wp-content/uploads/20250701170638641421/logic-gates.webp,"∑(1, 4, 5)",,"∑(6, 7)",,"∑(0, 1, 3, 5)",,None of these,,A,MCQ,"Function  f will be: f = ((f1f2)′(f3)')′ = (f1f2) + f3 Since AND of two expressions will contain the common terms and f1 and f2 don't have any common term, so f1f2 is 0 and hence f = f3 = Σ(1,4,5).  Option (A) is correct.",
20,"Minimum sum of product expression for f(w, x, y, z) shown in Karnaugh-map below is yz \\ wx 00 01 11 10 00 0 1 1 0 01 x 0 0 1 11 x 0 0 1 10 0 1 1 x",,xz + y'z,,xz' + zx',,x'y + zx',,None of these,,B,MCQ,On solving this we get xz’+zx’ so ans is (B) part,https://media.geeksforgeeks.org/wp-content/uploads/20240320105848/GATE-CS-2002-Question-50.jpg
21,"The Finite state machine described by the following state diagram with A as starting state, where an arc label is x / y and x stands for 1-bit input and y stands for 2- bit output",http://www.geeksforgeeks.org/wp-content/uploads/gq/2014/11/GATECS2002Q28-300x70.png,Outputs the sum of the present and the previous bits of the input.,,Outputs 01 whenever the input sequence contains 11.,,Outputs 00 whenever the input sequence contains 10.,,None of these,,A,MCQ,"We assume the input string to be 1101. 1.  (A, 1) -->  (B, 01)     Here, previous input bit + present input bit = 0 + 1 = 01 = output 2. (B, 1) --> (C, 10) Here, previous input bit + present input bit = 1 + 1 = 10 = output 3. (C, 0) --> (A, 01) Here, previous input bit + present input bit = 1 + 0 = 01 = output 4. (A, 1) --> (B, 01)     Here, previous input bit + present input bit = 0 + 1 = 01 = output Thus, option (A) is correct.",
22,The smallest finite automation which accepts the language {x | length of x is divisible by 3} has :,,2 states,,3 states,,4 states,,5 states,,B,MCQ,"Thus, we require 3 states. So, B is the correct choice. Please comment below if you find anything wrong in the above post.",http://www.geeksforgeeks.org/wp-content/uploads/gq/2015/12/gate-2002-38.png
23,The language accepted by a Pushdown Automation in which the stack is limited to 10 items is best described as,,Context Free,,Regular,,Deterministic Context Free,,Recursive,,B,MCQ,"Pushdown automata is used for context free languages, i.e., languages in which the length of elements is unrestricted and length of one element is related to other. To resolve this problem, we use a stack with no restrictions on length. But in the given case, length of stack is restricted. Thus, this pushdown automata can only accept languages which can also be accepted by finite state automata and a finite state automata accepts only regular languages. Thus, B is the correct choice.",
24,Which of the following is true?,,The complement of a recursive language is recursive.,,The complement of a recursively enumerable language is recursively enumerable.,,The complement of a recursive language is either recursive or recursively enumerable.,,The complement of a context-free language is context-free.,,A,MCQ,,
25,The trapezoidal rule for integration give exact result when the integrand is a polynomial of degree:,,0 but not 1,,1 but not 0,,0 or 1,,2,,C,MCQ,,
26,The Newton-Raphson iteration X n + 1 = (X n /2) + 3/(2X n ) can be used to solve the equation,,X 2 = 3,,X 3 = 3,,X 2 = 2,,X 3 = 2,,A,MCQ,"In this, We use the following formula to get the next value of f(x). f'(x) is derivative of f(x). Option (A) X 2 = 3 f(x) = X 2 - 3 X n + 1 = X n - (X n 2 - 3) / (2*X n ) =  (X n /2) + 3/(2x n )",http://www.geeksforgeeks.org/wp-content/uploads/gq/2013/12/af2d6f780d8673d64e8cc328ae52631d.png
27,The minimum number of colours required to colour the vertices of a cycle with η nodes in such a way that no two adjacent nodes have the same colour is,,2,,3,,4,,n - 2⌊n/2⌋ + 2,,D,MCQ,We need 3 colors to color a odd cycle and 2 colors to color an even cycle.,
28,Maximum number of edges in a n - node undirected graph without self loops is,,n 2,,n(n - 1)/2,,n - 1,,(n + 1) (n)/2,,B,MCQ,"Since the given graph is undirected, that means the order of edges doesn't matter.  Since we have to insert an edge between all possible pair of vertices, therefore problem reduces to finding the count of the number of subsets of size 2 chosen from the set of vertices.   Since the set of vertices has size n, the number of such subsets is given by the binomial coefficient C(n,2) (also known as ""n choose 2""). Using the formula for binomial coefficients, C(n,2) = n(n-1)/2.e",
29,The performance of a pipelined processor suffers if :,,the pipeline stages have different delays,,consecutive instructions are dependent on each other,,the pipeline stages share hardware resources,,all of the above,,D,MCQ,"Pipelining is a method to execute a program breaking it in several independent sequence of stages.  In that case pipeline stages can’t have different delays ,no dependency among consecutive  instructions and sharing of hardware resources should not be there.  So option (D) is correct",
30,"""If X, then Y unless Z"" is represented by which of the following formulae in propositional logic ? (""¬"" is negation ""^"" is conjunction, and ""→"" is implication)",,(X ^ ¬ Z) → Y,,(X ^ Y) → ¬ Z,,(X → (Y ^ ¬ Z),,(X → Y(^ ¬ Z),,A,MCQ,"The statement ""If X then Y unless Z"" means, if Z doesn't occur, X implies Y i.e. ¬Z→(X→Y), which is equivalent to Z ∨ (X→Y) (since P→Q ≡ ¬P ∨ Q), which is then equivalent to Z ∨ (¬X ∨ Y). Now we can look into options which one matches with this. So option (a) is (X∧¬Z)→Y = ¬( (X∧¬Z) ) ∨ Y = (¬X∨Z) ∨ Y, which matches our expression. So option (A) is correct. Source: http://www.cse.iitd.ac.in/~mittal/gate/gate_math_2002.html",
31,The results returned by functions under value-result and reference parameter passing conventions,,Do not differ,,Differ in the presence of loops,,Differ in all cases,,May differ in the presence of exceptions,,D,MCQ,"The result is updated since the updated values are returned back to the original variable. In call by reference, any change in the variable reflects immediately.",
32,"In 2' s complement addition, overflow",,is flagged whenever there is carry from sign bit addition,,cannot occur when a positive value is added to a negative value,,is flagged when the carries from sign bit and previous bit match,,none of the above,,B,MCQ,is flagged when the carries from sign bit and previous bit DO NOT match.,
33,The decimal value 0.25,,is equivalent to the binary value 0.1,,is equivalent to the binary value 0.01,,is equivalent to the binary value 0.00111....,,cannot be represented precisely in binary,,B,MCQ,"We have 0.25 10 0.25 * 2 = 0 .50          0 (whole part) 0.50 * 2 = 1 .00          1 (whole part) So, 0.25 10 = 0.01 2 Thus, B is the correct choice. Please comment below if you find anything wrong in the above post.",
34,The 2' s complement representation of the decimal value - 15 is,,1111,,11111,,111111,,10001,,D,MCQ,"We have -15 10 = 1 1111 2 1's complement of  -15 = 1 0000 (Here, 1 represents negative sign)  2's complement of -15 = 1 0001     Hence, D is the correct choice.",
35,Sign extension is a step in,,floating point multiplication,,signed 16 bit integer addition,,arithmetic left shift,,converting a signed integer from one size to another,,D,MCQ,,
36,Horizontal microprogramming :,,does not require use of signal decoders,,results in larger sized microinstructions than vertical microprogramming,,uses one bit for each control signal,,all of the above.,,D,MCQ,"In horizontal microprogramming the instruction size is less as compared to vertical microprogramming. So, there is no need for decoding. But, one bit is used for all control signals to execute the microinstruction.  If the bit is set to ‘1’  the control signal field is activated. If the bit is set to ‘0’ the control signal field is deactivated. Thus, option (D) is correct.",
37,"What are the states of the Auxiliary Carry (AC) and Carry Flag (dCY) after executing the following 8085 program? MVI L, 5DH MVI L, 6BH MOV A, H ADD L",,AC = 0 and CY = 0,,AC = 1 and CY = 1,,AC = 1 and CY = 0,,AC = 0 and CY = 0,,C,MCQ,"First we load  5D in L register But we have not stored it to the accumulator So, when we load 6B in L register, it overwrites 5D in L register and the same value 6BH is copied to accumulator Now A = 6BH L = 6BH ADD L i.e. A = A + L It will generate internal carry i.e. B + B = 22 i.e. 22 - 16 = 6 adding 2 to 6 + 6 => we get 14 => D Hence answer is D6 Since there is internal carry only, no final carry as 14 < 16 So, Auxiliary carry flag(AC) = 1 Carry Flag(CY) = 0",
38,"In 8085, which of the following modifies the program counter ?",,Only PCHL instruction,,Only ADD instructions,,Only JMP and CALL instructions,,All instructions,,D,MCQ,Program counter is the register which has the next location of the program to be executed next. JMP & CALL changes the value of PC. PCHL instruction copies content of registers H & L to PC.  ADD instruction after completion increments program counter. So program counter is modified in all cases. Hence (D) is correct option.,
39,A device employing INTR line for device interrupt puts the CALL instruction on the data bus while A) is active B)	HOLD is active C)	READY is active D)	None of these,http://www.geeksforgeeks.org/wp-content/uploads/gq/2014/11/gatecs2002Q8.png,A,,B,,C,,D,,A,MCQ,"Explanation: INTR is a signal which if enabled then microprocessor has interrupt enabled .It receives high INTR signal and activates INTA signal, So another request can’t be accepted till CPU is busy in servicing interrupt  So (A) is correct option.",
40,In the absolute addressing mode,,the operand is inside the instruction,,the address of the operand is inside the instruction,,the register containing address of the operand is specified inside the instruction,,the location of the operand is implicit,,B,MCQ,(b) is the answer. Absolute addressing mode means address of operand is given in the instruction.  (a) operand is inside the instruction -> immediate addressing (c) -> register addressing (d) -> implicit addressing,
41,Which of the following scheduling algorithms is non-preemptive?,,Round Robin,,First-In First-Out,,Multilevel Queue Scheduling,,Multilevel Queue Scheduling with Feedback,,B,MCQ,"1. Round Robin: Preemption takes place when the time quantum expires 2. First In First Out: No Preemption, the process once started completes before the other process takes over 3. Multi Level Queue Scheduling: Preemption takes place when a process of higher priority arrive 4. Multi Level Queue Scheduling with Feedback: Preemption takes a place when process of higher priority arrives or when the quantum of high priority queue expires and we need to move the process to low priority queue  So, B is the correct choice.",
42,"Consider the following declaration of a two dimensional array in C: C char a [ 100 ][ 100 ]; Assuming that the main memory is byte-addressable and that the array is stored starting from memory address 0, the address of a [40][50] is :",,4040,,4050,,5040,,5050,,B,MCQ,Address of a[40][50] = Base address + 40*100*element_size + 50*element_size 0 + 4000*1 + 50*1 4050,
43,In the C language,,At most one activation record exists between the current activation record and the activation record for the main,,The number of activation records between the current activation record and the activation record for the main depends on the actual function calling sequence.,,The visibility of global variables depends on the actual function calling sequence.,,Recursion requires the activation record for the recursive function to be saved on a different stack before the recursive function can be called.,,B,MCQ,"The portion of the stack used for an invocation of a function is called the function’s stack frame or activation record. An activation record is another name for Stack Frame. It's the data structure that composes a call stack. It is generally composed of: Locals to the callee Return address to the caller Parameters of the callee The Call Stack is thus composed of any number of activation records that get added to the stack as new subroutines are added, and removed from the stack (usually) as they return. In C language the program execution starts with main function, so it is the first activation record in the function stack. Now looking at each option- : Option a - The statement is false as any number of functions can be called from the main. It might not be necessary that at-most one activation record exist and activation record of main. For example- as in case of recursion. Recurse (int n) { if(n==0) return ; else recurse(n-1); } In above example activation record of main and recurse(4) will have activation record of recurse(5), recurse(6) (more than one) if we pass n=6 initially to the function. Option b - True as soon as a function is called its activation record is created in the function stack. Option c - In C language variables are statically scoped not dynamically, the global variables are statically assigned address space when the execution starts not depending on when and where they are used. Option d - The functions are stored in the same each time recursive call is made, considering the above recurse function Recurse(4) Recurse(5) Recurse(6) Main() Refer http://geeksquiz.com/c-misc-question-1/ This solution is contributed by P arul sharma.",
44,"In the worst case, the number of comparisons needed to search a singly linked list of length n for a given element is",,log 2 n,,n/2,,log 2 n - 1,,n,,D,MCQ,"Singly linked list has uni - directional flow, i.e., it has only one pointer for moving (the next pointer).  In the worst case, for searching an element in the singly linked list, we will have to traverse the whole list (the case when the required element is either the last element or is not present in the list).  So, in the worst case for a list of length n, we will have to go to each node for comparison and thus, we would be needing 'n' comparisons.  Thus, D is the correct choice.     Please comment below if you find anything wrong in the above post.",
45,"Which combination of the following features will suffice to characterize an OS as a multi-programmed OS? (a) More than one program may be loaded into main memory at the same time for execution. (b) If a program waits for certain events such as I/O, another program is immediately scheduled for execution. (c) If the execution of program terminates, another program is immediately scheduled for execution.",,a,,a and b,,a and c,,"a, b and c",,B,MCQ,"(a) More than one program may be loaded into main memory at the same time for execution. True: Only done in a multiprogrammed OS, not in single programmed OS (b) If a program waits for certain events such as I/O, another program is immediately scheduled for execution. True: Only done in a multiprogrammed OS, not in single programmed OS (c) If the execution of program terminates, another program is immediately scheduled for execution. False: Done in both Multiprogrammed and single programmed OSs",
46,"A weight-balanced tree is a binary tree in which for each node, the number of nodes in the left subtree is at least half and at most twice the number of nodes in the right subtree. The maximum possible height (number of nodes on the path from the root to the furthest leaf) of such a tree on n nodes is best described by which of the following?",,log 2 n,,log 4/3 n,,log 3 n,,log 3/2 n,,D,MCQ,,http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/01/anil_ds_37.png
47,The running time of the following algorithm Procedure A(n) If n < = 2 return (1) else return (A(Image not present√nImage not present)); is best described by :,,O(n),,O(log n),,O(log Log n),,O(l1),,C,MCQ,Now let the function is called k times Taking log on both side (base 2). Taking log again. Running time complexity = number of function calls = k = Therefore Running time complexity =,"http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/12/parul_7.png, http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/12/parul_8.png, http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/12/parul_9.png, http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/12/parul_9.png"
48,"Consider the following algorithm for searching for a given number x in an unsorted array A[1.....n] having n distinct values: 1. Choose an i uniformly at random from 1..... n; 2. If A[i] = x then Stop else Goto 1; Assuming that x is present in A, what is the expected number of comparisons made by the algorithm before it terminates ?",,n,,n - 1,,2n,,n/2,,A,MCQ,"If you remember the coin and dice questions, you can just guess the answer for the above. Below is proof for the answer. Let expected number of comparisons be E. Value of E is sum of following expression for all the possible cases. number_of_comparisons_for_a_case * probability_for_the_case Case 1 If A[i] is found in the first attempt number of comparisons = 1 probability of the case  = 1/n Case 2 If A[i] is found in the second attempt number of comparisons = 2 probability of the case  = (n-1)/n*1/n Case 3 If A[i] is found in the third attempt number of comparisons = 2 probability of the case  = (n-1)/n*(n-1)/n*1/n There are actually infinite such cases. So, we have following infinite series for E. E  = 1/n + [(n-1)/n]*[1/n]*2 + [(n-1)/n]*[(n-1)/n]*[1/n]*3 + ….  (1) After multiplying equation (1) with (n-1)/n, we get E (n-1)/n = [(n-1)/n]*[1/n] + [(n-1)/n]*[(n-1)/n]*[1/n]*2 + [(n-1)/n]*[(n-1)/n]*[(n-1)/n]*[1/n]*3 ……….(2) Subtracting (2) from (1), we get E/n = 1/n + (n-1)/n*1/n + (n-1)/n*(n-1)/n*1/n + ………… The expression on right side is a GP with infinite elements. Let us apply the sum formula (a/(1-r)) E/n = [1/n]/[1-(n-1)/n]  = 1 E = n",
49,"The number of leaf nodes in a rooted tree of n nodes, with each node having 0 or 3 children is:",,n/2,,(n - 1)/3,,(n - 1)/2,,(2n + 1)/3,,D,MCQ,See http://geeksquiz.com/data-structures-binary-trees-question-17/,
50,"A B+ -tree index is to be built on the Name attribute of the relation STUDENT. Assume that all student names are of length 8 bytes, disk block are size 512 bytes, and index pointers are of size 4 bytes. Given this scenario, what would be the best choice of the degree (i.e. the number of pointers per node) of the B+ -tree?",,16,,42,,43,,44,,C,MCQ,Size of 1 record = 8 + 4 = 12 Let the order be N. No. of index values per block = N - 1 (N - 1) 12 + 4 = 512 12N - 12 + 4 = 512 12N - 8 = 512 12N = 520 N = 520/12 N = 43.333,
