Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
11,"Let P, Q and R be sets let Δ denote the symmetric difference operator defined as PΔQ = (P U Q) - (P ∩ Q). Using Venn diagrams, determine which of the following is/are TRUE? PΔ (Q ∩ R) = (P Δ Q) ∩ (P Δ R) P ∩ (Q ∩ R) =  (P ∩ Q) Δ (P Δ R)",,1 only,,2 only,,Neither 1 nor 2,,Both 1 and 2,,C,MCQ,Venn Diagram 1 Venn Diagram 2 Venn Diagram 3 Venn Diagram 4 From above Venn diagrams answer C,"https://media.geeksforgeeks.org/wp-content/uploads/20250421162714819346/GATE-IT-2006-Q23-1-300.jpg, https://media.geeksforgeeks.org/wp-content/uploads/20250421162901014844/GATE-IT-2006-Q23-1-300.jpg, https://media.geeksforgeeks.org/wp-content/uploads/20250421163028567415/GATE-IT-2006-Q23-2-300.jpg, https://media.geeksforgeeks.org/wp-content/uploads/20250421163130927174/GATE-IT-2006-Q23-3-300.jpg"
12,"Consider the following first order logic formula in which R is a binary relation symbol. ∀x∀y (R(x, y)  => R(y, x)) The formula is",,satisfiable and valid,,satisfiable and so is its negation,,unsatisfiable but its negation is valid,,satisfiable but its negation is unsatisfiable,,B,MCQ,"VxVy R(x,y) => R(y,x) The above given relation is symmetry But, we have both symmetric relations possible and also possibility of anti symmetric relation. But neither of always holds for all possibilities of sets. => Both are satisfiable but not valid",
13,"The addition of 4-bit, two's complement, binary numbers 1101 and 0100 results in",,0001 and an overflow,,1001 and no overflow,,0001 and no overflow,,1001 and an overflow,,C,MCQ,"Its  -3+4=1, so no overflow  So Answer is C.",
14,"In the automaton below, s is the start state and t is the only final state. Consider the strings u = abbaba, v = bab, and w = aabb. Which of the following statements is true?",http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/03/download1.png,The automaton accepts u and v but not w,,"The automaton accepts each of u, v, and w",,"The automaton rejects each of u, v, and w",,The automaton accepts u but rejects v and w,,D,MCQ,For the acceptance and rejection of any string we can simply check for the movement on each input alphabet between states. A string is accepted if we stop at any final state of the DFA. For string u=abbaba the string ends at t (final state) hence it is accepted by the DFA. For string v=bab the string ends at s (non-final state) and hence rejected by the DFA. For string w=aabb the string ends at s (non-final state) and hence rejected by the DFA.,
15,"In the context-free grammar below, S is the start symbol, a and b are terminals, and ϵ denotes the empty string  S → aSa | bSb | a | b | ϵ  Which of the following strings is NOT generated by the grammar?",,aaaa,,baba,,abba,,babaaabab,,B,MCQ,"The given Language is  Palindrome. A,C and D follow the language but baba is not a palindrome  , so B is the answer",
16,Which regular expression best describes the language accepted by the non-deterministic automaton below?,http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/03/download-7.png,(a + b)* a(a + b)b,,(abb)*,,(a + b)* a(a + b)* b(a + b)*,,(a + b)*,,A,MCQ,,
17,"Consider the pushdown automaton (PDA) below which runs over the input alphabet (a, b, c). It has the stack alphabet {Z 0 , X} where Z 0 is the bottom-of-stack marker. The set of states of the PDA is (s, t, u, f} where s is the start state and f is the final state. The PDA accepts by final state. The transitions of the PDA given below are depicted in a standard manner. For example, the transition (s, b, X) → (t, XZ 0 ) means that if the PDA is in state s and the symbol on the top of the stack is X, then it can read b from the input and move to state t after popping the top of stack and pushing the symbols Z 0 and X (in that order) on the stack. (s, a, Z 0 )    →     (s, XXZ 0 ) (s, ϵ, Z 0 )    →     (f, ϵ) (s, a, X)     →     (s, XXX) (s, b, X)     →     (t, ϵ) (t, b, X)     →     (t,.ϵ) (t, c, X)      →     (u, ϵ) (u, c, X)     →     (u, ϵ) (u, ϵ, Z 0 )    →     (f, ϵ) The language accepted by the PDA is",,{a l b m c n |  l = m = n},,{a l b m c n |  l = m},,{a l b m c n |  2l = m+n},,{a l b m c n |  m=n},,C,MCQ,"Every input 'a' inserts two X into the stack and each X can be consumed by 'b' or 'c' only. On input 'a' there is no rule which gives ϵ. Thus for each 'a', termination is performed by 'b' or 'c' or both.  Example: Input: a 3 b 2 c 4 Stack:Z 0 After three a's: Stack: XXXXXXZ 0 After two b's: Stack: XXXXZ 0 After four c's: You can reach the final state. a 3 b 2 c 4 is also accepted here.",
18,"When multiplicand Y is multiplied by multiplier X = xn - 1xn-2 ....x0 using bit-pair recoding in Booth's algorithm, partial products are generated according to the following table. The partial products for rows 5 and 8 are",https://www.geeksforgeeks.org/wp-content/uploads/gq/2016/05/2006_38.jpg,2Y and Y,,-2Y and 2Y,,-2Y and 0,,0 and Y,,C,MCQ,"ALU cannot directly multiply numbers, it can only add, subtract or shift. Booth’s algorithm is a means by which we can perform multiplication with the help of addition, subtraction and shift. For performing multiplication, write both the signed numbers in binary and make the no. of bits in both equal by padding 0. Here, partial product is calculated by bit pair recoding in booth’s algorithm. (-2 x(i+1)+x(i)+x(i-1))Y So, option (C) is correct.",
19,"A computer system has a level-1 instruction cache (1-cache), a level-1 data cache (D-cache) and a level-2 cache (L2-cache) with the following specifications: The length of the physical address of a word in the main memory is 30 bits. The capacity of the tag memory in the I-cache, D-cache and L2-cache is, respectively,",http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/05/2006_43-300x150.jpg,"1 K x 18-bit, 1 K x 19-bit, 4 K x 16-bit",,"1 K x 16-bit, 1 K x 19-bit, 4 K x 18-bit",,"1 K x 16-bit, 512 x 18-bit, 1 K x 16-bit",,"1 K x 18-bit, 512 x 18-bit, 1 K x 18-bit",,A,MCQ,Number of blocks in cache = Capacity / Block size = 2 m Bits to represent blocks = m Number of words in a block =  2 n words Bits to represent a word = n tag bits = (length of the physical address of a word) – (Bits to represent blocks ) – (Bits to represent a word) Each block will have it's own tag bits. So total tag bits = number of blocks x tag bits.,
20,A cache line is 64 bytes. The main memory has latency 32ns and bandwidth 1G.Bytes/s. The time required to fetch the entire cache line from the main memory is,,32 ns,,64 ns,,96 ns,,128 ns,,C,MCQ,"for 1 GBps bandwidth => it takes 1 sec to load 109 bytes on line so, for 64 bytes it will take 64 * 1 /109 =  64 ns main memory latency given is 32 so, total time required to place cache line is 64+32 = 96 ns",
21,Which of the following statements about relative addressing mode is FALSE?,,It enables reduced instruction size,,It allows indexing of array elements with same instruction,,It enables easy relocation of data,,It enables faster address calculations than absolute addressing,,D,MCQ,"Explanation: As relative address are calculated from absolute address, So relative addressing cannot be faster than absolute addressing. relative address =  absolute address + offset relative address find using the absolute address, so the address calculation is slower for relative address than absolute address",
22,Which of the following statements is TRUE?,,Both Ethernet frame and IP packet include checksum fields,,Ethernet frame includes a checksum field and IP packet includes a CRC field,,Ethernet frame includes a CRC field and IP packet includes a checksum field,,Both Ethernet frame and IP packet include CRC fields,,C,MCQ,"ETHERNET FRAME FORMAT: 1. It also called IEEE 802.3 protocol. 2. Used at data link layer, bus topology, CSMA/CD access control, NO acknowledgement used. 3. For securing CRC is used, more precisely, CRC-32 bit. IP DATAGRAM FORMAT: IP datagram uses 16-bit checksum. So, ETHERNET->CRC and IP->checksum.","https://cdncontribute.geeksforgeeks.org/wp-content/uploads/gatecs_19.png, https://cdncontribute.geeksforgeeks.org/wp-content/uploads/gatecs0_19.png"
23,Which feature of OOP indicates code reusability?,,Abstraction,,Polymorphism,,Encapsulation,,Inheritance,,D,MCQ,Inheritance indicates the code reusability. Encapsulation and abstraction are meant to hide/group data into one element. Polymorphism is to indicate different tasks performed by a single entity.,
24,"The following function computes the value of m C n correctly for all legal values m and n (m≥1,n≥0 and m>n) C int func ( int m , int n ) { if ( E ) return 1 ; else return ( func ( m -1 , n ) + func ( m - 1 , n - 1 )); } In the above function, which of the following is the correct expression for E?",,(n = = 0) || (m = = 1),,(n = = 0) && (m = = 1),,(n = = 0) || (m = = n),,(n = = 0) && (m = = n),,C,MCQ,Make a recursion tree of the given function recursion.,
25,"Which one of the choices given below would be printed when the following program is executed? C #include void swap ( int * x , int * y ) { static int * temp ; temp = x ; x = y ; y = temp ; } void printab () { static int i , a = -3 , b = -6 ; i = 0 ; while ( i <= 4 ) { if (( i ++ ) % 2 == 1 ) continue ; a = a + i ; b = b + i ; } swap ( & a , & b ); printf ( ""a =  %d, b = %d \\ n"" , a , b ); } main () { printab (); printab (); }",,"a = 0, b = 3 a = 0, b = 3",,"a = 3, b = 0 a = 12, b = 9",,"a = 3, b = 6 a = 3, b = 6",,"a = 6, b = 3 a = 15, b = 12",,D,MCQ,"Things to ponder: • swap function doesn’t actually swaps two variables, rather just swaps their addresses in local variables x and y - which is effectively nothing once swap function returns. • printab function adds 9 to static variables a and b. The number 9 comes from the fact that the while loop executes those arithmetic statements only when i = 1, 3, 5. Hence, when printab is called for the first time, these are the local variable values: a = −3 + 9 and b = −6 + 9. On the second time, a = −3 + 9 + 9 and b = −6 + 9 + 9 are the desired values. Therefore, correct answer would be (D) a = 6, b = 3; a = 15, b = 12.",
26,"A link of capacity 100 Mbps is carrying traffic from a number of sources. Each source generates an on-off traffic stream; when the source is on, the rate of traffic is 10 Mbps, and when the source is off, the rate of traffic is zero. The duty cycle, which is the ratio of on-time to off-time, is 1 : 2. When there is no buffer at the link, the minimum number of sources that can be multiplexed on the link so that link capacity is not wasted and no data loss occurs is S 1 . Assuming that all sources are synchronized and that the link is provided with a large buffer, the maximum number of sources that can be multiplexed so that no data loss occurs is S 2 . The values of S 1 and S 2 are, respectively,",,10 and 30,,12 and 25,,5 and 33,,15 and 22,,A,MCQ,"10 Mbps * n <= 100 Mbps   {n= number of stations} n = 10 if n is very large: a station transmits with probability 1/(1+2 = 1/3, with a capacity of 10Mbps so, for n stations: (1/3)*10+(1/3)*10+(1/3)*10+ ……… + n times <= 100 Mbps (1/3)*10[1+1+1+1+…….+ n times] <= 100 (1/3)*10*n<=100 n=30",
27,"On a wireless link, the probability of packet error is 0.2. A stop-and-wait protocol is used to transfer data across the link. The channel condition is assumed to be independent from transmission to transmission. What is the average number of transmission attempts required to transfer 100 packets?",,100,,125,,150,,200,,B,MCQ,Probability of success = 0.8 E = 0.8 * 1 + 0.8 * 1 +... n times = 100   {for 100 packets} => 0.8 * 1 * n = 100 => n = 125 to receive 100 packets we have to transmit 125 packets,
28,"Consider the following XML DTD describing course information in a university: XML <!ELEMENT Univ (Course+, Prof+)> <!ELEMENT Course (Title, Eval*)> <!ATTLIST Course Number ID #REQUIRED Instructor IDREF #IMPLIED> <!ELEMENT Title (#PCDATA)> <!ELEMENT Eval (#PCDATA)> <!ATTLIST Eval Score CDATA #REQUIRED> <!ELEMENT Prof EMPTY> <!ATTLIST Prof Name ID #REQUIRED Teaches IDREF #IMPLIED> What is returned by the following XQuery? let $as := / /@Score for $c in /Univ/Course[Eval] let $cs := $c/Eval?@Score where min($cs) > avg($as) return $c",,The professor with the lowest course evaluation,,Professors who have all their course evaluations above the university average,,The course with the lowest evaluation,,Courses with all evaluations above the university average,,C,MCQ,Out of syllabus now,
29,A router has two full-duplex Ethernet interfaces each operating at 100 Mb/s. Ethernet frames are at least 84 bytes long (including the Preamble and the Inter-Packet-Gap). The maximum packet processing time at the router for wirespeed forwarding to be possible is (in micro­seconds),,0.01,,3.36,,6.72,,8,,B,MCQ,"Here, we need to maintain the speed of wire, it means the receiving and sending rates both are the maximum possible,i.e., maximum throughput. So, processing time should be at most same as minimum transmission time to maintain the wire speed. As if router will process it in the minimum transmission time even if a packet is transmitted in minimum time it gets processed and the packet doesn’t get delayed for transmission.   Since router has two full-duplex Ethernet interfaces each operating at 100 Mb/s. Therefore, maximum packet processing time at the router, = minimum transmission time = (84 bytes) / (2*100 bits per sec) = (84 * 8 bits) / (2*100 bits per sec) = 3.36 seconds So, option (B) is correct.",
30,"In the 4B/5B encoding scheme, every 4 bits of data are encoded in a 5-bit codeword. It is required that the codewords have at most 1 leading and at most 1 trailing zero. How many such codewords are possible?",,14,,16,,18,,20,,C,MCQ,The possible codewords should not have 00xxx or xxx00 => Total possible combinations of 5 bits – for (00xxx or xxx00)+ (00x00) {as 00x00 is subtracted twice once each from both cases} => 32 – (8+8) +2 = 18,
31,"Suppose that it takes 1 unit of time to transmit a packet (of fixed size) on a communication link. The link layer uses a window flow control protocol with a window size of N packets. Each packet causes an ack or a nak to be generated by the receiver, and ack/nak transmission times are negligible. Further, the round trip time on the link is equal to N units. Consider time i > N. If only acks have been received till time i(no naks), then the goodput evaluated at the transmitter at time i(in packets per unit time) is",,1 - N/i,,i/(N + i),,1,,1 - e (i/N),,A,MCQ,"successfully delivered packets = (i-N) {transmission time of a packet =1 unit, so in i time i packets can be transmitted. And RTT = N, so only N packets are ACKed} So, for time i, i-N packets are transmitted Goodput = Successfully delivered data/ Time = (i-N)/i = 1- N/i",
32,A router uses the following routing table: A packet bearing a destination address 144.16.68.117 arrives at the router. On which interface will it be forwarded?,http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/05/2006_63-300x104.png,eth0,,eth1,,eth2,,eth3,,C,MCQ,"For sure A and B can not be answer For C: subnet address of interface = 144. 16 . 68 .0 Subnet address of incoming IP = 144.  16.  68. 117  AND 255.255.255.0   = 144.  16.  68.0 Both subnetwork addresses are same, so can be forwarded to this interface eth2 D: Subnet address of incoming IP = 144.  16.  68. 117  AND 255.255.255.224   = 144.  16.  68.96 Hence both subnet addresses are different, so cannot be forwarded to this eth3 interface.",
33,"An array X of n distinct integers is interpreted as a complete binary tree. The index of the first element of the array is 0. The index of the parent of element X[i],i≠0 is?",,lowerbound[i/2],,upperbound[(i-1)/2],,upperbound[i/2],,upperbound[i/2] -1,,D,MCQ,left child of ith element will be at 2*i+1 and right child at 2(i+1),
34,"In a database file structure, the search key field is 9 bytes long, the block size is 512 bytes, a record pointer is 7 bytes and a block pointer is 6 bytes. The largest possible order of a non-leaf node in a B+ tree implementing this file structure is",,23,,24,,34,,44,,C,MCQ,"For B+ tree with order n, index pointer p, and block size = B For a non leaf node it can be given that n*p + (n-1)*(k) <= B n*6 + (n-1)*9 <= 512 n <= 34.77",
35,"Consider a relation R with five attributes V, W, X, Y, and Z. The following functional dependencies hold: VY→ W, WX → Z, and ZY → V. Which of the following is a candidate key for R?",,VXZ,,VXY,,VWXY,,VWXYZ,,B,MCQ,"Using VY, W can be explored. With WX, Z can be explored",
36,"Consider the following structure chart diagram. The boxes have function names embedded in them, while the variables are indicated along the arcs. Given below are a set of statements relevant to the above diagram. I.   F3 and F6 can be in the same module. II.  F4 and F6 can be in the same module. III. A4 is both an output and a control variable. IV.  It is incorrect to pass A1 as data and use it as a control variable. Which combination of these statements is TRUE?",http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/05/2006_59-300x147.png,III and IV,,I and IV,,II and IV,,"I, II and IV",,B,MCQ,Out of syllabus now,
37,"A software program consists of two modules M 1 and M 2 that can fail independently, but never simultaneously. The program is considered to have failed if any of these modules fails. Both the modules are 'repairable' and so the program starts working again as soon as the repair is done. Assume that the mean time to failure (MTTF) of M 1 is T 1 with a mean time to repair (MTTR) of R 1 . The MTTF of M 2 is T 2 with an MTTR of R 2 . What is the availability of the overall program given that the failure and repair times are all exponentially distributed random variables?",,((T 1 T 2 )/(T 1 R 1 + T 2 R 2 )),,((R 1 R 2 )/(T 1 R 1 + T 2 R 2 )),,((T 1 T 2 )/(T 1 T 2 + T 1 R 1 + T 2 R 2 )),,((T 1 T 2 )/(T 1 T 2 + T 1 R 2 + T 2 R 1 )),,B,MCQ,,
38,"A pipelined processor uses a 4-stage instruction pipeline with the following stages: Instruction fetch (IF), Instruction decode (ID), Execute (EX) and Writeback (WB). The arithmetic operations as well as the load and store operations are carried out in the EX stage. The sequence of instructions corresponding to the statement X = (S - R * (P + Q))/T is given below. The values of variables P, Q, R, S and T are available in the registers R 0 , R 1 , R 2 , R 3 and R 4 respectively, before the execution of the instruction sequence. The number of Read-After-Write (RAW) dependencies, Write-After-Read( WAR) dependencies, and Write-After-Write (WAW) dependencies in the sequence of instructions are, respectively,",http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/05/2006_78-300x172.jpg,"2, 2, 4",,"3, 2, 3",,"4 ,2, 2",,"3 ,3, 2",,C,MCQ,Read After Write : 1. ADD -> MUL (R5) 2. MUL -> SUB (R6) 3. SUB -> DIV (R5) 4. DIV -> STORE (R6) Write After Read : 1. MUL -> SUB (R5) 2. DIV -> STORE (R6) Write After Write : 1. ADD -> SUB (R5) 2. MUL – DIV (R6),
39,The process state transition diagram of an operating system is as given below. Which of the following must be FALSE about the above operating system?,http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/03/download-3.png,It is a multiprogrammed operating system,,It uses preemptive scheduling,,It uses non-preemptive scheduling,,It is a multi-user operating system,,B,MCQ,"A - It is Correct - In a multiprogramming environment,  multiple processes can be in ready state B - It is Incorrect because once in running state there is no provision to go back to ready state C - It is Correct because once in running state there is no provision to go back to ready state D- It is Correct In a multi User environment,  multiple processes can be in ready state",
