Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
11,"The concurrent programming constructs fork and join are as below:
fork <label>         which creates a new process executing from the specified label
join <variable>    which decrements the specified synchronization variable (by 1) and terminates the process if the new value is not 0.

Show the precedence graph for S1, S2, S3, S4, and S5 of the concurrent program below. N = 2
   M = 2
   fork L3
   fork L4
   S1
L1:join N
   S3
L2:join M
   S5
L3:S2
   goto L1
L4:S4
   goto L2
next:",,,,,,,,,,,MCQ,,
12,Which of the following is an example of a spooled device?,,a line printer used to print the output of a number of jobs,,a terminal used to enter input data to a running program,,a secondary storage device in a virtual memory system,,a graphic display device,,A,MCQ,,
13,"A file system with a one-level directory structure is implemented on a disk with disk block size of 4K bytes. The disk is used as follows: a) What is the maximum possible number of files?
b) What is the maximum possible file size in blocks?",http://cdn.geeksforgeeks.org/wp-content/uploads/disk_block.png,,,,,,,,,,MCQ,,
14,The correct matching for the following pairs is A. Activation record	  1. Linking loader B. Location counter	    2. Garbage collection C. Reference counts	    3. Subroutine call D. Address relocation	  4. Assembler,,"A-3, B-4, C-1, D-2",,"A-4, B-3, C-1, D-2",,"A-4, B-3, C-2, D-1",,"A-3, B-4, C-2, D-1",,D,MCQ,,
15,The average number of key comparisons done in a successful sequential search in a list of length n is,,log n,,(n-1)/2,,n/2,,(n+1)/2,,D,MCQ,"If element is at 1 position then it requires 1 comparison. If element is at 2 position then it requires 2 comparison. If element is at 3 position then it requires 3 comparisons. Similarly, If element is at n position then it requires n comparison. Total comparison = n(n+1)/2 For average comparison = (n(n+1)/2) / n = (n+1)/2 Option (D) is correct.",
16,"The recurrence relation T(1) = 2
 T(n) = 3T(n/4)+n has the solution, T(n) equals to",,O(n),,O(log n),,O(n^3/4),,None of the above,,A,MCQ,"As the recurrence equation is given: = 3 (3t(n/4^2)+ n/4) +n = 3^2t(n/4^2 ) + n(1+3/4) = 3^2(3t(n/4^3) +n/4^2) + n(1+3/4) = 3^3t(n/4^3 ) + n(1+3/4 + 3^2/4^2) = 3^it(n/4^i) +  n(1+3/4 + 3^2/4^2 + ........+3^(i-1)/4^(i-1)) we will stop at  i = log4n, n/4^i = 1 Therefore, t(n) = 3^ log4nt(1) +n . Σ(k-= to log4 n-1) (3/4)^k <= 3log4n. Θ(1) + n  Σ( k= 0 to infinity) (3/4)^k = Θn^log4(3)+4n = o(n)+4n t(n) = O(n)",
17,"A library relational database system uses the following schema USERS (User#, UserName, HomeTown)
BOOKS (Book#, BookTitle, AuthorName)
ISSUED (Book#, User#, Date) Explain in one English sentence, what each of the following relational algebra queries is designed to determine",https://media.geeksforgeeks.org/wp-content/uploads/20240322121136/schema.jpg,Show all the Book Title which have been issued by User# 6.,,"The user who’s home town is Delhi and issued a book, Show all the name authors of the book he/she have issued.",,,,,,B,MCQ,"(a). Show all the Book Title which have been issued by User# 6. (b). The user who’s home town is Delhi and issued a book, Show all the name authors of the book he/she have issued.",
18,Two dice are thrown simultaneously. The probability  that at least one of them will have 6 facing up is,,1/36,,1/3,,25/36,,11/36,,D,MCQ,"There can be two cases: Case 1: Exactly one dice has 6 facing up and other dice can have any number from 1,2,3,4,5 facing up. There will be 5*2=10 such occurrences. Case 2: Both of the dices having 6 coming up. Only one possible case exists for the same. Thus total favorable cases = 10+1 = 11
While total cases = 6*6=36
Which gives the desired probability as: 11/36. This explanation is contributed by Pradeep Pandey .",
19,The probability that the top and bottom cards of a randomly shuffled deck are both aces is,,4/52 x 4/52,,4/52 x 3/52,,4/52 x 3/51,,4/52 x 4/51,,C,MCQ,,
20,"Let F be the collection of all functions f : {1, 2,3} → {1, 2, 3}. If f and g ∈ F, define an equivalence relation ~  by f ~ g if and only if f (3) = g (3).

a) Find the number of equivalence classes defined by ~ .
b) Find the number of elements in each equivalence class.",,,,,,,,,,,MCQ,,
21,"The Fibonacci sequence {f 1 , f 2 , f 3 ,....., f n } is defined by the following recurrence: f n+2 = f n+1 + f n , n ≥ 1; f 2 = 1 : f 1 = 1

Prove by induction that every third element of the sequence is even.",,,,,,,,,,,MCQ,,
22,Which one of the following is false?,,The set of all bijective functions on a finite set forms a group under function composition.,,"The set {1, 2, ..................., p-1} forms a group under multiplication mod p where p is a prime number",,The set of all strings over a finite alphabet ∑ forms a group under concatenation,,"A subset S≠∅ of G is a subgroup of the group if and only if for any pair of element a, b ∈ S, a∗b^−1 ∈ S",,C,MCQ,,
23,"Let R be a non-empty relation on a collection of sets defined by A R B if and only if A ∩ B = φ. Then, (pick the true statement)",,R is reflexive transitive,,R is symmetric and not transitive,,R is an equivalence relation,,R is not reflexive and not symmetric,,B,MCQ,,
24,"Let R denote the set of real numbers. Let f : R × R → R × R be a bijective function defined by f(x, y) = (x + y, x − y). The inverse function of f is given by",,,https://media.geeksforgeeks.org/wp-content/uploads/20250421104214752330/GATE-CSE-1996-Q2.png,,https://media.geeksforgeeks.org/wp-content/uploads/20250421104242818416/GATE-CS-1996-Q2-1-300.png,,https://media.geeksforgeeks.org/wp-content/uploads/20250421104356587614/GATE-CS-1996-Q2-2.png,,https://media.geeksforgeeks.org/wp-content/uploads/20250421104412793601/GATE-CS-1996-Q2-3.png,C,MCQ,,
25,"Let X= {2, 3, 6, 12, 24}, Let ≤ be the partial order defined by X ≤ Y if x divides y. Number of edges in the Hasse diagram of (X,≤) is",,3,,4,,9,,None of the above,,B,MCQ,,
26,Suppose X and Y are sets and |X| and |Y| are their respective cardinalities. It is given that there are exactly 97 functions from X to Y. From this one can conclude that,,"|X|=1,|Y|=97",,"|X|=97,|Y|=1",,"|X|=97,|Y|=97",,None of the above,,A,MCQ,,
27,Which of the following statement is false?,,The set of rational numbers is an abelian group under addition,,The set of integers in an abelian group under addition,,The set of rational numbers form an abelian group under multiplication,,The set of real numbers excluding zero is an abelian group under multiplication,,C,MCQ,,
28,Let A and B be sets and let A c and B c denote the complements of the sets A and B. The set (A−B) ∪ (B−A) ∪ (A ∩ B) is equal to,,A ∪ B,,A c ∪ B c,,A ∩ B,,A c ∩ B c,,A,MCQ,"To find what the set ( A − B ) ∪ ( B − A ) ∪ ( A ∩ B ) is equal to, let's analyze each part of this expression: 1. (A - B): This represents the elements that are in A but not in B. 2. (B - A): This represents the elements that are in B but not in A. 3. (A ∩ B): This represents the elements that are in both A and B. The union of these sets can be understood as follows: (A - B) U (B - A): This is the symmetric difference of A and B, denoted as A Δ B. It includes elements that are in A or B but not in both. (A Δ B) U (A ∩ B): Since A Δ B includes elements in either A or B but not both, and A ∩ B includes elements in both, their union will be all elements that are in A or B. Thus, (A - B) U (B - A) ∩ (A ∩ B) includes all elements that are in A or B, which is exactly the set (A U B). So, the correct answer is: a) A ∪ B",
29,The matrices commute under multiplication,https://cdn.geeksforgeeks.org/wp-content/uploads/opt3.1.png,"if a = b or Θ = nπ, n an integer",,always,,never,,if a cosΘ = b sin Θ,,A,MCQ,"For Commutativity, AB = BA[Tex]
AB= 
\\begin{bmatrix}
\\cos{\\theta} & -\\sin{\\theta}\\\\
\\sin{\\theta} & \\cos{\\theta}\\\\
\\end{bmatrix}
\\begin{bmatrix}
a&0\\\\
0&b\\\\
\\end{bmatrix}
=
\\begin{bmatrix}
a\\cos{\\theta} & -b\\sin{\\theta}\\\\
a\\sin{\\theta} & b\\cos{\\theta}\\\\
\\end{bmatrix}
\\\\\\\\
BA= 
\\begin{bmatrix}
a&0\\\\
0&b\\\\
\\end{bmatrix}
\\begin{bmatrix}
\\cos{\\theta} & -\\sin{\\theta}\\\\
\\sin{\\theta} & \\cos{\\theta}\\\\
\\end{bmatrix}
=
\\begin{bmatrix}
a\\cos{\\theta} & -a\\sin{\\theta}\\\\
b\\sin{\\theta} & b\\cos{\\theta}\\\\
\\end{bmatrix}
[/Tex]
Since AB = BA
[Tex]
\\begin{bmatrix}
a\\cos{\\theta} & -b\\sin{\\theta}\\\\
a\\sin{\\theta} & b\\cos{\\theta}\\\\
\\end{bmatrix}
=
\\begin{bmatrix}
a\\cos{\\theta} & -a\\sin{\\theta}\\\\
b\\sin{\\theta} & b\\cos{\\theta}\\\\
\\end{bmatrix}
[/Tex]
On Comparing corresponding elements we get-
[Tex]
a\\sin{\\theta} = b\\sin{\\theta}
[/Tex]
The above holds when either, [Tex]a=b[/Tex] or [Tex]\\sin{\\theta} = 0[/Tex] which is true when [Tex]\\theta = n\\pi[/Tex].
Therefore option (A) is correct.

This explanation is provided by Chirag Manwani .",
30,Let Ax=b be a system of linear equations where A is an m×n matrix and b is a m×1 column vector and X is an n×1 column vector of unknowns. Which of the following is false?,,"The system has a solution if and only if, both A and the augmented matrix [Ab] have the same rank",,"If m<n and b is the zero vector, then the system has infinitely many solutions",,"If m=n and b is a non-zero vector, then the system has a unique solution",,"The system will have only a trivial solution when m=n, b is the zero vector and rank(A) = n",,C,MCQ,"Following are the possibilities for a system of linear equations: (i)  If matrix A and augmented matrix [AB]  have same  rank, then the system has solutions otherwise there is no solution. (ii) If matrix A and augmented matrix [AB]  have same  rank which is equal to the no. of variables, then the system has unique  solutions and if B is zero vector then the system have only a trivial solution. (iii) If matrix A and augmented matrix [AB]  have same  rank which is less than the number of variables, then the system has infinite solutions. Therefore, option (C) is false because if m=n and B is non-zero vector, then it is not necessary that system has a unique solutions , because m is the number of equations ( quantity ) and not the number of linearly independent equations ( quality ).",
31,Let be two matrices such that Express the elements of D in terms of the elements of B .,"http://cdn.geeksforgeeks.org/wp-content/uploads/mat1.png, http://cdn.geeksforgeeks.org/wp-content/uploads/mat2.png",,,,,,,,,,MCQ,"As we know, we can clearly say, Now, write C in terms of A, Pre multiplying A -1 on both sides, As we know, A -1 A = I , Now, find inverse of the matrix which is multiplied with A then pre multiply the inverse of the matrix on both the sides, As we know, multiplication of matrix and it's inverse is identity matrix. So, D in terms of B becomes,","https://media.geeksforgeeks.org/wp-content/uploads/20211111161646/gfgsum12.png, https://media.geeksforgeeks.org/wp-content/uploads/20211111161827/gfgsum14.png, https://media.geeksforgeeks.org/wp-content/uploads/20211111161924/gfgsum13-300x79.png, https://media.geeksforgeeks.org/wp-content/uploads/20211111162758/gfgsum15-300x142.png, https://media.geeksforgeeks.org/wp-content/uploads/20211111163542/gfgsum16-300x100.png, https://media.geeksforgeeks.org/wp-content/uploads/20211111165035/gfgsum17-300x94.png, https://media.geeksforgeeks.org/wp-content/uploads/20211111165349/gfgsum18-300x131.png"
32,What is the equivalent Boolean expression in product-of-sums form for the Karnaugh map given below. .,http://cdn.geeksforgeeks.org/wp-content/uploads/kmap.png,BD' + B'D,,(B+C'+D)(B'+C+D'),,(B+D)(B'+D'),,(B+D')(B'+D),,C,MCQ,,
33,"Consider the synchronous sequential circuit in the below figure a) Draw a state diagram, which is implemented by the circuit. Use the following names for the states corresponding to the values of flip-flops as given below. b) Given that the initial state of the circuit is S4, identify the set of states, which are not reachable.","http://cdn.geeksforgeeks.org/wp-content/uploads/cloc-300x72.png, http://cdn.geeksforgeeks.org/wp-content/uploads/flip.png",,,,,,,,,,MCQ,,
34,"A logic network has two data inputs A and B, and two control inputs C 0 and C 1 . It implements the function F according to the following table. .
Implement the circuit using one 4 to 1 Multiplexer, one 2-input Exclusive OR gate, one 2-input AND gate, one 2-input OR gate and one Inverter.",http://cdn.geeksforgeeks.org/wp-content/uploads/logiic.png,,,,,,,,,,MCQ,,
35,Consider the following floating point number representation The exponent is in 2's complement representation and mantissa is in the sign magnitude representation. The range of the magnitude of the normalized numbers in this representation is a). 0 to 1 b). 0.5 to 1 c). 2 -23 to 0.5 d). 0.5 to (1-2 -23 ),"\""http://cdn.geeksforgeeks.org/wp-content/uploads/floating_p.png\""",a,,b,,c,,d,,D,MCQ,"Normalized numbers are of the form: 1.xxxx xxxx… …xxxx {ignoring sign and exponent part}. They always have a Leading 1 before decimal point. While storing such a number in this floating point representation two cases can be there: Case 1: We can store most significant 1 in mantissa along with other bits as (while MSB of mantissa is a sign bit as ‘S’) : Minimum Mantissa=> S100 0000 0000 0000 0000 0000 = 1.00 0000…0000 = 1 Maximum Mantissa=> S111 1111 1111 1111 1111 1111 = 1.1111…1111 = 2 - 2 -22 Case 2: We can ignore to do so assuming an implicit MSB as 1. Minimum Mantissa=> S000 0000 0000 0000 0000 0000 = 1.000 0000…0000 = 1 Maximum Mantissa=> S111 1111 1111 1111 1111 1111 = 1.1111…1111 = 2 - 2 -23 Thus none of the options matches . If instead of Normalized numbers they had asked for Normalized mantissa then following would have been the approach: minimum value of magnitude of Mantissa=> “S100 0000 0000 0000 0000 0000” (ignoring (-1) s as a multiple of the number as only magnitude has been asked) = 0.100 0000 0000 0000 0000 0000
= 1*2 -1 = 0.5
and
maximum value of Mantissa=>
“S111 1111 1111 1111 1111 1111”
= 0.111 1111 1111 1111 1111 1111
= [(2 23 )- 1] * 2 -23 = 1-2 -23 In this case option (D) would be the answer.",
36,Consider the circuit in below figure. f implements,https://media.geeksforgeeks.org/wp-content/uploads/20200517124959/multi3.png,(ABC)' + A'BC' + ABC,,A + B + C,,A ⊕ B ⊕ C,,AB + BC + CA,,C,MCQ,"A'B'C+A'BC'+AB'C'+ABC = A (EXOR) B (EXOR) C  So, option (C) is correct.",
37,Consider the circuit given below which has a four bit binary number b 3 b 2 b 1 b 0 as input and a five bit binary number d 4 d 3 d 2 d 1 d 0 as output. The circuit implements: .,http://cdn.geeksforgeeks.org/wp-content/uploads/b_adder111.png,Binary to Hex conversion,,Binary to BCD conversion,,Binary to grey code conversion,,Binary to radix-12 conversion,,D,MCQ,,
38,Booth's algorithm for integer multiplication gives worst performance when the multiplier pattern is,,101010 .........1010,,100000 .........0001,,111111 .........1111,,011111 .........1110,,A,MCQ,"The worst case of an implementation using Booth’s algorithm is when pairs of 01s or 10s occur very frequently in the multiplier.

So, option (A) is correct.",
39,A ROM is used to store the table for multiplication of two 8-bit unsigned integers. The size of ROM required is,,256 x 16,,64K x 8,,4K x 16,,64K x 16,,D,MCQ,,
40,"Which two of the following four regular expressions are equivalent? ( ε is the empty string).
(i). (00)*(ε+0)
(ii). (00)*
(iii). 0*
(iv). 0(00)*",,(i) and (ii),,(ii) and (iii),,(i) and (iii),,(iii) and (iv),,C,MCQ,"Here, (00)*(ε+0)
= (00)*.ε+ (00)*.0 
= (00)* + (00)*0 
= 0* It is equal to (iii) [ using regular expression properties ].

Here, 
we see that (00)* generates strings of even length and (00)*0 generated the strings of odd length. 

Option (C) is correct.",
41,"Let L ⊆ ∑* where ∑ = {a, b}. Which of the following is true ?",,L = { x | x has an equal number of a 's and b 's } is regular,,L = { a n b n | n ≥ 1 } is regular,,L = { x | x has more a 's than b 's } is regular,,"L = { a m b n | m ? 1, n ? 1 } is regular",,D,MCQ,"For option (A) :- L = { x | x has an equal number of a 's and b 's } is regular for equal number of a’s and b’s we need s stack for to store the number of a’s and we push all a’s into the stack and pop all b’s for each a’s hence, a cannot be regular language.  For option (B) :- L = { a n b n | n ≥ 1 } is regular is also not regular , it is same as above language. This language also says that equal number of a’s followed by equal number of b’s so it also need a stack to push all a’s and pop all b’s for each a’s.  For option (C) :- L= { x | x has more a 's than b 's } is also not regular it is also CFL we need stack here for a should be greater than b.  For option (D) :- L = { a m b n | m ≥ 1, n ≥ 1 } is regular language because there is no restriction that equal number of a’s and b’s this language only says that a should be followed by b therefore we can draw a DFA for it.    Option (D) is correct.",
42,"Given below are the transition diagrams for two finite state machine M 1 and M 2 recognizing languages L 1 and L 2 respectively. .

a) Display the transition diagram for a machine that recognizes L 1 . L 2 , obtained from transition diagrams for M 1 and M 2 by adding only ε transitions and no new states.

b) Modify the transition diagram obtained in part(a) obtain a transition diagram for a machine that recognizes (L 1 .L 2 ) ∗ by adding only ε transitions and no new states.
(Final states are enclosed in double circles).",http://cdn.geeksforgeeks.org/wp-content/uploads/fa1-300x218.png,,,,,,,,,,MCQ,,
43,Consider the given figure of state table for a sequential machine. The number of states in the minimized machine will be .,http://cdn.geeksforgeeks.org/wp-content/uploads/state_table.png,4,,3,,2,,1,,B,MCQ,,
44,"Let Q = ( {q 1 ,q 2 }, {a,b}, {a,b,Z}, δ, Z, ϕ) be a pushdown automaton accepting by empty stack for the language which is the set of all non empty even palindromes over the set {a,b} . Below is an incomplete specification of the transitions δ . Complete the specification. The top of the stack is assumed to be at the right end of the string representing stack contents. δ(q 1 , a, Z)={(q 1 , Za)}
δ(q 1 , b, Z)={(q 1 , Zb)}
δ(q 1 , a, a)={(..... , .....)}
δ(q 1 , b, b)={(..... , .....)}
δ(q 2 , a, a)={(q 2 , ϵ)}
δ(q 2 , b, b)={(q 2 , ϵ)}
δ(q 2 , ϵ, Z)={(q 2 , ϵ)}",,,,,,,,,,,MCQ,,
45,"Define for a context free language L ⊆ {0, 1}* ,  init(L)={ u ∣ uv ∈ L for some v in {0,1}∗} ( in other words, init(L) is the set of prefixes of L)

Let L = {w ∣ w is nonempty and has an equal number of 0 ’s and 1 ’s}
Then init(L) is",,the set of all binary strings with unequal number of 0\'s and 1\'s,,the set of all binary strings including null string,,the set of all binary strings with exactly one more 0 than the number of 1’s or one more 1 than the number of 0’s,,None of the above,,B,MCQ,,
46,"Let G be a context-free grammar where G = ( { S, A, B, C}, { a,b, d}, P, S ) with the productions in P given below. S → ABAC
A → aA ∣ ε
B → bB ∣ ε
C → d ( ε denotes null string). Transform the grammar G to an equivalent context-free grammar G' that has no ε productions and no unit productions. (A unit production is of the form x → y, and x and y are non terminals.)",,,,,,,,,,,MCQ,,
47,"If L1 and L2 are context free languages and R a regular set, one of the languages below is not necessarily a context free language, which one?",,L1 . L2,,L1 ∩ L2,,L1 ∩ R,,L1 ∪ L2,,B,MCQ,"Context free language are closed under union, concatenation and kleene closure but not closed under intersection and complement.
Therefore option (B) is not necessarily closed a context free language because it is not closed under intersection and context free intersection regular language is definitely context free language.",
48,Which of the following statements is false?,,The Halting Problem of Turing machines is undecidable,,Determining whether a context-free grammar is ambiguous is undecidable,,Given two arbitrary context-free grammars G1 and G2 it is undecidable whether L(G1)=L(G2),,Given two regular grammars G1 and G2 it is undecidable whether L(G1)=L(G2),,D,MCQ,"Halting problem of Turing Machine is undecidable because there is no algorithm exists for it. 

Determining a context free language is ambiguous is undecidable because no algorithm exists to decide CFG is ambiguous. 
Equivalence problem of CFG is undecidable. 
Everything about regular language is decidable. 

Option (D) is correct.",
49,The formula used to compute an approximation for the second derivative of a function f at a point X 0 is,https://media.geeksforgeeks.org/wp-content/uploads/20240322112816/opt.jpg,A,,B,,C,,D,,D,MCQ,"The formula used to compute an approximation of the first derivative of an f at a point x0 is f'(x0) = (f(x0+h) - f(x0))/h so an approximation of the second derivative of an f at a point x0 is f''(x0) = (f'(x0) - f'(x0-h))/h

         =[ ((f(x0+h) - f(x0))/h )- (( f'(x0) - f'(x0-h))/h)]/h

         =[ f(x0+h)-2f(x0)+f(x0-h)] /h^2 Hence , option (D) is correct.",
50,"Let f be a function defined by [Tex]f(x) =\begin{cases} x^2 & \text{for } x \leq 1 \\ax^2 + bx + c & \text{for } 1 < x \leq 2 \\x + d & \text{for } x > 2\end{cases}[/Tex] Find the values for the constants a, b, c and d so that f is continuous and differentiable everywhere on the real line.",,"a = -0.5, b = 3, c = -1.5, d = 0.5",,"a = -1, b = 1, c = 1, d = 1",,"a = -2, b = 1, c = -1.5, d = 0.5",,None of These,,A,MCQ,"Continuity at x = 1: f(1 − ) = f(1 + ) f(1 − ) = 1 2 = 1, f(1 + ) = a(1) 2 + b(1) + c = a + b + c For continuity at x = 1, a + b + c = 1 . . . (i) Continuity at x = 2: f(2 − ) = f(2 + ) f(2 − ) = a(2) 2 + b(2) + c = 4a + 2b + c, f(2 + ) = 2 + d For continuity at x = 2, 4a + 2b + c = 2 + d . . . (ii) Differentiability at x = 1: f′(1 − ) = f′(1 + ) [Tex]f'(1^-) = \frac{d}{dx}(x^2) \Big|_{x=1} = 2x \Big|_{x=1} = 2[/Tex] , and [Tex]f'(1^+) = \frac{d}{dx}(ax^2 + bx + c) \Big|_{x=1} = 2a(1) + b = 2a + b[/Tex] Thus, the differentiability condition at x = 1 gives: 2a + b = 2 . . .(iii) Differentiability at x = 2: f′(2 − ) = f′(2 + ) [Tex]f'(2^-) = \frac{d}{dx}(ax^2 + bx + c) \Big|_{x=2} = 2a(2) + b = 4a + b[/Tex] , and [Tex]f'(2^+) = \frac{d}{dx}(x + d) \Big|_{x=2} = 1[/Tex] Thus, the differentiability condition at x = 2 gives: 4a + b = 1 . . .(iv) Solving (i), (ii), (iii) and (iv) we get a = -0.5, b = 3, c = -1.5, d = 0.5",
51,"Newton-Raphson iteration formula for finding 3 √c, where c > 0 is .",http://cdn.geeksforgeeks.org/wp-content/uploads/opt3.png,a,,b,,c,,d,,C,MCQ,,
52,Number of machine cycles required for RET instruction in 8085 microprocessor is,,1,,2,,3,,5,,C,MCQ,"In the 8085 microprocessor, the **RET** (Return) instruction is used to return from a subroutine. This instruction pops the address from the stack and jumps to that address. Let's analyze the number of machine cycles required for the **RET** instruction: 1. **Opcode Fetch Cycle**: The 8085 first fetches the opcode for the RET instruction from memory. This takes **1 machine cycle**. 2. **Memory Read Cycles**: The RET instruction needs to read the return address from the stack, which is stored in two consecutive memory locations (since the 8085 is an 8-bit processor and the address is 16-bit). Each memory read cycle takes **1 machine cycle**. Since the address is 16-bit, it requires two memory read cycles to fetch the complete address. Therefore, the total number of machine cycles required for the RET instruction is: - 1 machine cycle for the opcode fetch - 2 machine cycles for the memory read (to read the return address from the stack) In summary: \[ 1 \, (\text{Opcode Fetch}) + 2 \, (\text{Memory Read}) = 3 \, \text{machine cycles} \] Thus, the **RET** instruction in the 8085 microprocessor requires a total of **3 machine cycles**.",
53,"A computer system has a three level memory hierarchy, with access time and hit ratios as shown below: a) What should be the minimum sizes of level 1 and 2 memories to achieve an average access time of less than 100 nsec?
b) What is the average access time achieved using the chosen sizes of level 1 and level 2 memories?",http://cdn.geeksforgeeks.org/wp-content/uploads/cache_mem1.png,,,,,,,,,,MCQ,,
