Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
11,"The number of possible min-heaps containing each value from {1, 2, 3, 4, 5, 6, 7} exactly once is _______. Note - This was Numerical Type question.",,80,,8,,20,,210,,A,MCQ,"Explanation: Set minimum element as root (i.e 1 ), now 6 are remaining and left subtree will have 3 elements, each left subtree combination can be permuted in 2! ways. Total ways to design min-heap with 7-elements = [Tex]^6C_3[/Tex] *2! * 2! = 20*2*2 = 80 Alternative approach - Total number of min or max heap tree with 1 to N elements are using recurrence relation: T(N) = (N-1) C k * T(k) * T(N-k-1), where k = number of nodes on left subtree T(1) = 1 T(2) = 1 T(3) = 2 T(4) = 3C2 * T(2) * T(1) = 3 T(5) = 4C3 * T(3) * T(1) = 8 T(6) = 5C3 * T(3) * T(2) = 20 T(7) = 6C3 * T(3) * T(3) = 80 So, answer is 80.",
12,"Consider the relations r(A, B) and s(B, C), where s.B is a primary key and r.B is a foreign key referencing s.B. Consider the query [Tex]Q = r \bowtie \left( \sigma_{B < 5}(s) \right)[/Tex] Let LOJ denote the natural left outer-join operation. Assume that r and s contain no null values.  Which one of the following is NOT equivalent to Q?",,[Tex]\sigma_{B < 5}(r \bowtie s)[/Tex],,[Tex]\sigma_{B < 5}(r \;LOJ\; s)[/Tex],,[Tex]r \;LOJ\; \bigl(\sigma_{B < 5}(s)\bigr)[/Tex],,[Tex]\bigl(\sigma_{B < 5}(r)\bigr) \;LOJ\; s[/Tex],,C,MCQ,"Since, we are joining LOJ using attribute B which is primary key of table s and foreign key of table r. So, we need to apply condition σ B<5 on left table of join always, i.e., table r because left outer join (LOJ) returns all the values from an inner join plus all values in the left table that do not match to the right table. So, option (C) is correct.",
13,"In an Entity-Relationship (ER) model, suppose R is a many-to-one relationship from entity set E1 to entity set E2. Assume that E1 and E2 participate totally in R and that the cardinality of E1 is greater that the cardinality of E2.  Which one of the following is true about R?",,Every entity in E1 is associated with exactly one entity in E2.,,Some entity in E1 is associated with more than one entity in E2.,,Every entity in E2 is associated with exactly one entity in E1.,,Every entity in E2 is associated with at most one entity in E1.,,A,MCQ,"Since given relation is many to one : Therefore, no entity in E1 can be related to more than one entity in E2 and an entity in E2 can be related to more than one entity in E1. Only option (A) is correct.",
14,"Consider the following four relational schemas. For each schema, all non-trivial functional dependencies are listed, The underlined attributes are the respective primary keys. Schema I: Registration( rollno , courses) Field ‘courses’ is a set-valued attribute containing the set of courses a student has registered for. Non-trivial functional dependency rollno → courses Schema II: Registration ( rollno, coursid , email) Non-trivial functional dependencies: rollno, courseid → emailemail → rollno Schema III: Registration ( rollno, courseid , marks, grade) Non-trivial functional dependencies: rollno, courseid, → marks, grademarks → grade Schema IV: Registration ( rollno, courseid , credit) Non-trivial functional dependencies: rollno, courseid → creditcourseid → credit Which one of the relational schemas above is in 3NF but not in BCNF?",,Schema I,,Schema II,,Schema III,,Schema IV,,B,MCQ,"Schema I: Registration( rollno , courses) Field ‘courses’ is a set-valued attribute containing the set of courses a student has registered for. Non-trivial functional dependency rollno → courses Since, rollno is primary key, so this relation is in BCNF as well as 3 NF. Schema II: Registration ( rollno, coursid , email) Non-trivial functional dependencies: rollno, courseid → emailemail → rollno Since, { rollno, coursid } is primary key so rollno and coursid are prime attributes. email is non-prime attribute. Functional depedency (FD) rollno, courseid → email is in BCNF and 3NF, but FD email → rollno violates the rule of BCNF because email is not superkey. But it satisfies rule of 3 NF because rollno is prime-attribute.  So, overall this relation is in 3 NF but not in BCNF. Schema III: Registration ( rollno, courseid , marks, grade) Non-trivial functional dependencies: rollno, courseid, → marks, grademarks → grade Since rollno, courseid is primary key, so rollno and courseid are prime attributes and marks and grade are non-prime attributes. FD rollno, courseid, → marks, grade satisfies BCNF as well as 3 NF. FD marks → grade does not satifies 3 NF because neither marks is superkey nor grade is prime-attribute. So, aslo can not be in BCNF. So, overall this relation is not in 3 NF and not in BCNF, but it does not violates rule of 2 NF, so can be only in 2 NF. Schema IV: Registration ( rollno, courseid , credit) non-trivial functional dependencies: rollno, courseid → creditcourseid → credit Since, rollno, courseid is primary key, so rollno and courseid are prime-attributes and credit is non-prime attribute. FD rollno, courseid → credit satifies BCNF as well as 3 NF. FD courseid → credit violates rule of 2 NF, so can not be in 2NF. So, overall, this is not in 2 NF, 3 NF, and BCNF. But it is only in 1 NF. Therefore, only schema-II is in 3 NF but not in BCNF. Option (B) is correct. Read more .",
15,"Consider the following two tables and four queries in SQL. Book (isbn, bname), Stock (isbn, copies) Query 1: SELECT B.isbn, S.copies FROM Book B INNER JOIN Stock S ON B.isbn = S.isbn; Query 2: SELECT B.isbn, S.copies FROM B B LEFT OUTER JOIN Stock S ON B.isbn = S.isbn; Query 3: SELECT B.isbn, S.copies FROM Book B RIGHT OUTER JOIN Stock S ON B.isbn = S.isbn; Query 4: SELECT B.isbn, S.copies FROM B B FULL OUTER JOIN Stock S ON B.isbn = S.isbn; Which one of the queries above is certain to have an output that is a superset of the outputs of the other three queries?",,Query 1,,Query 2,,Query 3,,Query 4,,D,MCQ,"In SQL the FULL OUTER JOIN combines the results of both left and right outer joins and returns all (matched or unmatched) rows from the tables on both sides of the join clause. So, option (D) is correct. See : Join (Inner, Left, Right and Full Joins) , Inner Join vs Outer Join",
16,"Consider Guwahati (G) and Delhi (D) whose temperatures can be classified as high (H), medium (M) and low (L). Let P(H G ) denote the probability that Guwahati has high temperature. Similarly, P(M G ) and P(L G ) denotes the probability of Guwahati having medium and low temperatures respectively. Similarly, we use P(H D ), P(M D ) and P(L D ) for Delhi. The following table gives the conditional probabilities for Delhi’s temperature given Guwahati’s temperature. Consider the first row in the table above. The first entry denotes that if Guwahati has high temperature (H G ) then the probability of Delhi also having a high temperature (H D ) is 0.40; i.e., P(H D ∣ H G ) = 0.40. Similarly, the next two entries are P(M D ∣ H G ) = 0.48 and P(L D ∣ H G ) = 0.12. Similarly for the other rows. If it is known that P(H G ) = 0.2, P(M G ) = 0.5, and P(L G ) = 0.3, then the probability (correct to two decimal places) that Guwahati has high temperature given that Delhi has high temperature is _______ . Note - This was Numerical Type question.",https://media.geeksforgeeks.org/wp-content/uploads/20250617125838570409/2018cs.webp,0.6015,,0.6150,,0.5016,,0.6510,,A,MCQ,"According to Bayes's Theorem: :  P(H D ) = P(H D ∣ H G ) × P(H G ) + P(H D ∣ M G ) × P(M G ) + P(H D ∣ L G ) × P(L G )  P(H D ) = 0.4 × 0.2 + 0.1 × 0.5 + 0.01 × 0.3 = 0.133 Therefore, P(H G ∣ H D ) = P(H G ∩ H D ) / P(H D )  P(H G ∣ H D ) = P(H D ∣ H G ) × P(H G ) / P(H D ) P(H G ∣ H D ) = 0.40 × 0.2 / P(H D ) = 0.08 / 0.133 = 0.6015 So, option (A) is correct.",
17,"Two people, P and Q, decide to independently roll two identical dice, each with 6 faces, numbered 1 to 6. The person with the lower number wins, In case of a tie, they roll the dice repeatedly until there is no tie. Define a trial as a throw of the dice by P and Q. Assume that all 6 numbers on each dice are equi-probable and that all trials are independent. The probability (rounded to 3 decimal places) that one of them wins on the third trial is _______ . Note - This was Numerical Type question.",,0.6944,,0.1157,,0.023,,0.463,,C,MCQ,"Given there are two identical dices, each having 6 faces. Favorable events for tie = {(1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)} Since two dice are thrown, total sample space will be 6 x 6 = 36  Therefore, P(tie) = 6/36 = 1/6 and Probability of not tie = (1 - 1/6)  To one of them win on third trial, previous two trials should be tie.  = 1/6 * 1/6 * (1 - 1/6) = 1/36 * 5/6 = 5/216 = 0.023  So, option (C) is correct.",
18,A six sided unbiased die with four green faces and two red faces is rolled seven times. Which of the following combinations is the most likely outcome of the experiment?,,Three green faces and four red faces.,,Four green faces and three red faces.,,Five green faces and two red faces.,,Six green faces and one red face,,C,MCQ,"Considering uniformly distributed outcomes, we get 4 greens and 2 reds in six throws. Then in one more throw, green is more likely.  So, option (C) is correct.",
19,"In a party, 60% of the invited guests are male and 40% are female. If 80% of the invited guests attended the party and if all the invited female guests attended, what would be the ratio of males to females among the attendees in the party?",,2:3,,1:1,,3:2,,2:1,,B,MCQ,"Let total males and females be 60x and 40x respectively. Total number of people = (60x + 40x) Total number of people who attended : 0.8(60x + 40x) = 80x Let y males attended. It is given all females attended 40x + y = 80x y = 40x which is same as females. Alternative Approach - Lets total number of people = 100. Therefore, 60 are male and and 40 are female. But total 80 guests are attended and all 40 female attended the party. So, there remaining (80 - 40 = 40) attendees should be male. Then the ration of male to female among attendees is 40 : 40 = 1 : 1.",
20,"Let N be the set of natural numbers. Consider the following sets,  P: Set of Rational numbers (positive and negative) Q: Set of functions from {0, 1} to N R: Set of functions from N to {0, 1} S: Set of finite subsets of N  Which of the above sets are countable?",,Q and S only,,P and S only,,P and R only,,"P, Q and S only",,D,MCQ,"P : The set of rational numbers is countable. Rational numbers are numbers that can be written as p/q, where both p and q are integers. To list them, we can add p+q and write down all possible values, both positive and negative. Q : The set of functions from {0,1} to N has N 2 functions. Since N 2 is a finite number, the set is countable. R : The set of functions from N to {0,1} has 2 N functions. According to an important rule: if a set is countable, then the set of all subsets of that set is uncountable. Therefore, statement R is uncountable. S : The set of finite subsets of N is countable. According to another important rule: every subset of a countable set is either countable or finite. Hence, the correct answer is Option (D).",
21,Let G be a finite group on 84 elements. The size of a largest possible proper subgroup of G is _______ . Note - This was Numerical Type question.,,42,,84,,1,,28,,A,MCQ,"According to Lagrange's theorem, states that for any finite group G, the order (number of elements) of every subgroup H of G divides the order of G.   Therefore, possible subgroups of group on 84 elements are : 1, 2, 3, 4, 6, 7, 12, 14, 21, 28, 42, 84.  Subgroups with element 1 and 84 are trivial groups.   The size of a largest possible proper subgroup of G is 42 .",
22,Note - This was Numerical Type question.,https://media.geeksforgeeks.org/wp-content/uploads/20250617124530706346/2018cs.webp,0,,1,,2,,3,,D,MCQ,|A-λ |=0 Answer =3,"https://media.geeksforgeeks.org/wp-content/uploads/20250617124709067382/2018cs.webp, https://media.geeksforgeeks.org/wp-content/uploads/20250617124937732017/2018cs.webp"
23,Consider a matrix P(2x2) whose only eigenvectors are the multiples of [Tex]\begin{bmatrix}1 \\ 4 \end{bmatrix}[/Tex] Consider the following statements. (I) P does not have an inverse (II) P has a repeated eigenvalue (III) P cannot be diagonalized Which one of the following options is correct?,,Only I and III are necessarily true,,Only II is necessarily true,,Only I and II are necessarily true,,Only II and III are necessarily true,,D,MCQ,"Repeated eigenvectors come from repeated eigenvalues. Therefore, statement (I) may not be correct, take any Identity matrix which has same eigenvalues but determinant so inverse exists. A matrix with repeated eigenvalues can or can not be diagonalized, repeated eigenvalues are necessary but not sufficient for a matrix to not be diagonalizable. But if all eigenvalues are distinct then we can be sure to be able to diagonalize it. In other words: as soon as all eigenvalues are distinct then we can be sure to be able to diagonalize it. Therefore, only statements (II) and (III) are necessarily true.",
24,"Assume that multiplying a matrix G 1 of dimension 𝑝 × 𝑞 with another matrix G 2 of dimension 𝑞 × 𝑟 requires 𝑝𝑞𝑟 scalar multiplications. Computing the product of n matrices G 1 G 2 G 3 … G n can be done by parenthesizing in different ways. Define G i G i+1 as an explicitly computed pair for a given parenthesization if they are directly multiplied. For example, in the matrix multiplication chain G 1 G 2 G 3 G 4 G 5 G 6 using the parenthesization (G 1 (G 2 G 3 ))(G 4 (G 5 G 6 )), the explicitly computed pairs are G 2 G 3 and G 5 G 6 . Consider a matrix multiplication chain F 1 F 2 F 3 F 4 F 5 , where the dimensions of the matrices are: F1: 2 × 25 F2: 25 × 3 F3: 3 × 16 F4: 16 × 1 In the parenthesization of F 1 F 2 F 3 F 4 F 5 that minimizes the total number of scalar multiplications, the explicitly computed pair(s) is/are:",,F 1 F 2 and F 3 F 4 only,,F 2 F 3 only,,F 3 F 4 only,,F 1 F 2 and F 4 F 5 only,,C,MCQ,"Matrix F 5 is of dimension 1 × 1000, which is going to cause very much multiplication cost. So evaluating F 5 at last is optimal. Total number of scalar multiplications are 48 + 75 + 50 + 2000 = 2173 and optimal parenthesis is ((F 1 (F 2 (F 3 F 4 )))F 5 ). As concluded, F 3 , F 4 are explicitly computed pairs. Option (C) is Correct.",
25,"Let ⊕ and ⊙ denote the Exclusive OR and Exclusive NOR operations, respectively. Which one of the following is NOT CORRECT?",https://media.geeksforgeeks.org/wp-content/uploads/20250617123257888013/2018cs.webp,A,,B,,C,,D,,D,MCQ,P XOR Q = P'Q + PQ' (a) ~(P XOR Q) = ~(P'Q + PQ') = (P + Q') (P' + Q) = P'Q' + PQ = P XNOR Q (b) ~P XOR Q = PQ + P'Q' = P XNOR Q (c)  ~P XOR ~Q = P'Q + PQ' = P XOR Q (d) (P XOR ~P) XOR Q = (PP + P'P') XOR Q = 1 XOR Q = Q' (P XNOR ~P) XNOR ~Q = (PP' + P'P) XNOR ~Q = 0 XNOR ~Q = Q (P XOR ~P) XOR Q! = (P XNOR ~P) XNOR ~Q,
26,"Consider the minterm list form of a Boolean function F given below. F(P, Q, R, S) = Σm(0, 2, 5, 7, 9, 11) + d(3, 8, 10, 12, 14) Here, m denotes a minterm and d denotes a don't care term. The number of essential prime implicants of the function F is ______ . Note: This was Numerical Type question.",,1,,2,,3,,4,,C,MCQ,"Essential Prime Implicants are those subcubes (groups) which cover atleast one minterm that can’t be covered by any other prime implicant. Essential prime implicants (EPI) are those prime implicants which always appear in final solution. There are three prime implicants P'QS, PQ' and Q'S'. Also, all of them are essential. Therefore, the number of essential prime implicants of function F is 3 .",https://media.geeksforgeeks.org/wp-content/cdn-uploads/20191230140438/1222.png
27,"Consider the sequential circuit shown in the figure, where both flip-flops used are positive edge-triggered D flip-flops. The number of states in the state transition diagram of this circuit that have a transition back to the same state on some value of ""in"" is ______ . Note - This was Numerical Type question.",https://media.geeksforgeeks.org/wp-content/uploads/20250617123029250053/2018cs.webp,2,,3,,4,,None,,A,MCQ,"State Table : State Diagram: Transition back to the same state means self loop, they are asking number of self loop states. Number of self loop states are 2 ( which are 00 and 11). Option (A) is CORRECT.","https://media.geeksforgeeks.org/wp-content/uploads/20241226131521350856/State-Table.webp, https://media.geeksforgeeks.org/wp-content/uploads/20241226131548454697/State-Diagram.webp"
28,Let N be an NFA with n states. Let k be the number of states of a minimal DFA which is equivalent to N. Which one of the following is necessarily true?,,k ≥ 2 n,,k ≥ n,,k ≤ n 2,,k ≤ 2 n,,D,MCQ,"The minimum number of state in DFA will be 1 when we have only starting state and all other states will not be reachable from stating state. The maximum number of state in DFA will be 2 n as the number of subsets of a set with n elements in the worst case. Therefore, k ≤ 2 n Option (D) is correct. Related question - GATE | Gate IT 2008 | Question 6",
29,"Given a language 𝐿, define 𝐿𝑖 as follows: The order of a language L is defined as the smallest k such that 𝐿𝑘 = 𝐿𝑘+1 . Consider the language L1 (over alphabet 0) accepted by the following automaton. The order of L1 is Note - This was Numerical Type question.","https://media.geeksforgeeks.org/wp-content/uploads/20250617121704249996/2018cs.webp, https://media.geeksforgeeks.org/wp-content/uploads/20250617121823594821/2018cs.webp",2,,3,,1,,None,,A,MCQ,"L1 = {ε + 0(00)*} Now that is given language L, we have to find the order of it. L0 = {ε} L1 = L0 . L = {ε}.{ε + 0(00)*} = {ε + 0(00)*} L2 = L1 . L = {ε + 0(00)*}.{ε + 0(00)*}    = {ε + 0(00)* + 0(00)*0(00)*} L2 = {0*} L3 = L2 . L = {0*}.{ε + 0(00)*}    = {0* + 0*0(00)*} L3 = {0*}  Order of L is 2 such that L2 = L2+1",
30,"Consider the following languages: {a m b n c p d q ∣ m + p = n + q, where m, n, p, q ≥ 0} {a m b n c p d q ∣ m = n and p = q, where m, n, p, q ≥ 0} {a m b n c p d q ∣ m = n = p and p ≠ q, where m, n, p, q ≥ 0} {a m b n c p d q ∣ mn = p + q, where m, n, p, q ≥ 0} Which of the above languages are context-free?",,I and IV only,,I and II only,,II and III only,,II and IV only,,B,MCQ,"m+p=n+q can we rewritten as (m-n=q-p OR n-m=p-q) this can be easily checked by making a NDPDA hence CFL . The reason why option 1 is true. option b is correct because we can separately compare a and b , and c and d with use of one stack. In the third option we have more than one comparison. That's why option 3 is false. To perform multiplication, it's essential to know the value of one of the operands, in this case, m. Without a defined value for mmm, multiplication cannot proceed. Since m is unbounded and counting to infinity is impossible (as it requires a unique state for each increment, which is infeasible), counting in this scenario is not achievable. The reason why option 4 is false.",
31,The set of all recursively enumerable languages is,,closed under complementation.,,closed under intersection.,,a subset of the set of all recursive languages.,,an uncountable set.,,B,MCQ,"Recursive Enumerable Language are closed under Union, Intersection, Concatenation and Kleene Closure (but not Complementation). So, we can easily rule out option (A) and option (B) comes to be TRUE. Recursive Language are subset of REL, but option (C) is saying opposite, so Option (C) is FALSE. REL are countable, since set of all Turing Machines are countable. So option (D) is also FALSE. Only Option (B) is CORRECT .",
32,"Consider the following problems. L(G) denotes the language generated by a grammar G. L(M) denotes the language accepted by a machine M. (I) For an unrestricted grammar G and a string w, whether wϵL(G) (II) Given a Turing machine M, whether L(M) is regular (III) Given two grammar G 1 and G 2 , whether L(G 1 ) = L(G 2 ) (IV) Given an NFA N, whether there is a deterministic PDA P such that N and P accept the same language Which one of the following statement is correct?",,Only I and II are undecidable,,Only II is undecidable,,Only II and IV are undecidable,,"Only I, II and III are undecidable",,D,MCQ,"I, II and III are undecidable, Coming to IV, every regular language is Deterministic-CFL, which is a trivial property. Option (D) is Correct.",
33,The value of   ∫ 0 π/4 xcos⁡(x 2 )dx  correct to three decimal places (assuming that [Tex]pi = 3.14[/Tex] ) is _______ . Note - This was Numerical Type question.,,0.289,,0.389,,0.829,,0.428,,A,MCQ,put x 2 =t 2xdx=dt t will range from  0 to π 2 /16 Now our new integral is : 1/2∫ 0 π^2/16 cos⁡(t)dt = 1/2[sin⁡(t)] 0 π^2/16 =1/2[sin⁡(.616225)−0] = 0.57792/2 = .289,
34,Consider the following undirected graph G: Choose a value for x that will maximize the number of minimum weight spanning trees (MWSTs) of G. The number of MWSTs of G for this value of x is _________ . Note - This was Numerical Type question.,https://media.geeksforgeeks.org/wp-content/uploads/20250617120024885983/2018cs.webp,4,,5,,2,,3,,A,MCQ,"To maximize the number of minimum weight spanning trees of G, the value of x will be 5 because it will have two more choices for corner vertex which will maximize maximum number of MSTs .  Now, according to kruskal algorithm for MST: Edges with weights 1 and 3 will be selected first, Now bottom edge with weight 4 will not be selected as will cause cycle on MST, both corner vertices have two-two choices to select the vertices, so these corner edges with weights 4 and 5 will resultant 2*2 = 4 MSTs. Therefore, total number of MSTs are 2*2 = 4, which is answer.  Note that the value of x is 5, but the number of MWSTs is 4 as shown above.  Option (A) is correct.",
