Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
11,"Given the relations employee (name, salary, deptno) and
department (deptno, deptname, address) Which of the following queries cannot be expressed using the basic relational algebra operations (U, -, x, [Tex]\pi[/Tex] , [Tex]\sigma[/Tex] , [Tex]\rho[/Tex] )?",,Department address of every employee,,Employees whose name is the same as their department name,,The sum of all employees’ salaries,,All employees of a given department,,C,MCQ,,,Databases,Data Models,Relational model
12,"Given relations r(w, x) and s(y, z), the result of SELECT DISTINCT w, x FROM r, s is guaranteed to be same as r, provided",,r has no duplicates and s is non-empty,,r and s have no duplicates,,s has no duplicates and r is non-empty,,r and s have the same number of tuples,,A,MCQ,,,Databases,Data Models,Relational model
13,"In SQL, relations can contain null values, and comparisons with null values are treated as unknown. Suppose all comparisons with a null value are treated as false. Which of the following pairs is not equivalent?",,x = 5  AND        not(not(x = 5)),,"x = 5   AND        x> 4 and x < 6, where x is an integer",,x  ≠  5  AND   not (x = 5),,None of the above,,C,MCQ,"According to given question, comparison with NULL value always False, so ""x  ≠  5"" will be false. ""x = 5"" will also false and not (x = 5) = not(false) = true. Hence, these are not equivalent pair.  Option (C) is true.",,Databases,Data Models,Relational model
14,"E1 and E2 are events in a probability space satisfying the following constraints: Pr(E1) = Pr(E2) Pr(EI U E2) = 1 E1 and E2 are independent The value of Pr(E1), the probability of the event E1 is",,0,,1/4,,1/2,,1,,D,MCQ,"Given Constraints: 1. Pr(E1) = Pr(E2) 2. Pr( E1 U E2) = 1 3. E1 and E2 are independent As we know: Pr(E1 U E2) = Pr(E1) + Pr(E2) – Pr(E1 ∩ E2) As E1 and E2 are independent events. (cond.3) So Pr(E1 ∩ E2) = Pr(E1) Pr(E2) Pr(E1) = Pr(E2) (cond.2) let probability of Event E1 = x = prob of E2 So, Pr(E1 U E2) = Pr(E1) + Pr(E2) – Pr(E1) Pr(E2) 1 = x + x -x* x (cond. 1) 1=2x-x^2 x^2-2x+1 = 0 (x-1)^2 = 0 x = 1 So, Pr(E1) = Pr(E2) = 1 Thus, option (D) is the answer. Reference : https://people.richland.edu/james/lecture/m170/ch05-rul.html This solution is contributed by Nitika Bansal. Another Solution : E1 and E2 are independent events. Pr(E1 U E2) = Pr(E1) + Pr(E2) – Pr(E1) Pr(E2) Pr(E1) = Pr(E2) (given) So, 2 * Pr(E1) – Pr(E1) 2 = Pr( E1 U E2) 2 * Pr(E1) – Pr(E1) 2 = 1 So, Pr(E1) = Pr(E2) = 1 Thus, option (D) is the answer.",,Engineering Mathematics,Probability and Statistics,Conditional probability and Bayes theorem
15,A relation R is defined on the set of integers as xRy if f(x + y) is even. Which of the following state­ments is true?,,R is not an equivalence relation,,R is an equivalence relation having 1 equivalence class,,R is an equivalence relation having 2 equivalence classes,,R is an equivalence relation having 3 equivalence classes,,C,MCQ,"There are 2 2 equivalence classes. 1) All odd integers.  (Reflexive as sum of two even is even, Symmetric and Transitive as + operation is Symmetric and Transitive) 2) All Even Integers. (Reflexive as sum of two odd is even, Symmetric and Transitive as + operation is Symmetric and Transitive)",,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
16,Let P(S) denotes the power set of set S. Which of the following is always true?,,P(P(S)) = P(S),,P(S) ∩ P(P(S)) = {Φ},,P(S) ∩ S = P(S),,S ∉ P(S),,,MCQ,"(B) false, consider, S={a,{a}}; P(S) = {∅,{a},{{a}},{a,{a}}} P(P(S)) = {∅,{{a}}, ...}  And so P(S)∩P(P(S))⊃{∅,{{a}}}.  Consider {Ø} set as counter example of other options.   None are correct.",,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
17,The determinant of the matrix is,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Question_Images/2968a098b0ff0579-er6Dy6NTPo6QPq9siUbgxzS3yQBcZi.gif,4,,20,,0,,5,,A,MCQ,"It is a 4×4 matrix, in the first row, all elements except 2 are zero so let's find the cofactor for a(1, 1). The cofactor has all zeroes except 1 in its first column so let's find the cofactor of a(2, 2). This turns out to be 2 × 1 – 6 × 0 = 2 a(1, 1) × a(2, 2) × cofactor(a(2, 2)) = 2 × 1 × 2 = 4 Hence the answer is 4.",,Engineering Mathematics,Linear Algebra,"Matrices, determinants, system of linear equations"
18,"The simultaneous equations on the Boolean variables x, y, z and w, have the following solution for x, y, z and w, respectively.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Question_Images/c4bf2599191a1ec8-YoPz24Tbz8ZJ9ScRwSoUlWLi2iBAx5.png,0 1 0 0,,1 1 0 1,,1 0 1 1,,1 0 0 0,,C,MCQ,"We solve this question by putting in the options in the statements.     Statement 1 :  x + y + z = 1 OPTION    x  y  z  w    LHS     LHS=1 -------------------------------------- A       0  1  0  0     1       Yes B       1  1  0  1     1       Yes C       1  0  1  1     1       Yes D       1  0  0  0     1       Yes Till now, all the options are possible.     Statement 2 : x y = 0 OPTION    x  y  z  w    LHS     LHS=0 -------------------------------------- A       0  1  0  0     0       Yes B       1  1  0  1     1       No C       1  0  1  1     0       Yes D       1  0  0  0     0       Yes Since LHS ≠ 0, B is not possible.     Statement 3 : x z + w = 1 OPTION    x  y  z  w    LHS     LHS=1 -------------------------------------- A       0  1  0  0     0       No C       1  0  1  1     1       Yes D       1  0  0  0     0       No Since LHS ≠ 1, A and D are not possible.     Statement 4 : x y + z' w' = 0 OPTION    x  y  z  w    LHS    LHS=0 -------------------------------------- C       1  0  1  1     0      Yes Thus, C is the correct option.",,Digital Logic,Boolean algebra,
19,Which function does NOT implement the Karnaugh map given below?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Question_Images/afdc994cc33acb94-2JqXyfDuhs4LSf3J2IBSEWGsGC4uCG.png,a,,b,,c,,d,,D,MCQ,"As we know option (A) and (B) are same so they can be represented by 1 st K-MAP  But (C ) is in POS form so we need to make group of 0’s as in 2 nd K-MAP- So all (A),(B) ,(C) can be realized hence ans (D) part.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Explanation_Images/5a8b846ee874f22c-ip6w5guqbuo3tbwVcUdasl23NTMPYx.png,Digital Logic,Minimization,
20,"The following arrangement of master-slave flip flops has the initial state of P, Q as 0, 1 (respectively). After three clock cycles the output state P, Q is (re­spectively),",,"1, 0",,"1, 1",,"0, 0",,"0,1",,A,MCQ,"Given P = 0 ,  J = 1 and k = 1 JK flipflop toggles the input in ‘11’ state. Therefore, output of first flipflop at P is ‘1’. Initial value of P is input for D flipflop. So, D = 0 .Therefore, output of second flipflop at Q is ‘0’. Thus, option (A) is the answer",,Digital Logic,Combinational and sequential circuits,
21,What can be said about a regular language L over {a} whose minimal finite state automaton has two states?,,L must be {a n | n is odd},,L must be {a n | n is even},,L must be {a n | ³ O},,"Either L must be {a n | n is odd}, or L must be {a n | n is even}",,D,MCQ,"There are two states. When first state is final, it accepts even no. of a's.  When second state is final, it accepts odd no. of a's.",,Theory of Computation,Formal Languages and Automata,Regular expressions and finite automata
22,"Let S and T be language over Σ = {a,b} represented by the regular expressions (a+b*)* and (a+b)*, respectively. Which of the following is true?",,S ⊂ T,,T ⊂ S,,S = T,,S ∩ T = φ,,C,MCQ,"Both have same output because if we draw DFA of S which is (a+b*)*, at final state it is just repeating.",,Theory of Computation,Formal Languages and Automata,Regular expressions and finite automata
23,Let L denotes the language generated by the grammar S -> 0S0/00. Which of the following is true?,,L = 0+,,L is regular but not 0+,,L is context free but not regular,,L is not context free,,B,MCQ,"Option A : L is not 0+ , because 0+ will contain any arbitrary string over alphabet 0 with any no of 0's ( except empty string ), for ex: {0, 00, 000,00000}, but L will only have the strings as { 00, 0000, 000000,...}, i.e only even no of  0's ( excluding empty string}.   Option D : L is a Context Free Language , because the Grammar G which generates the language L is Context Free Grammar. A Grammar G is CFG if all of its productions are of the form A->α, where A is a single non-terminal and α belongs to (V∪ T)* , i.e  α can be a string of terminals and/or Non-terminals. (V represents a non-terminal and T represents a terminal)   Option C : L is a Regular Language , Because we are able to write a regular expression for it ( and also able to make a Finite Automaton), which is (00)+. Option B :  Hence This option is Correct, because L is Regular but not 0+, as we proved above.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Explanation_Images/51d57585ad974694-GwgBbPRdLzrUIQo5PaXjnhzyf1dLZI.jpg,Theory of Computation,Language Properties,"Regular and context-free languages, pumping lemma"
24,Consider the following decision problems: (P1) Does a given finite state machine accept a given string (P2) Does a given context free grammar generate an infinite number of strings Which of the following statements is true?,,Both (P1) and (P2) are decidable,,Neither (P1) nor (P2) are decidable,,Only (P1) is decidable,,Only (P2) is decidable,,A,MCQ,"A finite state machine always halts in final or non-final state.Therefore, problem P1 is decidable. We check if the context free language generates any string of length between n and (2n – 1). If so, context free language is infinite else it is finite.Therefore, problem P2 is decidable. Thus, option (A) is correct.",,Theory of Computation,Computability,Turing machines and undecidability
25,A polynomial p(x) satisfies the following: p(1) = p(3) = p(5) = 1 p(2) = p(4) = -1 The minimum degree of such a polynomial is,,1,,2,,3,,4,,D,MCQ,"p(1) = p(3) = p(5) = 1 p(2) = p(4) = -1 The polynomial touches 0 at least once from 1 to 2, so there is a root between 1 to 2 The polynomial touches 0 at least once from 2 to 3, so there is a root between 2 to 3 Similarly, there is at least one root from 3 to 4 and 4 to 5. So minimum degree is 4.",,Engineering Mathematics,Calculus,Integration
26,Which of the following statements is true?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Question_Images/5e1ff739df439a55-7tduyOAq6tmgCwF5eZRqmZLneBIJ7V.png,S > T,,S = T,,S < T and 2S > T,,2S <= T,,A,MCQ,,,Theory of Computation,Computability,Turing machines and undecidability
27,"Comparing the time T1 taken for a single instruction on a pipelined CPU with time T2 taken on a non­ pipelined but identical CPU, we can say that",,T1 <= T2,,T1 >= T2,,T1 < T2,,T1 is T2 plus the time taken for one instruction fetch cycle,,B,MCQ,"Pipelining does not increase the execution time of a single instruction. It increases the overall performance by executing instructions in multiple pipeline stages. We assume that each stage takes ‘T’ unit of time both in pipelined and non-pipelined CPU. Let total stages in pipelined CPU = Total stages in non-pipelined CPU = K and number of Instructions = N = 1 Pipelined CPU : Total time (T1) = (K + (N - 1)) * T = KT Non-Pipelined CPU : Total time (T2) = KNT = KT  Considering buffer delays in pipelined CPU, T1 >= T2 Thus, option (B) is the answer.",,Computer Organization and Architecture,Pipelining,"Instruction pipelining, pipeline hazards"
28,The most appropriate matching for the following pairs X: Indirect addressing            1 : Loops Y: Immediate addressing           2 : Pointers Z: Auto decrement addressing      3: Constants is,,"X-3, Y-2, Z-1",,"X-I, Y-3, Z-2",,"X-2, Y-3, Z-1",,"X-3, Y-l, Z-2",,C,MCQ,"Explanation: In Indirect  addressing mode the instruction does not have the address of the data to be operated on,but the instruction points where the address is stored(it is indirectly specifying the address of memory location where the data is stored or to be stored)  In immediate addressing mode the data is to be used is immediately given in instruction itself;so it deals with constant data.  In Autodecrement addressing mode ,  Before determining the effective address, the value in the base register is decremented by the size of the data item which is to be accessed.  Within a loop, this addressing mode can be used to step backwards through all the elements of an array or vector.  So (C) is correct option.",,Computer Organization and Architecture,Instruction Set Architecture,Machine instructions and addressing modes
29,"Let a, b, c, d be propositions. Assume that the equivalences a ↔ (b V-b) and b ↔ c hold. Then the truth value of the formula (a ∧ b) → (a ∧ c) ∨ d) is always",,True,,False,,Same as the truth value of b,,Same as the truth value of d,,A,MCQ,Notations (identities): (a V b)⬄(a AND b) (a ∨ b)⬄(a OR b) (- a)⬄( NOT a) (a => b)⬄( - a V b),https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Explanation_Images/01420027b4b5d24f-Z7od0yUEu7nqItKx372ogIlDnaOLbb.png,Engineering Mathematics,Discrete Mathematics,Propositional and first order logic
30,The minimum number of cards to be dealt from an arbitrarily shuffled deck of 52 cards to guarantee that three cards are from some same suit is,,3,,8,,9,,12,,C,MCQ,"Total number of suits is 4  We need minimum 9 cards to make sure that there are 3 cards of same suit.  For example, With 8 cards, we can have 2 cards of each suit.",,Engineering Mathematics,Discrete Mathematics,Combinatorics
31,Aliasing in the context of programming languages refers to,,multiple variables having the same memory location,,multiple variables having the same value,,multiple variables having the same identifier,,multiple uses of the same variable,,A,MCQ,,,Compiler Design,Runtime Environments,
32,The number 43 in 2's complement representation is,,01010101,,11010101,,00101011,,10101011,,C,MCQ,"In2's complement representation, positive numbers are represented as their representation and negative numbers are represented by first doing 1's complement, then adding 1 to the result.  So 43 is represented as 00101011.  Note that option represents -43.",,Digital Logic,Number representations and computer arithmetic (fixed and floating point),
33,"Consider the values A = 2.0 x 10 30 , B =-2.0 x 10 30 , C= 1.0, and the sequence X: = A + B    Y: = A + C X: = X + C    Y: = Y + B executed on a computer where floating-point numbers are represented with 32 bits. The values for X and Y will be",,"X = 1.0, Y = 1.0",,"X = 1.0, Y = 0.0",,"X = 0.0, Y = 1.0",,"X = 0.0, Y = 0.0",,B,MCQ,"Given 32 bits representation. So, the maximum precision can be 32 bits. Therefore, A + C should make the 31st digit to 1, which is surely outside the precision level of A (it is 31st digit and not 31st bit ). So, this addition will just return the value of A which will be assigned to Y. So, Y + B will return 0.0 while X + C will return 1.0. Note that there is difference in 2000 and 2*10^3 representation. The result is depends on available number of digits for magnitude part. We can not adjust magnitude in exponent part. So, option (B) is correct.",,Digital Logic,Number representations and computer arithmetic (fixed and floating point),
34,To put the 8085 microprocessor in the wait state,,lower the-HOLD input,,lower the READY input,,raise the HOLD input,,raise the READY input,,B,MCQ,"If ready pin is high the microprocessor will complete the operation and proceeds for the next operation. If ready pin is low the microprocessor will wait until it goes high.  Thus, option (B) is the answer.   Please comment below if you find anything wrong in the above post.",,Computer Organization and Architecture,I/O,I/O interface (interrupt and DMA mode)
35,The 8085 microprocessor responds to the presence of an interrupt,,As soon as the TRAP pin becomes \'high\',,By checking the TRAP pin for \'high\' status at the end of each instruction fetch,,By checking the TRAP pin for \'high\' status at the end of the execution of each instruction,,By Checking the TRAP pin for \'high\' status at regular intervals,,C,MCQ,"Explanation: The microprocessor recognizes interrupt request on request lines(RST7.5,RST 5.5,RST 6.5,TRAP,INTR) at the end of current instruction execution.  TRAP is non maskable interrupt .TRAP is active high ,level,edge triggered non maskable highest priority interrupt.when TRAP line is active microprocessor insert intervals restarts automatically at vector location of TRAP.  So correct option is (C).",,Computer Organization and Architecture,I/O,I/O interface (interrupt and DMA mode)
36,Which of the following is NOT a valid deadlock prevention scheme?,,Release all resources before requesting a new resource,,Number the resources uniquely and never request a lower numbered resource than the last one requested.,,Never request a resource after releasing any resource,,Request and all required resources be allocated before execution.,,C,MCQ,,,Operating System,Concurrency,Deadlock
37,Let m[0]…m[4] be mutexes (binary semaphores) and P[0] …. P[4] be processes. Suppose each process P[i] executes the following: wait (m[i]); wait(m[(i+1) mode 4]); ------ release (m[i]); release (m[(i+1)mod 4]); This could cause:,,Thrashing,,Deadlock,,"Starvation, but not deadlock",,None of the above,,B,MCQ,,,Operating System,Concurrency,Deadlock
38,The most appropriate matching for the following pairs X: m=malloc(5); m= NULL;        1: using dangling pointers Y: free(n); n->value=5;         2: using uninitialized pointers Z: char *p; *p = ’a’;           3. lost memory is:,,X—1 Y—3 Z ---2,,(X—2 Y—1 Z --3,,X—3 Y—2 Z--1,,X—3 Y—1 Z--2,,D,MCQ,,,Programming and Data Structures,Programming in C,
39,The most appropriate matching for the following pairs X: depth first search            1: heap Y: breadth-first search          2: queue Z: sorting                       3: stack is,,X—1 Y—2 Z --3,,X—3 Y—1 Z --2,,X—3 Y—2 Z--1,,X—2 Y—3 Z--1,,C,MCQ,Stack is used for Depth first Search Queue is used for Breadth First Search Heap is used for sorting,,Programming and Data Structures,Linear Data Structures,"Arrays, stacks, queues, linked lists"
40,Let G be an undirected connected graph with distinct edge weight. Let emax be the edge with maximum weight and emin the edge with minimum weight. Which of the following statements is false?,,Every minimum spanning tree of G must contain emin,,"If emax is in a minimum spanning tree, then its removal must disconnect G",,No minimum spanning tree contains emax,,G has a unique minimum spanning tree,,C,MCQ,"In kruskal’s algorithm, we pick the edges in ascending order and add them to the forest if  no cycle is formed. Option A is True because first edge could never create a cycle. The only reason for emax to be present in the minimum spanning tree could be that it is the only possible edge to cover a particular vertex in a tree since all vertices have to be present in a spanning tree by definition. Consider the image below",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Explanation_Images/64d1b9554c4d55f9-coeIW0B9sEMPzfDnO2tH3qgVHrDigp.png,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
41,Consider the following functions Which of the following is true?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Question_Images/17fd2dc10a694b1d-98x7rCgs0tzFYCYsVpWSB5NJWGG3KY.png,h(n) is O(f(n)),,h(n) is O(g(n)),,g(n) is not O(f(n)),,f(n) is O(g(n)),,D,MCQ,"Big-oh notation: Let f and g be two functions defined on real number. One writes f(n) = O(g(n)) if there is a positive constant M such that for all sufficiently large values of n, the absolute value of f(n) is at most M multiplied by the absolute value of g(n). That is, f(n) = O(g(n)) if and only if there exists a positive real number M and a real number n0 such that f(n)≤M(g(n)), for all n≥n0. In Big-oh notation, we only make comparison between two functions by considering larger values of n. To solve question like this we can take larger value of n and then compare the values of different function.  f(n) = 3(n^32)=3*(2^10)^32=3*2^320  g(n) = 2^320  h(n)=1024!  So relation between the functions can be:  1.f(n) and g(n) are of same order, so f(n) is O(g(n)) and g(n)=O(f(n)). Hence option C is wrong. 2.h(n) is n! Which is of higher order than f(n) and g(n). So options A and B are wrong.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Explanation_Images/3e1a3ab53562b343-swAB4wOWgpt44GTHqUz2WdPEonOpam.png,Algorithms,Complexity Analysis,Asymptotic worst-case time and space complexity
42,"Consider the following nested representation of binary trees: (X Y Z) indicates Y and Z are the left and right sub stress, respectively, of node X. Note that Y and Z may be NULL, or further nested. Which of the following represents a valid binary tree?",,(1 2 (4 5 6 7)),,(1 (2 3 4) 5 6) 7),,(1 (2 3 4)(5 6 7)),,(1 (2 3 NULL) (4 5)),,C,MCQ,"To solve this question we have to look at two things: 1) In a binary tree, a node may have at most 2 children. 2) To construct binary tree from the given sequences above, innermost parenthesis should be worked first. In Option A : ( 4 5 6 7 ) is there, which says that node 4 has got three children, which is wrong for a binary tree, and also in the question, only ( X Y Z ) is defined, i.e. a node X can have at most 2 children, which will be the roots of subtrees Y and Z. In Option B : after working on innermost (2 3 4), where 2 is a node of the binary tree, 3 is left subtree of node 2 and 4 is right subtree of node 2. From this we get (1 2 5 6). Here 2 has come from the root of subtree ( 2 3 4 ). Now again we don't have any definition for ( 1 2 5 6). Hence invalid. In Option C: after working on ( 2 3 4) and ( 5 6 7 ) we get ( 1 2 5 ) where 2 has come from the root of subtree ( 2 3 4 ) and 5 has come from the root of subtree ( 5 6 7 ). Now, in ( 1 2 5 ) node 1 is the root of the binary tree, and subtree with root 2 is the left subtree and subtree with root 5 is the right subtree at root node 1. Hence it is giving valid binary tree. In Option D: It is given as ( 2 3 NULL), here N,U,L and L are given as different elements, which is again wrong as according to ( X Y Z) definition, a node can have at most 2 children.",https://media.geeksforgeeks.org/wp-content/uploads/20240320112443/GATE-CS-2000-Question-14.jpg,Programming and Data Structures,Non-Linear Data Structures,"Trees, binary search trees, binary heaps, graphs"
43,Let s be a sorted array of n integers. Let t(n) denote the time taken for the most efficient algorithm to determined if there are two elements with sum less than 1000 in s. which of the following statements is true? a) t (n) is O(1) b) n < t (n) < n [Tex]{log_2 n}[/Tex] c) n log 2 n < t (n) < [Tex]{n \\choose 2}[/Tex] d) t (n) = [/Tex]{n \\choose 2} [/Tex],,a,,b,,c,,d,,A,MCQ,"Let array be sorted in ascending order, if sum of first two elements is less than 1000 then there are  two elements with sum less than 1000 otherwise not. For array sorted in descending order we need to check last two elements. For an array data structure, number of operations are fixed in both the cases and not dependent on n, complexity is O(1)",,Algorithms,Basic Techniques,"Searching, sorting, hashing"
44,"Consider the following C declaration C struct { short s [ 5 ] union { float y ; long z ; } u ; } t ; Assume that objects of the type short, float and long occupy 2 bytes, 4 bytes and 8 bytes, respectively. The memory requirement for variable t, ignoring alignment considerations, is",,22 bytes,,14 bytes,,18 bytes,,10 bytes,,C,MCQ,,,Programming and Data Structures,Programming in C,
45,"The number of tokens in the following C statement. C printf ( ""i = %d, &i = %x"" , i , & i ); is",,3,,26,,10,,21,,C,MCQ,,,Compiler Design,Phases of Compilation,Lexical analysis
46,B+ -trees are preferred to binary trees in databases because,,Disk capacities are greater than memory capacities,,Disk access is much slower than memory access,,Disk data transfer rates are much less than memory data transfer rates,,Disks are more reliable than memory,,B,MCQ,,,Databases,File Organization and Indexing,
47,Given the following expression grammar: E -> E * F | F + E | F F -> F - F | id which of the following is true?,,* has higher precedence than +,,– has higher precedence than *,,+ and — have same precedence,,+ has higher precedence than *,,B,MCQ,Let say i/p is 3*4-5 when we draw parse tree according to grammar E /  |  \ E   *   F |     / | \ F    F  -  F |    |     | id(3) id(4) id(5) As we can see first '- ' will be evaluated then ' * ' is evaluated so ' - ' has higher precedence then *.   So correct choice is B,,Compiler Design,Phases of Compilation,Parsing
48,"Let LASTPOST, LASTIN and LASTPRE denote the last vertex visited in a postorder, inorder and preorder traversal, respectively, of a complete binary tree. Which of the following is always true?",,LASTIN = LASTPOST,,LASTIN = LASTPRE,,LASTPRE = LASTPOST,,None of the above,,D,MCQ,,,Programming and Data Structures,Non-Linear Data Structures,"Trees, binary search trees, binary heaps, graphs"
49,Which of the following derivations does a top-down parser use while parsing an input string? The input is assumed to be scanned in left to right order.,,Leftmost derivation,,Leftmost derivation traced out in reverse,,Rightmost derivation,,Rightmost derivation traced out in reverse,,A,MCQ,,,Compiler Design,Phases of Compilation,Parsing
