Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
11,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/6197476e02fda113-KxfBg2xULKEd8qcoq6u7PxdZ8gAyrq.png,A,,B,,C,,D,,A,MCQ,"The Relational Algebra expression in the question above, does 4 operations, step by step ( innermost braces first ) . 1. Select those tuples from relation r which satisfies expression/condition F1, say the result of this operation is set A. 2. Select those tuples from set A which satisfies expression/condition F2, say the result of this operation is set B. 3. Select attributes set A2 from set B, say the result of this operation is set C. 4. Select attributes set A1 from set C, say the result is set D which is the final result. Now to optimize this expression, we can combine operations/steps 1 and 2 by AND operator between F1 and F2 condition, like F1 ^ F2, and instead of selecting first attribute set A2, we can directly select attribute set A1 from the result of the combined operation, which is represented by expression in Option A .",,,,
12,"Consider the following relational schema: employee( empId , empName, empDept) customer( custId , custName, salesRepId, rating) salesRepId is a foreign key referring to empId of the employee relation. Assume that each employee makes a sale to at least one customer. What does the following query return? SELECT empName FROM employee E WHERE NOT EXISTS ( SELECT custId FROM customer C WHERE C.salesRepId = E.empId AND C.rating <> `GOOD`);",,Names of all the employees with at least one of their customers having a ‘GOOD’ rating.,,Names of all the employees with at most one of their customers having a ‘GOOD’ rating.,,Names of all the employees with none of their customers having a ‘GOOD’ rating.,,Names of all the employees with all their customers having a ‘GOOD’ rating.,,D,MCQ,"If any employee has received rating other than 'GOOD' from any of their customers, then there will be some rows returned by the inner query; And NOT EXISTS will return false so those employees won't be printed.   Only those employees which have got rating 'GOOD' from all of their customers will be printed.",,Databases,Data Models,Relational model (queries)
13,"Consider the transactions T1, T2, and T3 and the schedules S1 and S2 given below. T1: r1(X); r1(Z); w1(X); w1(Z) T2: r2(Y); r2(Z); w2(Z) T3: r3(Y); r3(X); w3(Y) S1: r1(X); r3(Y); r3(X); r2(Y); r2(Z); w3(Y); w2(Z); r1(Z); w1(X); w1(Z) S2: r1(X); r3(Y); r2(Y); r3(X); r1(Z); r2(Z); w3(Y); w1(X); w2(Z); w1(Z) Which one of the following statements about the schedules is TRUE?",,Only S1 is conflict-serializable.,,Only S2 is conflict-serializable.,,Both S1 and S2 are conflict-serializable.,,Neither S1 nor S2 is conflict-serializable.,,A,MCQ,"For conflict serializability of a schedule( which gives same effect as a serial schedule ) we should check for conflict operations, which are Read-Write, Write-Read and Write-Write between each pair of transactions, and based on those conflicts we make a precedence graph, if the graph contains a cycle, it's not a conflict serializable schedule.  To make a precedence graph: if Read(X) in Ti followed by Write(X) in Tj ( hence a conflict ), then we draw an edge from Ti to Tj ( Ti -> Tj)  If we make a precedence graph for S1 and S2 , we would get directed edges for S1 as T2->T1, T2->T3, T3->T1, and for S2 as T2->T1, T2->T3, T3->T1, T1->T2. In S1 there is no cycle, but S2 has a cycle. Hence only S1 is conflict serializable.  Note : The serial order for S1 is T2 -> T3 -> T1.",,Databases,Transactions,Concurrency control
14,Let S be the sample space and two mutually exclusive events A and B be such that A U B = S. If P(.) denotes the probability of the event. The maximum value of P(A)P(B) is ______,,0.5,,0.25,,0.225,,0.125,,B,MCQ,"Sample Space(S) - A set of all possible outcomes/events of a random experiment. Mutually Exclusive Events - Those events which can't occur simultaneously.  P(A)+P(B)+P(A∩B)=1  Since the events are mutually exclusive, P(A∩B)=0. Therefore, P(A)+P(B)=1  Now, we know that AM >= GM So, (P(A)+P(B))/2 >= sqrt(P(A)*P(B))  P(A)*P(B) <= 1/4  Hence max(P(A)*P(B)) = 1/4. We can think of this problem as flipping a coin, it has two mutually exclusive events ( head and tail , as both can't occur simultaneously). And sample space S = { head, tail }  Now, lets say event A and B are getting a ""head"" and ""tail"" respectively. Hence, S = A U B.  Therefore, P(A) = 1/2 and P(B) = 1/2.  And, P(A).P(B) = 1 /4 = 0.25.  Hence option B is the correct choice.",,Engineering Mathematics,Probability and Statistics,Conditional Probability
15,"If V1 and V2 are 4-dimensional subspaces of a 6-dimensional vector space V, then the smallest possible dimension of V1 ∩ V2 is ______.",,1,,2,,3,,4,,B,MCQ,"First, note that V1+V2 is still in V, so dim(V1+V2)≤ 6. We know that dim(V1+V2)=dimV1+dimV2−dim(V1∩V2). So 6≥dim(V1+V2)=dimV1+dimV2−dim(V1∩V2) dim(V1∩V2)≥4+4−6=2. The answer is B.",,Engineering Mathematics,Linear Algebra,Systems
16,"There are two elements x, y in a group (G,∗) such that every element in the group can be written as a product of some number of x's and y's in some order. It is known that x ∗ x = y ∗ y = x ∗ y ∗ x ∗ y = y ∗ x ∗ y ∗ x = e where e is the identity element. The maximum number of elements in such a group is __________.",,2,,3,,4,,5,,C,MCQ,"x * x = e, x is its own inverse y * y = e, y is its own inverse (x*y) * (x* y) = e, x*y is its own inverse (y*x) * (y*x) = e, y*x is its own inverse. Also x*x*e = e*e can be rewritten as follows: x*y*y*x = e*y*y*e = e, (Since y *y = e) (x*y) * (y*x) = e shows that (x *y) and (y *x) are each other’s inverse and we already know that (x*y) and (y*x) are inverse of its own. As per (G,*) to be group any element should have only one inverse element (unique). This implies x*y = y*x (is one element). So the elements of such group are 4 which are {x, y, e, x*y}.",,Engineering Mathematics,Discrete Mathematics,Algebraic Structures
17,Let G be a group with 15 elements. Let L be a subgroup of G. It is known that L != G and that the size of L is at least 4. The size of L is __________.,,3,,5,,7,,9,,B,MCQ,"This is according to Lagrange's theorem that states that the order of subgroup should divide the order of group. Subgroups of G can be of order 1,3,5 or 15 and according to the conditions and choices, B is the right answer.",,Engineering Mathematics,Discrete Mathematics,Algebraic Structures
18,Let X and Y be finite sets and f: X -> Y be a function. Which one of the following statements is TRUE?,,"For any subsets A and B of X, | f (A ∪ B) | = | f(A) | + | f(B) |",,"For any subsets A and B of X, f (A ∩ B) = f(A) ∩ f(B)",,"For any subsets A and B of X, | f (A ∩ B) | = min { | f(A) |, | f(B) | }",,"For any subsets S and T of Y, f -1 (S ∩ T) = f -1 (S) ∩ f -1 (T)",,D,MCQ,"Let x = {a, b, c} and y = {1, 2} A Function f maps each element of x to 1 in y. f(a)=1 , f(b)=1 , f(c) =1 A = {a, b} B = {b, c} Option: For any subsets A and B of X, | f (A ∪ B) | = | f(A) | + | f(B) | | f(A ∪ B) | = |f({a, b, c})| = 3 | f(A)|+|f(B)| = 2 + 2 = 4 , LHS != RHS. Option: For any subsets A and B of X, f (A ∩ B) = f(A) ∩ f(B) f(A ∩ B) = f({b}) = { 1 } f(A) ∩ f(B) = {1, 1} ∩ {1, 1} = {1, 1} LHS != RHS Option: For any subsets A and B of X, | f (A ∩ B) | = min { | f(A) |, | f(B) | } |f(A ∩ B)| = |f({b})| = |{ 1 }| = 1 min{|f(A)|,|f(B)|} = min(2,2) = 2 LHS != RHS Option: For any subsets S and T of Y, f -1 (S ∩ T) = f -1 (S) ∩ f -1 (T) In a function a value can be mapped only to one value.",,Engineering Mathematics,Discrete Mathematics,Sets/Relations/Functions
19,"Consider the set of all functions f: {0,1, … ,2014} → {0,1, … ,2014} such that f(f(i)) = i,  for all 0 ≤ i ≤ 2014. Consider the following statements: P. For each such function it must be the case that for every i, f(i) = i. Q. For each such function it must be the case that for some i, f(i) = i. R. Each such function must be onto. Which one of the following is CORRECT?",,"P, Q and R are true",,Only Q and R are true,,Only P and Q are true,,Only R is true,,B,MCQ,"This kind of functions are called identity functions.  We assume f(i) = k. So, f(k) = i. Now, since the values of ' i ' and ' j ' would be same for atleast some values if the domain and co - domain intersect, which is true for the given question, Q is definitely true. But this might not happen for all the values of ' i ', hence, P is not always true.  Now, ' i ' ranges from 0 to 2014, so, it takes 2015 possible values. From the definition of a function, we know that for each input to the function, we have a unique output. Also, in the given question, domain and co - domain are exactly same. Therefore, the function is onto and hence, R is definitely true.     Thus, the correct option is B.",,Engineering Mathematics,Discrete Mathematics,Sets/Relations/Functions
20,Which one of the following statements is TRUE about every,,"If the product of the trace and determinant of the matrix is positive, all its eigenvalues are positive.",,"If the trace of the matrix is positive, all its eigenvalues are positive.",,"If the determinant of the matrix is positive, all its eigenvalues are positive.",,"If the trace of the matrix is positive and the determinant of the matrix is negative, at least one of its eigenvalues is negative.",,D,MCQ,"The trace of a matrix is the sum of the elements of the principal diagonal of the matrix. Fact - The sum of Eigen values of a matrix is equal to it’s trace. Fact - The product of Eigen values of a matrix is equal to its determinant value. Since it’s given that the trace is positive and the determinant is negative, there must be atleast one negative Eigen value. In general there can be an odd number of negative Eigen values in this case since the determinant value is negative.",,,,
21,"Consider the following minterm expression for F : F(P,Q,R,S) = ∑ (0, 2, 5, 7, 8, 10, 13, 15) The minterms 2, 7, 8 and 13 are 'do not care' terms. The minimal sum-of-products form for F is :",,QS' + Q'S,,Q'S' + QS,,Q'R'S' + Q'RS' + QR'S + QRS,,P'Q'S' + P'QS + PQS + PQ'S',,B,MCQ,"On solving k-map we get,   For group( 0000, 0010, 1000, 1010) min term = Q’S’ For group( 0101, 0111, 1101, 1111) min term = QS  Thus, answer is QS + Q’S’   Option (B) is correct.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Explanation_Images/9a942f6d1b44136c-eXZUOJtwismQTKua01WkXoiG1ro7Z6.png,Digital Logic,Minimization,K-maps
22,"Consider the following combinational function block involving four Boolean variables x, y, a, b where x, a, b are inputs and y is the output. C f ( x , y , a , b ) { if ( x is 1 ) y = a ; else y = b ; } Which one of the following digital logic blocks is the most suitable for implementing this function?",,Full adder,,Priority encoder,,Multiplexer,,Flip-flop,,C,MCQ,"This function can be interpreted as having two inputs a, b and select signal x. Output y will depend on the select signal x. Function will be like (ax+bx’) So ans is ( C) part.",,Digital Logic,Circuits,Combinational circuits
23,"Let X denote the Exclusive OR (XOR) operation. Let ‘1’ and ‘0’ denote the binary constants. Consider the following Boolean expression for F over two variables P and Q: F(P, Q) = ( ( 1 X P) X (P X Q) ) X ( (P X Q) X (Q X 0) ) The equivalent expression for F is",,P + Q,,(P + Q)',,P X Q,,(P X Q)',,D,MCQ,"We need to simplify the above expression. As the given operation is XOR, we shall see property of XOR.  Let A and B be boolean variable.  In A XOR B, the result is 1 if both the bits/inputs are different, else 0.  Now, ( ( 1 X P) X (P X Q) ) X ( (P X Q) X (Q X 0) ) ( P' X P X Q ) X ( P X Q X Q ) ( as 1 X P = P' and Q X 0 = Q ) (1 X Q) X ( P X 0) ( as P' X P = 1 , and Q X Q = 0 ) Q' X P ( as 1 X Q = Q' and P X 0 = P ) PQ + P'Q' ( XOR Expansion, A X B = AB' + A'B ) This is the final simplified expression. Now we need to check for the options. If we simplify option D expression. ( P X Q )' = ( PQ' + P'Q )' ( XOR Expansion, A X B = AB' + A'B ) ((PQ')'.(P'Q)') ( De Morgan's law ) ( P'+ Q).(P + Q') ( De Morgan's law ) P'P + PQ + P'Q' + QQ' PQ + P'Q' ( as PP' = 0 and QQ' = 0 ) Hence both the equations are same. Therefore Option D.",,Digital Logic,Boolean Algebra,
24,The above sequential circuit is built using JK flip-flops is initialized with Q2Q1Q0 = 000. The state sequence for this circuit for the next 3 clock cycle is,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/f1a76b6211141d1b-Jrdl0yzRyls87xInbiZozbo899oqrn.png,"001, 010, 011",,"111, 110, 101",,"100, 110, 111",,"100, 011, 001",,C,MCQ,JK ff truth table--- j k Q 0 0 Q0 1 0 1 0 1 0 1 1 Q0’ Initially Q2Q1Q0=000 Present state FF input                   Next state Q2 Q1 Q0 J2 K2 J1 K1 J0 K0 Q2 Q1 Q0 0 0 0 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1 0 1 1 0 0 0 1 0 1 1 1 1 1 So ans is (C) part.,,Digital Logic,Circuits,Sequential circuits
25,"The length of the shortest string NOT in the language (over Σ = {a, b}) of the following regular expression is ______________. a*b*(ba)*a*",,2,,3,,4,,5,,B,MCQ,"All the strings that can be generated till length-2 are definitely present in this language.  Now, let's look at the strings of length-3; {aaa, aab, aba, abb, baa, bab , bba, bbb} . String ""bab"" cannot be generated from given language. so, the string ""bab"" is the shortest string not acceptable by given regular expression.",,Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
26,"Here, w r is the reverse of the string w. Which of these languages are deterministic Context-free languages?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/89956ed6cbce991d-B4X3BjIDZflDv8u2Gsra6IUy6EDAAT.png,None of the languages,,Only L1,,Only L1 and L2,,All the three languages,,C,MCQ,"For L1 and L2 we can design Deterministic Pushdown automata, so both are DCFL. But for L3, it is not possible to design deterministic PDA, because DPDA cannot determine where 'w' ends exactly so it could start popping symbols (for w r ) from the stack. Therefore, option (C) is Correct.",,Theory of Computation,Formal Languages and Automata,Context-free languages and push-down automata
27,Which of the following problems is undecidable?,,Deciding if a given context-free grammar is ambiguous.,,Deciding if a given string is generated by a given context-free grammar.,,Deciding if the language generated by a given context-free grammar is empty.,,Deciding if the language generated by a given context-free grammar is finite.,,A,MCQ,"Context free grammar is not closed under ambiguity . A set is closed under an operation means when we operate an element of that set with that operator we get an element from that set. Here, context free grammar generates a context free language and set of all context free languages is also a set. But, ambiguity is not an operation and hence we can never say that CFG is closed under ambiguity. Thus, problem mentioned in option (A) is undecidable.",,Theory of Computation,Computability,Undecidability
28,"If [Tex]\int_{0}^{2\pi} |x \sin x| dx = k \pi,[/Tex] then the value of k is equal to _____.",,2,,3,,4,,5,,C,MCQ,"Let [Tex]I = \int_{0}^{2\pi} |x \sin x| dx[/Tex] [Tex]I = \int_{0}^{2 \pi}|x \sin x| d x = \int_{0}^{\pi} x \sin x d x+\left(-\int_{\pi}^{2 \pi} x \sin x d x\right)[/Tex] [Tex]I = \underbrace{\int_{0}^{\pi} x \sin x d x}_{I_1} -\underbrace{\int_{\pi}^{2 \pi} x \sin x d x}_{I_2}[/Tex] [Tex]I_1 = \int_0^{\pi} x \sin x d x = [-x \cos x]_0^\pi+0 \int^{\pi} \cos x d x[/Tex] [Tex]\Rightarrow I_1 = \pi+[\sin x]_0^{\pi} = \pi [/Tex] Now, [Tex] I_2 = \int_{\pi}^{2 \pi} x \sin x d x=[-x \cos x]_\pi^{2 \pi}+\int_\pi^{2 \pi} \cos x d x[/Tex] [Tex] \Rightarrow I_2 = -3 \pi + [\sin x]_{\pi}^{2 \pi} = -3\pi[/Tex] Given Integral = π - (-3π) = 4π So, K = 4",,Engineering Mathematics,Calculus,Integration
29,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2014/Question_Images/f8094824e41d100d-JGuuHkYF0auwdvtRwB6PlvZQXtgIyT.png,I Only,,II Only,,Both I and II,,Neither I or II,,C,MCQ,,,,,
30,The value of the integral given below is: [Tex]\int_{0}^{\pi} x^2 \cos x dx[/Tex],,-2π,,π,,-π,,2π,,A,MCQ,"Using Integration by Parts: [Tex]\int x^2 \cos{x} \, dx = x^2 \int \cos{x} \, dx - \int \frac{d}{dx}(x^2) \left(\int \cos{x} \, dx \right) dx[/Tex] [Tex]= x^2 \sin{x} - \int 2x \sin{x} \, dx[/Tex] Using integration by parts again [Tex]= x^2 \sin{x} - 2 \left(x (-\cos{x}) - \int 1 (-\cos{x}) \, dx \right)[/Tex] [Tex]= x^2 \sin{x} + 2x \cos{x} - 2 \sin{x}[/Tex] Putting the limits, [Tex]= \left[ x^2 \sin{x} + 2x \cos{x} - 2 \sin{x} \right]_{0}^{\pi}[/Tex] [Tex]= \big[ (\pi^2 \cdot 0) + 2\pi \cdot (-1) - 2 \cdot 0 \big] - \big[ (0^2 \cdot 0) + 2 \cdot 0 \cdot 1 - 2 \cdot 0 \big] = - 2\pi[/Tex]",,Engineering Mathematics,Calculus,Integration
