Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
14,"R(A,B,C,D) is a relation. Which of the following does not have a lossless join, dependency preserving BCNF decomposition?",,"A->B,  B->CD",,"A->B,  B->C, C->D",,"AB->C,  C->AD",,A ->BCD,,C,MCQ,"Background : Lossless-Join Decomposition: Decomposition of R into R1 and R2 is a lossless-join decomposition if at least one of the following functional dependencies are in F+ (Closure of functional dependencies) R1 ∩ R2 → R1 OR R1 ∩ R2 → R2 dependency preserving : Decomposition of R into R1 and R2 is a dependency preserving decomposition if closure of functional dependencies after decomposition is same as closure of of FDs before decomposition. A simple way is to just check whether we can derive all the original FDs from the FDs present after decomposition. We know that for lossless decomposition common attribute should be candidate key in one of the relation. A) A->B, B->CD R1(AB) and R2(BCD)  B is the key of second and hence decomposition is lossless. B) A->B, B->C, C->D R1(AB) , R2(BC), R3(CD)  B is the key of second and C is the key of third, hence lossless. C) AB->C, C->AD R1(ABC), R2(CD)  C is key of second, but C->A violates BCNF condition in ABC as C is not a key. We cannot decompose ABC further as AB->C dependency would be lost. D) A ->BCD Already in BCNF. Therefore, Option C AB->C, C->AD is the answer.",,Databases,Database Design,"Integrity constraints, normal forms"
15,Which of the following relational calculus expressions is not safe?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/158ebd904e775f3f-7BqK7o8pKYaRr1YaqfZq8tVaqOZ759.png,A,,B,,C,,D,,C,MCQ,"A tuple relational calculus expression may at times generate an infinite relation . It may also contain values that do not even appear in the database. Such expressions are said to be unsafe. A safe tuple relational calculus expression is the one which surely generates finite results . To pose a restriction over the unsafety of expressions in tuple relational calculus there is a concept of domain of a tuple relational formula denoted by dom (P) is the set of values referenced by P i.e. values there in P or values in tuple of a relation mentioned in P. Eg: The expression {t | ¬ (t € R)} is not safe because there are infinitely many tuples that do not occur in R relation . In the above question Options (A), (B) and option (D) produce finite set of tuples as each gives out tuples restricted from a particular relation and hence are safe. Option (C) produces infinite number of tuples as it generates all the tuples not in R1 i.e. it can have tuples from any other relation other than R1.Hence it is not safe.",,Databases,Data Models,Relational model
16,Seven (distinct) car accidents occurred in a week. What is the probability that they all occurred on the same day?,,1/7 7,,1/7 6,,1/2 7,,7/2 7,,B,MCQ,Prob(all accidents on Monday) = 1/7 7 . Similarly for other 6 days. So total probability = 7 * 1/7 7 = 1/7 6 . So option (B) is correct. Source: http://www.cse.iitd.ac.in/~mittal/gate/gate_math_2001.html,,Engineering Mathematics,Probability and Statistics,Conditional probability and Bayes theorem
17,"Consider the following statements: S1: There exists infinite sets A, B, C such that A ∩ (B ∪ C) is finite. S2: There exists two irrational numbers x and y such that (x+y) is rational. Which of the following is true about S1 and S2?",,Only S1 is correct,,Only S2 is correct,,Both S1 and S2 are correct,,None of S1 and S2 is correct,,C,MCQ,"S1: A ∩ (B ∪ C) Here S1 is finite where A, B, C are infinite We’ll prove this by taking an example. Let A = {Set of all even numbers} = {2, 4, 6, 8, 10...} Let B = {Set of all odd numbers} = {1, 3, 5, 7...........} Let C = {Set of all prime numbers} = {2, 3, 5, 7, 11, 13......} B U C = {1, 2, 3, 5, 7, 9, 11, 13......} A ∩ (B ∪ C) Will be equals to: {2} which is finite. I.e. using A, B, C as infinite sets the statement S1 is finite. So, statement S1 is correct. S2: There exists two irrational numbers x, y such that (x+y) is rational To prove this statement as correct, we take an example. Let X = 2-Sqrt (3), Y = 2+Sqrt (3) => X, Y are irrational X+Y = 2+Sqrt (3) + 2-Sqrt (3) = 2+2 = 4 So, statement S2 is also correct. Answer is Option C Both Statements S1, S2 are correct.",,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
18,"Consider the following relations: R1(a,b) if (a+b) is even over the set of integers R2(a,b) if (a+b) is odd over the set of integers R3(a,b) if a.b > 0 over the set of non-zero rational numbers R4(a,b) if |a - b| <= 2 over the set of natural numbers Which of the following statements is correct?",,"R1 and R2 are equivalence relations, R3 and R4 are not",,"R1 and R3 are equivalence relations, R2 and R4 are not",,"R1 and R4 are equivalence relations, R2 and R3 are not",,"R1, R2, R3 and R4 are all equivalence relations",,B,MCQ,"So basically, we have to tell whether these relations are equivalence or not. R1(a,b) Reflexive : Yes, because (a+a) is even. Symmetric : Yes, (a+b) is even ⟹ (b+a) is even. Transitive : Yes, because (a+b) is even and (b+c) is even ⟹ (a+c) is even. So R1 is equivalence relation. R2(a,b) Reflexive : No, because (a+a) is even. So R2 is not equivalence relation. R3(a,b) Reflexive : Yes, because a.a > 0. Symmetric : Yes, a.b > 0 ⟹ b.a > 0. Transitive : Yes, because a.b > 0 and b.c > 0 ⟹ a.c > 0. So R3 is equivalence relation. R4(a,b) Reflexive : Yes, because |a-a| ≤ 2. Symmetric : Yes, |a-b| ≤ 2 ⟹ |b-a| ≤ 2. Transitive : No, because |a-b| ≤ 2 and |b-c| ≤ 2 ⇏ (a-c) is even. So R4 is not equivalence relation. So option (b) is correct.",,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
19,Consider the following statements: S1: The sum of two singular n × n matrices may be non-singular S2: The sum of two n × n non-singular matrices may be singular. Which of the following statements is correct?,,S1 and S2 are both true,,"S1 is true, S2 is false",,"S1 is false, S2 is true",,S1 and S2 are both false,,A,MCQ,"Singular Matrix: A square matrix is singular if and only if its determinant value is 0. S1 is True: The sum of two singular n × n matrices may be non-singular It can be seen be taking following example. The following two matrices are singular, but their sum is non-singular. M1 and M2 are singular M1 =  1  1 1  1 M2 =   1  -1 -1   1 But M1+M2 is non-singular M1+M2 =  2  0 0  2 S2 is True: The sum of two n × n non-singular matrices may be singular M1 and M2 are non-singular M1 =  1  0 0  1 M2 =   -1  0 0  -1 But M1+M2 is singular M1+M2 =  0  0 0  0",,Engineering Mathematics,Linear Algebra,"Matrices, determinants, system of linear equations"
20,"Consider the circuit given below with initial state Q0 =1, Q1 = Q2 = 0. The state of the circuit is given by the value 4Q 2 + 2Q 1 + Q 0 Which one of the following is the correct state sequence of the circuit?",,"1,3,4,6,7,5,2",,"1,2,5,3,7,6,4",,"1,2,7,3,5,6,4",,"1,6,5,7,2,3,4",,B,MCQ,Initial value Q0 Q1 Q2 2Q1+4Q2+Q0 clk 1 0 0 1 1 0 1 0 2 2 1 0 1 5 3 1 1 0 3 4 1 1 1 7 5 0 1 1 6 6 0 0 1 4 So ans is (B) part.,,Digital Logic,Combinational and sequential circuits,
21,Consider the following circuit with initial state Q0 = Q1 = 0. The D Flip-flops are positive edged triggered and have set up times 20 nanosecond and hold times 0. Figure Consider the following timing diagrams of X and C; the clock period of C <= 40 nanosecond. Which one is the correct plot of Y?,"https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/fe7839026c0561ba-4GgV6YY07TM93ForNIBG35zSEydEdJ.jpg, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/0e84745fe4b1d3de-UYfgzHTabC4vN4PO7rpYPH7uCj69be.png",a,,b,,c,,d,,A,MCQ,"Set up time and hold times are given just to ensure that edge triggering works properly. Since clock is positive edge triggered, so first positive edge trigger: Since X is 0, so output will be 0. Also, Q0 and Q0' are 0 and 1 respectively. Now, in second step, Q0' would be 1 because of setup time of flip-flop is 20 ns and clock-period is ≥ 40 ns. Therefore, second positive edge trigger: Because of X is 1 and Q0' is 1, so output is 1. Now, Q0' will became 0, but output Y won't change as the flip-flop is positive edge triggered. Third positive edge trigger: Because of X is 1 and Q0' is 0, so output is 0. Now, output never changes back to 1 as Q0' is always 0 and when Q0' finally becomes 1, X is 0. So, option (A) is correct.",,Digital Logic,Combinational and sequential circuits,
22,"Given the following Karnaugh map, which one of the following represents the minimal Sum-Of-Products of the map?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/b56f083c5eaaa9e2-tjMgvIyIJPhqgqeLdV2M7BDb10WSo9.jpg,xy + y'z,,wx'y' + xy + xz,,w'x + y'z + xy,,xz + y,,A,MCQ,On solving we get xy+y’z so ans is (A) part.,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Explanation_Images/c89043f26325b56a-lGcutCIOfHNDiIBS7ygLptErMNfjel.jpg,Digital Logic,Minimization,
23,"Given an arbitary non-deterministic finite automaton (NFA) with N states, the maximum number of states in an equivalent minimized DFA is at least",,N 2,,2 N,,2N,,N!,,B,MCQ,,,Theory of Computation,Formal Languages and Automata,Regular expressions and finite automata
24,Consider the following two statements:,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/13511d15a6dfe524-bYuPk7kDFPGqKfJCrmdjCV17fhiC6d.png,Only S1 is correct,,Only S2 is correct,,Both S1 and S2 are correct,,None of S1 and S2 is correct,,A,MCQ,"We can easily build a DFA for S1.  All we need to check is whether input string has even number of 0's.  Therefore S1 is regular.   We can't make a DFA for S2.  For S2, we need a stack.  Therefore S2 is not regular.",,Theory of Computation,Language Properties,"Regular and context-free languages, pumping lemma"
25,"Consider a DFA over ∑ = {a, b} accepting all strings which have number of a’s divisible by 6 and number of b’s divisible by 8. What is the minimum number of states that the DFA will have?",,8,,14,,15,,48,,D,MCQ,"We construct a DFA for strings divisible by 6.  It requires minimum 6 states as length of string mod 6 = 0, 1, 2, 3, 4, 5 We construct a DFA for strings divisible by 8.  It requires minimum 8 states as length of string mod 8 = 0, 1, 2, 3, 4, 5, 6, 7  If first DFA is minimum and second DFA is also minimum then after merging both DFAs resultant DFA will also be minimum. Such DFA is called as compound automata. So, minimum states  in  the resultant DFA = 6 * 8 = 48 Thus, option (D) is the answer.",,Theory of Computation,Formal Languages and Automata,Regular expressions and finite automata
26,"Consider the following languages [Tex]L1=\left \{ ww|w\in \left \{ a,b \right \}*\right \}[/Tex] [Tex]L2= \{ ww^{R}|w\in  \{ a,b  \}^{+}, w^{R} is\ the\ reverse\ of\ w \}[/Tex] [Tex]L3= \{0^{2i}|  is\ an\ integer \}[/Tex] [Tex]L4= \{ 0^{i^{2}}| i\ is\ an\ integer \}[/Tex] Which of the languages are regular?",,Only L1 and L2,,"Only L2, L3 and L4",,Only L3 and L4,,Only L3,,D,MCQ,"A language is known as regular language if there exists a finite automaton (no matter whether it is deterministic or non-deterministic) which recognizes it. So if for a given language, we can come up with an finite automaton, we can say that the language is regular. But sometimes, it is not quite obvious to design an automaton corresponding to a given language but it surely exists. In that case, we should not start thinking that the given language is not regular. We should use pumping lemma to decide whether the given language is regular or not. According to pumping lemma, “Suppose L is a regular language, then there exists a l ≥ 1 such that for all string s ∈ L, where |s| ≥ l, we can always split s (there exists at least one such splitting) in such a way that s can be written as xyz with |xy| ≤ l and y ≠ ε  and for all i ≥ 0 , xy i z ∈ L”. l is known as pumping length. Let’s rephrase the given Lemma for non regular languages. Suppose L is a language, if for all l ≥ 1 there exist a string s ∈ L with |s| ≥ l such that for all splitting (there doesn’t exists a single splitting which doesn’t follow this rule) of s in form of xyz such that |xy| ≥ l and y ≠ ε , there exists an i≥ 0 such that xy i z ∉ L, then L is not regular. Notice that here we stress on finding such s if we want to prove that a language is not regular. Choice of the Questions: (a) In choice 1 , Lets first consider w being of length n and containing only a. In this case the language represents a n a n . The length of the string represented by language should be Even. Consider l = n, then xyz = a n a n with xy = a n . lets assume y = a, then consider the membership of xy i z with i = 0. This will simply be of odd length which doesn’t belongs to L. So L is not regular. To discuss it in more detail, let’s consider another example. Suppose w = a p b, then string formed by L will be a p ba p b which is of length 2p + 2. Assume l = p, then xy = a p . suppose y = a, then consider the membership of xy i z with i = 0. This certainly doesn’t belongs to L. So L is not regular. (b) In choice 2 , The first example will work as above. In the second example, the string will be a p bba p , and there will be no changes in process for proving it to be non regular. (c) In choice 3 , Assuming that we are considering integer from 0 and 0 2∗n results in empty string, Which is also accepted, We can simply construct a DFA as given below. It simply accepts a string if it is either empty or contain even number of zeros. So the language is regular. (d) In choice 4 , We can simply assume that the pumping length l =i 2 /2. Now consider the xy = 0 l with y = 0, Now if we check the membership of xy 2 z, we can find that this will represent 0 i^2 +1, and corresponding to which there exists no j such that j 2 = i 2 + 1 where i and j are integer except j = 1 and i = 0. But since i can’t be zero. In Short, using pumping lemma, we can generate 0 i^2 +1 as well as 0 i^2 -1, which won’t be available in L. So L is not regular.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Explanation_Images/fb26a46da21d9e01-QXcJkN1Wh7mz1AFaqFld5Y9jiL9cAg.jpg,Theory of Computation,Language Properties,"Regular and context-free languages, pumping lemma"
27,Which of the following statements is true?,,If a language is context free it can always be accepted by a deterministic push-down automaton,,The union of two context free languages is context free,,The intersection of two context free languages is context free,,The complement of a context free language is context free,,B,MCQ,,,Theory of Computation,Language Properties,"Regular and context-free languages, pumping lemma"
28,"Consider the following problem X. Given a Turing machine M over the input alphabet Σ, any state q of M And a word w∈Σ*, does the computation of M on w visit the state q? Which of the following statements about X is correct?",,X is decidable,,X is undecidable but partially decidable,,X is undecidable and not even partially decidable,,X is not a decision problem,,B,MCQ,"This problem is a State Entry Problem. State entry problem can be reduced to halting problem. We construct a turing machine M with final state ‘q’. We run a turing machine R (for state entry problem) with inputs : M, q, w . We give ‘w’ as  input to M. If M halts in the final state ‘q’ then R accepts the input. So, the given problem is partially decidable.  If M goes in an infinite loop then M can not output anything. So, R rejects the input. So, the given problem becomes undecidable. Thus, option (B) is the answer.",,Theory of Computation,Computability,Turing machines and undecidability
29,How many 4-digit even numbers have all 4 digits distinct?,,4536,,2620,,2296,,2240,,C,MCQ,"This is a basic permutation combination question. Considering two cases : numbers ending with 0 and not ending with 0: Numbers ending with 0 1{first place: 0} ∗9{fourth place: 9 possibilities, 1-9} ∗8{third place: 8 possibilities left} ∗7{second place: 7 possibilities left} = 504 Numbers ending with non-0 4{first place: 2,4,6,8} ∗8{fourth place: 8 possibilities left, 1-9}∗8{third place: 8 possibilities left b/w 0-9} ∗7{second place: 7 possibilities left b/w 0-9} = 2592 Total = 2296",,Engineering Mathematics,Discrete Mathematics,Combinatorics
30,More than one word are put in one cache block to,,exploit the temporal locality of reference in a program,,exploit the spatial locality of reference in a program,,reduce the miss penalty,,none of the above,,B,MCQ,,,Computer Organization and Architecture,Memory Hierarchy,"Cache, main memory and secondary storage"
31,"Consider the following data path of a simple non-pilelined CPU. The registers A, B, A1, A2, MDR, the bus and the ALU are 8-bit wide. SP and MAR are 16-bit registers. The MUX is of size 8 × (2:1) and the DEMUX is of size 8 × (1:2). Each memory operation takes 2 CPU clock cycles and uses MAR (Memory Address Register) and MDR (Memory Date Register). SP can be decremented locally. The CPU instruction “push r”, where = A or B, has the specification M [SP] ← r SP ← SP – 1 How many CPU clock cycles are needed to execute the “push r” instruction?",,1,,3,,4,,5,,D,MCQ,"SP out, MAR in ------ 2 cycles as they are 16 bit and system bus is of 8 bits A out, MDR in --------- 1 cycle M[MAR]<----- MDR ------- 2 cycles So total 5 cycles, option D is the correct answer",,Computer Organization and Architecture,CPU,"ALU, data-path and control unit"
32,Consider two well-formed formulas in prepositional logic. F1 : P ⇒ ¬P F2 : ( P⇒¬P)∨(¬P⇒P) Which of the following statements is correct?,,"F1 unsatisfiable, F2 is satisfiable",,F1 and F2 are both satisfiable,,"F1 is unsatisfiable, F2 is valid",,"F1 is satisfiable, F2 is valid",,D,MCQ,"The concept behind this solution is: a) Satisfiable If there is an assignment of truth values which makes that expression true. b) UnSatisfiable If there is no such assignment which makes the expression true c) Valid If the expression is Tautology Here, P => Q is nothing but –P v Q F1: P => -P = -P v –P = -P F1 will be true if P is false and F1 will be false when P is true so F1 is Satisfiable F2: (P => -P) v (-P => P) which is equals to (-P v-P) v (-(-P) v P) = (-P) v (P) = Tautology So, F1 is Satisfiable and F2 is valid Option (d) is correct.",,Engineering Mathematics,Discrete Mathematics,Propositional and first order logic
33,"Consider the following program pascal Program P2 var n : int : procedure W ( var x : int ) begin x = x + 1 ; print x ; end procedure D begin var n : int ; n = 3 ; W ( n ) ; end begin //beginP2 n = 10 ; D ; end If the language has dynamic scoping and parameters are passed by reference, what will be printed by the program?",,10,,11,,3,,None of the above,,D,MCQ,In static scoping or compile-time scoping the free variables (variables used in a function that are neither local variables nor parameters of that function) are referred as global variables because at compile only global variables are available. In dynamic scoping or run-time scoping the free variables are referred as the variables in the most recent frame of function call stack. In the given code in the function call of procedure W the local variable x is printed i.e 4. Under dynamic scoping if x would have not been there in procedure W then we would refer to x of the function in function call stack i.e procedure D and the main function but since x is a local variable not a free variable we referred to the local variable hence 4 will be printed.,,Compiler Design,Runtime Environments,
34,"What is printed by the print statements in the program P1 assuming call by reference parameter passing? Program P1() { x = 10; y = 3; func1(y,x,x); print x; print y; } func1(x,y,z) { y = y+4; z = x+y+z; }",,"10, 3",,"31, 3",,"27, 7",,None of the above,,B,MCQ,"Here, we are passing the variables by call by reference. This means that the changes that we will make in the parameter would be reflected in the passed argument.  Here, the first variable passed in the function func1 (i.e., y) points to the address of the variable x.  Similarly, the second variable passed in the function func1 (i.e., x) points to the address of the variable y and the third variable passed in the function func1 (i.e., x) points to the address of the variable z.     So, we have y = y + 4 ⇒ y = 10 + 4 = 14  and z = x + y + z ⇒ z = 14 + 14 + 3 = 31  z will be returned to x. So, x = 31 and y will remain 3.  Thus, the correct choice is B.",,Programming and Data Structures,Programming in C,
35,The 2’s complement representation of (−539) 10 in hexadecimal is,,ABE,,DBC,,DE5,,9E7,,C,MCQ,"-539 10 = 1 010 0001 1011 2 ( Leftmost 1 denotes negative )  One's complement = 1 101 1110 0100  Two's complement = 1 101 1110 0101  Converting this two's complement to hexadecimal form, we get DE5.     Thus, C is the correct choice.",,Digital Logic,Number representations and computer arithmetic (fixed and floating point),
36,Which is the most appropriate match for the items in the first column with the items in the second column X. Indirect Addressing        I. Array implementation Y. Indexed Addressing         II. Writing re-locatable code Z. Base Register Addressing   III. Passing array as parameter,,"(X, III) (Y, I) (Z, II)",,"(X, II) (Y, III) (Z, I)",,"(X, III) (Y, II) (Z, I)",,"(X, I) (Y, III) (Z, II)",,A,MCQ,Indexed addressing is used for array implementation where each element has indexes.  Base register is used to relocatable code which starts from base address and then all local addresses are added to base address.  Indirect addressing is done when array is passed as parameter where only name is passed.  So (A) is correct option.,,Computer Organization and Architecture,Instruction Set Architecture,Machine instructions and addressing modes
37,A slow memory can be connected to 8085 by using,,INTER,,[Tex]\bar{\text{RESET IN}} [/Tex],,HOLD,,READY,,D,MCQ,"A low memory can be connected to 8085 by using READY signal, Communication is only possible when READY signal is set .So (D) is correct option",,Computer Organization and Architecture,I/O,I/O interface (interrupt and DMA mode)
