Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
11,"The following function computes X Y for positive integers X and Y. C int exp ( int X , int Y ) { int res = 1 , a = X , b = Y ; while ( b != 0 ) { if ( b % 2 == 0 ) { a = a * a ; b = b / 2 ; } else { res = res * a ; b = b -1 ; } } return res ; } Which one of the following conditions is TRUE before every iteration of the loop",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Question_Images/4f7a65cd7609c749-6unnHohR5D8I2c5Kem2DzwFDTDlFdt.png,A,,B,,C,,D,,C,MCQ,"We can solve this question taking any two values for X and Y. Suppose X= 2 and Y= 5, now this code will calculate Looking at each iteration separately Before iteration 1 – X=2 Y= 5 a=2 , b=5, res=1 Iteration 1 – since b%2 !=0 we go to else part. Therefore after iteration 1, X=2, Y=5, a=2, b=4, res=2 Iteration 2 – since b%2=0 we go to if part. Therefore after iteration 2 , X=2, Y=5, a=4, b=2, res=2 Iteration 3 – since b%2=0 we go to if part Therefore after iteration 3 , X=2, Y=5, a=16, b=1, res=2 Iteration 4 – since b%2!=0 we go to else part. Therefore after iteration 4 , X=2, Y=5, a=16, b=0, res=32 Now putting the values of X, Y , a, b, res in the equations given in options after each iteration we can see only equation c is correct. Another solution In option C Before Iteration 1: X^Y=64 res ∗ (a^b)=64 Before Iteration 2: X^Y=64 res ∗ (a^b)=64 Before Iteration 3: X^Y=64 res ∗ (a^b)=64",,Algorithms,Basic Techniques,Loop invariants
12,"The given diagram shows the flowchart for a recursive function A(n). Assume that all statements, except for the recursive calls, have O(1) time complexity. If the worst case time complexity of this function is O(n α ), then the least possible value (accurate up to two decimal positions) of α is __________",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Question_Images/e4aa935cf1a3bc4f-U9SZaXwAkmosVJzxVsdCNkpAdnWW8l.png,2.2 to 2.4,,3.2 to 3.4,,0  to 1.8,,1,,A,MCQ,"The time complexity of a recurrence relation is the worst-case time complexity. First, we have to determine the number of function calls in the worst case from the flow chart. The worst case will be when all the conditions (diamond boxes) turn towards non-returning paths taking the longest root. In the longest path we have 5 function calls. So the recurrence relation will be: A(n) = 5A(n/2) + O(1)       [O(1) because rest of the statements have O(1) complexity.] Solving this recurrence relation using Master theorem : a = 5 , b= 2 , f(n) =O(1) , n log b a = n log 2 5 [case 1 master theorem] A(n) =n log b a value of log 2 5 is 2.3219, so, the best option is option a.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Explanation_Images/cb8a7facef178f31-LDUGQh97RRgYPv0iYa99sQliX3VX6B.webp,Algorithms,Basic Techniques,Recurrence relations
13,"In an adjacency list representation of an undirected simple graph G = (V, E), each edge (u, v) has two adjacency list entries: [v] in the adjacency list of u, and [u] in the adjacency list of v. These are called twins of each other. A twin pointer is a pointer from an adjacency list entry to its twin. If |E| = m and |V | = n, and the memory size is not a constraint, what is the time complexity of the most efficient algorithm to set the twin pointer in each entry in each adjacency list?",,Θ(n 2 ),,Θ(m+n),,Θ(m 2 ),,Θ(n 4 ),,B,MCQ,"First you need to find twins of each node. You can do this using level order traversal (i.e., BFS) once. Time complexity of BFS is Θ(m +n). And you have to use linked list for representation which is extra space (but memory size is not a constraint here). Final, time complexity is Θ(m + n) to set twin pointer. Option (B) is correct.",,Algorithms,Complexity Analysis,Algorithm analysis
14,The Floyd-Warshall algorithm for all-pair shortest paths computation is based on:,,Greedy paradigm.,,Divide-and-Conquer paradigm.,,Dynamic Programming paradigm.,,neither Greedy nor Divide-and-Conquer nor Dynamic Programming paradigm.,,C,MCQ,"Floyd Warshall Algorithm is a Dynamic Programming based algorithm.   It finds all pairs shortest paths using following recursive nature of problem.   For every pair (i, j) of source and destination vertices respectively, there are two possible cases. 1) k is not an intermediate vertex in shortest path from i to j. We keep the value of dist[i][j] as it is. 2) k is an intermediate vertex in shortest path from i to j. We update the value of dist[i][j] as dist[i][k] + dist[k][j].  The following figure is taken from the Cormen book. It shows the above optimal substructure property in the all-pairs shortest path problem. Since there are overlapping subproblems in recursion, it uses dynamic programming.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Explanation_Images/34c5f7fd96ee8300-2Nqe1bR0Ptq1DdusB9yANJFE17V8Oo.png,Algorithms,Design Techniques,Dynamic programming
15,"Consider the following database table named water_schemes : The number of tuples returned by the following SQL query is with total(name, capacity) as select district_name, sum (capacity) from water_schemes group by district_name with total_avg(capacity) as select avg (capacity) from total select name from total, total_avg where total.capacity >= total_avg.capacity",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Question_Images/04b6b23a93b1b2cc-qIK3t67zk5ED3F4nQlPHz8llh6PSJN.png,1,,2,,3,,4,,B,MCQ,"First group by district name is performed and total capacities obtained as following Ajmer 20 Bikaner 40 Charu 30 Dungargarh 10 Then average capacity is computed, Average Capacity = (20 + 40 + 30 + 10)/4 = 100/4 = 25 . Finally districts with more than average are selected. Bikaner is 40 which is greater than average (25) Charu is 30 which is also greater than average (25). Therefore answer is 2 tuples.",,Databases,Data Models,Relational model (queries)
16,"Suppose a database schedule S involves transactions T1, ....Tn.   Construct the precedence graph of S with vertices representing the transactions and edges representing the conflicts.  If S is serializable, which one of the following orderings of the vertices of the precedence graph is guaranteed to yield a serial schedule?",,Topological order,,Depth-first order,,Breadth-first order,,Ascending order of transaction indices,,A,MCQ,Cycle in precedence graph tells that schedule is not conflict serializable . DFS and BFS traversal of graph are possible even if graph contains cycle. And hence DFS and BFS are also possible for non serializable graphs. But Topological sort of any cyclic graph is not possible. Thus topological sort guarantees graph to be serializable . Option D is not valid because in a transaction with more indices might have to come before lower one. Also two non- conflicting schedule can occur simultaneously.,,Databases,Transactions,Concurrency control
17,"Consider the following database schedule with two transactions, T1 and T2. S = r2(X); r1(X); r2(Y); w1(X); r1(Y); w2(X); a1; a2; where ri(Z) denotes a read operation by transaction Ti on a variable Z, wi(Z) denotes a write operation by Ti on a variable Z and ai denotes an abort by transaction Ti . Which one of the following statements about the above schedule is TRUE?",,S is non-recoverable,,"S is recoverable, but has a cascading abort",,S does not have a cascading abort,,S is strict,,C,MCQ,"As we can see in figure, T2 overwrites a value that T1 writes T1 aborts: its “remembered” values are restored. Cascading Abort could have arised if - > Abort of T1 required abort of T2 but as T2 is already aborted , its not a cascade abort. Therefore, Option C Option A - is not true because the given schedule is recoverable Option B - is not true as it is recoverable and avoid cascading aborts; Option D - is not true because T2 is also doing abort operation after T1 does, so NOT strict.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Explanation_Images/bc269699f264eef9-144MMqddRLc668hVIySIMAwQQJjNMo.png,Databases,Transactions,Concurrency control
18,"Suppose that a shop has an equal number of LED bulbs of two different types. The probability of an LED bulb lasting more than 100 hours given that it is of Type 1 is 0.7, and given that it is of Type 2 is 0.4. The probability that an LED bulb chosen uniformly at random lasts more than 100 hours is :   Note : This question was asked as Numerical Answer Type.",,0.55,,0.7,,0.4,,0.35,,A,MCQ,"The question is based on Bayes' Theorem.  P(LED is Type 1) = 1/2 P(LED is type 2) = 1/2  Now, we need to see conditional probabilities.  P( LED lasting more than 100 hours / LED is Type 1) = 0.7 P( LED lasting more than 100 hours / LED is Type 2) = 0.4  P(LED lasts more than 100 hours) = P( LED is Type1)* P(LED lasting more than 100 hours / LED is Type 1) + P(LED is Type 2) * P( lasting more than 100 hours / Type 2)  = 0.5 * 0.7 + 0.5 * 0.4 = 0.35 + 0.20 = 0.55   Thus, A is the correct choice.",,Engineering Mathematics,Probability and Statistics,Conditional Probability
19,"A binary relation R on N x N is defined as follows: (a, b) R (c, d) if a <= c or b <= d. Consider the following propositions: P: R is reflexive Q: R is transitive Which one of the following statements is TRUE?",,Both P and Q are true.,,P is true and Q is false.,,P is false and Q is true.,,Both P and Q are false.,,B,MCQ,"THEORY: REFLEXTIVE RELATION: A relation ‘R’ on a set ‘A’ is said to be reflexive if, (xRx) for every x£A. Ex. If A= {1,2} And R, and P be a relation on AxA, defined as, R= {(2,2),(1,1)} => R is reflexive as it contains all pair of type (xRx). P= {(1,1)} => P is not reflexive relation on A, as it doesn’t contain (2,2). TRANSITIVE RELATION: A relation ‘R’ on set ‘A’ is said to be transitive if (xRy) and (yRz), then (xRz) for every x,y,z £A. Ex: if A= {1,2} Let R be a relation on AxA, defined as, R= {(1,1),(1,2),(2,1)} => R is transitive. SOLUTION: Given, (a, b) R (c, d) if a <= c or b <= d i. Check for reflexivity: if an element of set be (a,b) then, (a,b)R(a,b) should hold true. Here, a<=a or b<=b. So, (a,b)R(a,b) holds true. Hence, ‘R’ is reflexive. ii. Check for transitivity: if elements of set be (2,3),(3,1) and(1,1) Then, (2,3)R(3,1) as 2<=3 And (3,1)R(1,1) as 1<=1 But (2,3)R(1,1) doesn’t hold true as 2>=1 and 3>=1. Hence, R is reflexive but not transitive .",,Engineering Mathematics,Discrete Mathematics,Sets/Relations/Functions
20,"Suppose that the eigenvalues of matrix A are 1, 2, 4. The determinant of (A −1 ) T is _________",,1/8,,1,,1/4,,2,,A,MCQ,Answer:  1/8 Determinant of A = 1 × 4 × 2 = 8 which is the product of Eigenvalues. The determinant of A −1 is 1/8 because the determinant of a matrix's inverse is the reciprocal of the determinant of the matrix. The determinant of the transpose of A −1 is 1/8​ because the determinant of a matrix's transpose is equal to that of the original matrix.,,Engineering Mathematics,Linear Algebra,Matrices
21,"Let f (x) be a polynomial and g(x) = f'(x) be its derivative. If the degree of (f(x) + f(−x)) is 10, then the degree of (g(x) − g(−x)) is ___________ .  [This Question was originally a Fill-in-the-blanks Question]",,8,,7,,9,,10,,C,MCQ,"f(x) can be either an even function or an odd function. If f(x) was an odd function, then f(x) + f(-x) = 0, but here it has been given that it has degree 10. So, it must be an even function. Therefore, f(x) = f(-x) => f'(x) = -f'(-x) Also, it has been mentioned that g(x) is the derivative of f(x). So, g(x) = f'(x) and g(-x) = -f'(-x) => g(x) - g(-x) = f'(x) - (-f'(-x)) => g(x) - g(-x) = f'(x) + f'(x) => g(x) - g(-x) = 2 * f'(x) But, f'(x) will have degree 9. Thus, (C) is the correct option.",,Engineering Mathematics,Calculus,
22,"Consider the systems, each consisting of m linear equations in n variables. I. If m < n, then all such systems have a solution II. If m > n, then none of these systems has a solution III. If m = n, then there exists a system which has a solution Which one of the following is CORRECT?",,"I, II and III are true",,Only II and III are true,,Only III is true,,None of them is true,,C,MCQ,"For 'n' variables, we need atleast 'n' linear equations in terms of the given  variable to find value of each variable. If no. of equations > no. of variables then also we can find the value of each variable. Here, m : No. of linear equations n : No. of variables For solution, m > or = n.",,Engineering Mathematics,Linear Algebra,Systems
23,"Consider an eight-bit ripple-carry adder for computing the sum of A and B, where A and B are integers represented in 2’s  complement form. If the decimal value of A is one, the decimal value of B that leads to the longest latency for the sum to stabilize is _____________  [This Question was originally a Fill-in-the-blanks Question]",,-1,,2,,1,,-2,,A,MCQ,"Here ""longest latency for the sum to stabilize"" means maximum delay that ripple carry adder would take to add A and B, we are given value of A and need to find the value of B. The Delay in Ripple Carry Adder is as follows - For sum there are 2 XOR gates. - For carry there is 1 XOR,1 AND and 1 OR gate. i.e total 3 gate delays in case of carry and 2 gate delays in sum. If we do 2's complement of 1 in 8 bit we get ""00000001"". same we do for each option -1 : ""11111111"" 2 : ""00000010"" 1 : ""00000001"" -2 : ""11111110"" So in case of -1 the carry bit will change and thus it will take 1 extra  gate delay, hence we could see that the maximum delay we could get when  input at B will be -1, i.e. add ""00000001"" with ""11111111"" and would get Maximum delay.",,Digital Logic,Circuits,Combinational circuits
24,"Let, x1⊕x2⊕x3⊕x4 = 0 where x1, x2, x3, x4 are Boolean variables, and ⊕ is the XOR operator. Which one of the following must always be TRUE ?",,x1x2x3x4 = 0,,x1x3+x2 = 0,,x′1⊕x′3=x′2⊕x′4,,x1+x2+x3+x4 = 0,,C,MCQ,"First we rearrange the terms, x1⊕x2⊕x3⊕x4 = 0 x1⊕x3⊕x2⊕x4 = 0 x1⊕x3 = x2⊕x4  Then use a⊕b=a′⊕b′a⊕b=a′⊕b′ to get (C).  x′1⊕x′3=x′2⊕x′4 Another approach : You can take a counter example to disprove other options.  You can take x1 = x2 = x3 = x4 = 1.  Only option (C) is correct.",,Digital Logic,Boolean Algebra,
25,Let X be the number of distinct 16-bit integers in 2’s complement representation. Let Y be the number of distinct 16-bit  integers in sign magnitude representation. Then X −Y is _________  [This Question was originally a Fill-in-the-blanks Question],,1,,2,,3,,0,,A,MCQ,"For n bits, Distinct values represented in 2's complement is -2^n-1 to 2^n-1 -1  Distinct values represented in Signed magnitude is -(2^(n-1) -1) to 2^(n-1) -1 For example if n = 8, we can represent numbers from -128 to 127 in 2's complement representation and numbers from -127 to 127 in signed magnitude representation. Difference is 1. The difference of 1 is there because there are two different representations of +0 and -0 in signed magnitude representation. But in 2's complement representation, there is one representation of 0.",,Digital Logic,Number Representations,Integer representation
26,The number of states in the minimum sized DFA that accepts the language defined by the regular expression (0+1) * (0+1)(0+1) * is __________________ [Note that this question was originally asked as Fill-in-the-Blanks type],,2,,3,,4,,5,,A,MCQ,"According to regular expression, automata do not accept null characters (lambda). As it says (0+1)*(0+1)(0+1)*. So here both the (0+1)* can be null. But we will still have one (0+1). So, the minimum number of states is 2. Thus, B is the correct answer.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Explanation_Images/27be9c50eabf2330-KhlWcdw90ReVef7vxkF7tvdW1t9Kko.png,Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
27,"Consider the following two statements: I. If all states of an NFA are accepting states then the language accepted by the NFA is Σ∗ . II. There exists a regular language A such that for all languages B, A ∩ B is regular. Which one of the following is CORRECT?",,Only I is true,,Only II is true,,Both I and II are true,,Both I and II are false,,B,MCQ,"Statement I : False, Since there is no mention of transition between states. There may be a case, where between two states there is no transition defined. Statement II : True, Since any empty language (i.e., A = Φ ) is regular and its intersection with any other language is Φ. Thus A ∩ B is regular.",,Theory of Computation,Language Properties,Closure properties
28,"Consider the following types of languages: L1 Regular, L2: Context-free, L3: Recursive, L4: Recursively enumerable. Which of the following is/are TRUE? I.   L3' U L4 is recursively enumerable II.  L2  U L3 is recursive III. L1* U L2 is context-free IV.  L1 U L2' is context-free",,I only,,I and III only,,I and IV only,,"I, II and III only",,D,MCQ,"St 1: As L3 is Recursive and recursive languages are closed under complementation, L3’ will also be recursive and hence RE. L3’ U L4 is also recursive enumerable as recursive enumerable languages are closed under union. St 2: As L2 is Context- Free, it will be recursive as well. L2 U L3 is recursive because as recursive languages are closed under union. St 3: L1* is regular because regular languages are closed under kleene –closure. L1* U L2 is context free as union of regular and context free is context free. St 4: L2’ may or may not be context free because CFL are not closed under complementation. So it is not true.   So I, II and III are correct.",,Theory of Computation,Language Properties,Closure properties
29,The minimum number of colours that is sufficient to vertex-colour any planar graph is _______________  [This Question was originally a Fill-in-the-blanks Question],,1,,2,,3,,4,,D,MCQ,A planar graph is a graph on a plane where no two edges are crossing each other. The set of regions of a map can be represented more abstractly as an undirected graph that has a vertex for each region and an edge for every pair of regions that share a boundary segment. Hence the four color theorem is applied here. Here is a property of a planar graph that a planar graph does not require more than 4 colors to color its vertices such that no two vertices have same color.,,Engineering Mathematics,Discrete Mathematics,Graph Theory
30,"Consider a 3 GHz (gigahertz) processor with a three-stage pipeline and stage latencies v1, v2, and v3 such that v1 = 3v2/4 = 2v3.  If the longest pipeline stage is split into two pipeline stages of equal latency, the new frequency is _________ GHz, ignoring delays in the pipeline registers",,2,,4,,8,,16,,B,MCQ,"Ans is B Consider this pipeline (V1) --> (V2) --> (V3) Can be written as (V) --> (4V/3) --> (V/2) Where given V = V1 = 3V2/4 = 2V3 Largest stage is stage 2 with 4V/3 seconds time required. Speed of processor is limited by this stage only. In fact this is the speed of the processor.  Frequency given is 3Ghz, which means processor can execute 3 Giga clock cycle.... in 1 second Or 1 clock cycle .....in (1/3G) secs (G for giga) But we know that stage latency of the largest stage in pipeline limits the time of 1 clock cycle. Hence 4V/3 = 1 clock cycle = 1/3G secs V = 1/4G...........(1) Now largest stage that is stage 2 is split into equal size, so new pipeline is (V)-->(2V/3)-->(2V/3)-->(V/2) Now largest stage is V seconds Hence, In V seconds do 1 clock cycle In 1 second do 1/V clock cycles But V = 1/4G So in 1 second do 4 Ghz. {ANS}",,Computer Organization and Architecture,Pipelining,Basics of pipelining
31,"A processor has 40 distinct instructions and 24 general purpose registers. A 32-bit instruction word has an opcode, two register operands and an immediate operand. The number of bits available for the immediate operand field is ____________  [This Question was originally a Fill-in-the-blanks Question]",,16,,8,,4,,32,,A,MCQ,"6 bits are needed for 40 distinct instructions ( because, 32 < 40 < 64 ) 5 bits are needed for 24 general purpose registers( because, 16< 24 < 32) 32-bit instruction word has an opcode(6 bit), two register operands(total 10 bits) and an immediate operand (x bits). The number of bits available for the immediate operand field => x = 32 - ( 6 + 10 ) = 16 bits",,Computer Organization and Architecture,Instruction Set Architecture,Instruction formats
32,The width of the physical address on a machine is 40 bits. The width of the tag field in a 512 KB 8-way set associative cache is ____________ bits,,24,,20,,30,,40,,A,MCQ,"An easy approach would be we know that physical address is 40 bytes We know cache size = no.of.sets* lines-per-set* block-size Let us assume no of sets = 2^x And block size= 2^y So applying it in formula. 2^19 = 2^x + 8 + 2^y; So x+y = 16 Now we know that to address block size and set number we need 16 bits so remaining bits must be for tag i.e., 40 - 16 = 24 The answer is 24 bits If question extends and asks as what is the size of comparator, we need then it is 24 bit comparator. Alternate Explanation: Physical Address Bits = T(Tag Bits) + S(Set Bits) + O(Offset Bits) = 40 bits    (given) Set = 8    (given) Size of cache = 512 KB     (given) Size of lines = 512 / 8 = 64 KB So, O = 64/8 = 8 bits Now, S + O = 8 + 8 = 16 bits Hence, T = 40 - 16 = 24 bits This explanation is contributed by Mohit Gupta. Refer the following links for more understanding in the above topic: Cache Memory Cache Organization | Introduction",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Explanation_Images/b8855aa4116d2859-IYL4PbEzB0ItURq7zd5bJMSw0CwUHI.jpg,Computer Organization and Architecture,Memory Hierarchy,Cache memory
