Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
11,Consider an ambiguous grammar G and its disambiguated version D. Let the language recognized by the two grammars be denoted by L(G) and L(D) respectively. Which one of the following is true ?,,L (D) ⊂ L (G),,L (D) ⊃ L (G),,L (D) = L (G),,L (D) is empty,,C,MCQ,"By changing grammar, language will not change here. {as converting NFA to DFA language will not be changed}",,Theory of Computation,Formal Languages and Automata,Context-free grammars and push-down automata
12,"The trapezoidal method is used to evaluate the numerical value of [Tex]\int_0^1 e^x\,dx  [/Tex] .  Consider the following values for the step size h. i.   10 -2 ii.      10 -3 iii. 10 -4 iv.  10 -5 For which of these values of the step size h, is the computed value guaranteed to be correct to seven decimal places. Assume that there are no round-off errors in the computation.",,(iv) only,,(iii) and (iv) only,,"(ii), (iii) and (iv) only",,"(i), (ii), (iii) and (iv)",,B,MCQ,,,Engineering Mathematics,Calculus,Integration
13,"A processor takes 12 cycles to complete an instruction I. The corresponding pipelined processor uses 6 stages with the execution times of 3, 2, 5, 4, 6 and 2 cycles respectively. What is the asymptotic speedup assuming that a very large number of instructions are to be executed?",,1.83,,2,,3,,6,,B,MCQ,"For non pipeline processor, It takes, 12 cycles to complete 1 instruction So, for n instructions it will take 12n cycle For pipelined processor, Each stage time = max{each stage cycles} = max{3, 2, 5, 4, 6 and 2} = 6 cycles So, for n instructions it will take = 6*6+ (n-1)*6    {6*6 for 1st instruction and for rest of n-1 it will take 6} For a large number of instructions: Lim n->∞ 12n/36 + (n-1)*6 = 12/6 =2",,Computer Organization and Architecture,Pipelining,"Instruction pipelining, pipeline hazards"
14,Which of the following systems is a most likely candidate example of a pipe and filter architecture ?,,Expert system,,DB repository,,Aircraft flight controller,,Signal processing,,D,MCQ,"Pipe and Filters In the pipes and filters pattern, components are filters and connectors are pipes. Each filter takes input insome form and produces output in some other form,  which may or may not be similar to the input form.Hopefully,each filter will add  value to the output stream because of processing done inside the filter. Each filter  is independent and is unaware of the up and down stream filters. Pipes are conduits  of the data streams. Famous example of the pipes and filters architectural pattern are UNIX shells,signal processing systems and distributed systems.",,,,
15,Consider the following statements about the timeout value used in TCP. i. The timeout value is set to the RTT (Round Trip Time) measured during TCP connection establishment for the entire duration of the connection. ii. Appropriate RTT estimation algorithm is used to set the timeout value of a TCP connection. iii. Timeout value is set to twice the propagation delay from the sender to the receiver. Which of the following choices hold?,,"(i) is false, but (ii) and (iii) are true",,"(i) and (iii) are false, but (ii) is title",,"(i) and (ii) are false, but (iii) is true",,"(i), (ii) and (iii) are false",,B,MCQ,"Time-out timer in TCP: One can’t use static timer used in data link layer (DLL), which is HOP to HOP connection, since nobody knows how many hops are there in the path form sender to receiver as it uses IP service and path may vary time to time. So, dynamic timers are used in TCP. Time-out timer should increase or decrease depending on traffic to avoid unnecessary congestion due to retransmissions. There are three algorithms are for this purpose: 1. Basic algorithm 2. Jacobson’s algorithm 3. Karl’s modification. Solution: The timeout value is set to the RTT (Round Trip Time) measured during TCP connection establishment for the entire duration of the connection.- FALSE The timeout value can’t be fixed for entire duration as it will turn timer to static timer, we need dynamic timer for timeout. Appropriate RTT estimation algorithm is used to set the timeout value of a TCP connection.-TRUE Yes, all three algorithm are appropriate RTT estimation algorithm used to set timeout value dynamically. Timeout value is set to twice the propagation delay from the sender to the receiver.-FALSE This statement is false because, timeout value is set to twice the propagation delay in data link layer where, hop to hop distance is known, not in TCP layer. This solution is contributed by S andeep pandey .",,Computer Networks,Transport Layer,"UDP, TCP, sockets"
16,"Consider a TCP connection in a state where there are no outstanding ACKs. The sender sends two segments back to back. The sequence numbers of the first and second segments are 230 and 290 respectively. The first segment was lost, but the second segment was received correctly by the receiver. Let X be the amount of data carried in the first segment (in bytes), and Y be the ACK number sent by the receiver. The values of X and Y (in that order) are",,60 and 290,,230 and 291,,60 and 231,,60 and 230,,D,MCQ,"data in 1st segment is from byte number 230 to byte number 289, that is 60 bytes As 1st is lost so, TCP will send ACK for the next in-order segment receiver is expecting. So it will be for 230.",,Computer Networks,Transport Layer,"UDP, TCP, sockets"
17,"A firewall is to be configured to allow hosts in a private network to freely open TCP connections and send packets on open connections. However, it will only allow external hosts to send packets on existing open TCP connections or connections that are being opened (by internal hosts) but not allow them to open TCP connections to hosts in the private network. To achieve this the minimum capability of the firewall should be that of",,A combinational circuit,,A finite automaton,,A pushdown automaton with one stack,,A pushdown automaton with two stacks,,D,MCQ,"A) A combinational circuit => Not possible, because we need memory in Firewall, Combinational ckt has none. B) A finite automaton => We need infinite memory, there is no upper limit on Number of TCP ckt so Not this. C) A pushdown automaton with one stack => Stack is infinite. Suppose we have 2 connections , we have pushed details of those on stack we can not access the details of connection which was pushed first, without popping it off. So Big  NO. D) pushdown automaton with two stacks => This is TM. It can do everything our normal computer can do so Yes. Firewall can be created out of TM.",,Computer Networks,Network Layer,
18,"In the Spiral model of software development, the primary determinant in selecting activities in each iteration is",,Iteration size,,Cost,,Adopted process such as Rational Unified Process or Extreme Programming,,Risk,,D,MCQ,Spiral model is used to discover all risks associated as early as possible.,,,,
19,Which one of these first-order logic formula is valid?,,∀x(P(x) => Q(x)) => (∀xP(x) => ∀xQ(x)),,∃x(P(x) ∨ Q(x)) => (∃xP(x) => ∃xQ(x)),,∃x(P(x) ∧ Q(x)) <=> (∃xP(x) ∧ ∃xQ(x)),,"∀x∃y P(x, y) => ∃y∀x P(x, y)",,A,MCQ,"(A) LHS->RHS LHS: For every x (if P holds then Q holds) RHS: If P(x) holds for all x, then Q(x) holds for all x. (B) LHS !->RHS LHS: An x exist for which either P(x) is true or Q(x) is true. RHS: If an x exist for which P(x) is true then another x exist for which Q(x) is true. (C) It is not necessary that on RHS both x are same. LHS: There exist an x for which both P(x) and Q(x) are true. RHS: There exist an x for which P(x) is true and there exist an x for which Q(x) is true. (D) LHS!->RHS LHS: For every x, there exist a y such that P(x, y) holds. RHS: There exist a y such that for all x P(x, y) holds.",,Engineering Mathematics,Discrete Mathematics,Propositional and first order logic
20,"Exponentiation is a heavily used operation in public key cryptography. Which of the following options is the tightest upper bound on the number of multiplications required to compute b n mod m,0≤b,n≤m ?",,O(logn),,O(√n),,O(n/logn),,O(n),,A,MCQ,"This Problem can be solved using Divide And Conquer Paradigm  Algorithm : Binary_exp(b,n)                            // Compute bn mod m { if(n == 0) Return 1; Else if(n == 1) Return b mod m; Else { Half = Binary_exp(b,n/2); if(n%2 == 0)                                // n is even Return (Half*Half) mod m; Else                                    // n is odd Return (((Half*Half) mod m)*n) mod m; } } Recurrence Relation for computing the time complexity of the above given algorithm is T(n) = T(n/2) + constant = (log2n)",,Computer Networks,Security,Public key cryptography
21,Consider the following two statements: i. A hash function (these are often used for computing digital signatures) is an injective function. A. encryption technique such as DES performs a permutation on the elements of its input alphabet. Which one of the following options is valid for the above two statements?,,Both are false,,Statement (i) is true and the other is false,,Statement (ii) is true and the other is false,,Both are true,,C,MCQ,"Injective Function: A function F(X) is said to be injective if it has one-to-one mapping. Statement 1: Hash function is an injective function Statement 2: DES Encryption technique performs a permutation on the elements of its input alphabet 1) Generally, a hash function H(X) is mapping from a larger set to a predefined output set For example, let H(X) = (X)%5 The above function H(X) is not injective because Let X1 = 10, X2 = 15 H(10) = H(15) = 0 As the output of H(X1) = H(X2) where X1!= X2 => H(X) is many-to-one function. Statement 1 is false. 2) In DES encryption scheme, it performs P-Box permutation. Statement 1 is false, Statement 2 is true.",,Computer Networks,Security,Symmetric key cryptography
22,"Consider n jobs J 1 , J 2 ,......J n such that job J i has execution time t i and a non-negative integer weight w i . The weighted mean completion time of the jobs is defined to be [Tex] \frac{\sum_{i=1}^{n} w_i T_i}{\sum_{i=1}^{n} w_i}[/Tex] , where T i is the completion time of job J i . Assuming that there is only one processor available, in what order must the jobs be executed in order to minimize the weighted mean completion time of the jobs?",,Non-decreasing order of t i,,Non-increasing order of w i,,Non-increasing order of w i t i,,None-increasing order of w i /t i,,D,MCQ,,,Algorithms,Design Techniques,"Greedy, dynamic programming and divide-and-conquer"
23,"A partial order P is defined on the set of natural numbers as follows. Here x/y denotes integer division. i.  (0, 0) ∊ P. ii. (a, b) ∊ P if and only if a % 10 ≤ b % 10 and (a/10, b/10) ∊ P. Consider the following ordered pairs: i.   (101, 22) ii.  (22, 101) iii. (145, 265) iv.  (0, 153) Which of these ordered pairs of natural numbers are contained in P?",,(i) and (iii),,(ii) and (iv),,(i) and (iv),,(iii) and (iv),,D,MCQ,"Let's analyze the partial order P defined on natural numbers based on the given rules: (0,0)∈P, meaning that the pair (0,0) is included in P. For (a,b)∈P, the following conditions must hold: a%10≤b%10 (i.e., the last digit of a is less than or equal to the last digit of b). (a/10,b/10)∈P (this means we apply integer division by 10 and check the condition recursively). Now, let’s check each of the given ordered pairs: 1 .(101,22) Last digits: 101%10=1, 22%10=2. Since 1≤2, we proceed. Now check the next pair (101/10,22/10)=(10,2). Last digits: 10%10=0, 2%10=2. Since 0≤2, we proceed. Now check the next pair (10/10,2/10)=(1,0). Last digits: 1%10=1, 0%10=0. Since [Tex]1 \nleq 0[/Tex] , this pair does not satisfy the condition. Thus, (101,22)∉P. 2 .(22,101) Last digits: 22%10=2, 101%10=1. Since [Tex]2 \nleq 1[/Tex] , the condition fails right at the first check. Thus, (22,101)∉. 3. (145,265) Last digits: 145%10=5, 265%10=5. Since 5≤5, we proceed. Now check the next pair (145/10,265/10)=(14,26). Last digits: 14%10=4, 26%10=6. Since 4≤6, we proceed. Now check the next pair (14/10,26/10)=(1,2). Last digits: 1%10=1, 2%10=2. Since 1≤2, we proceed. Now check the next pair (1/10,2/10)=(0,0). (0,0)∈P by definition. Thus, (145,265)∈P. 4. (0,153) Last digits: 0%10=0, 153%10=3. Since 0≤3, we proceed. Now check the next pair (0/10,153/10)=(0,15). Last digits: 0%10=0, 15%10=5. Since 0≤5, we proceed. Now check the next pair (0/10,15/10)=(0,1). Last digits: 0%10=0, 1%10=1. Since 0≤1, we proceed. Now check the next pair (0/10,1/10)=(0,0). (0,0)∈P by definition. Thus, (0,153)∈P. So, the correct answer is: iii. (145, 265) iv. (0, 153).",,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
24,"In a multi-user operating system on an average, 20 requests are made to use a particular resource per hour. The arrival of requests follows a Poisson distribution. The probability that either one, three or five requests are made in 45 minutes is given by :",,6.9 × 10 6 × e -20,,1.02 × 10 6 × e -20,,6.9 × 10 3 × e -20,,1.02 × 10 3 × e -20,,B,MCQ,"In 1 hr. requests received =20 So in 45 min requests received = 15 So, lemda = 15 So, using poisson distribution formula: P(x; μ) = (e -μ ) (μ x ) / x! p(one request) + p(3 request) + p(5 request) = p(1; 15) + p(3; 15) + p(5; 15) = 6.9 * 10 3 * e -15 = 1.02 × 10 6 × e -20",,Engineering Mathematics,Probability and Statistics,"Uniform, normal, exponential, poisson and binomial distributions"
25,Consider the following clauses:  i. Not inherently suitable for client authentication.  ii. Not a state sensitive protocol.  iii. Must be operated with more than one server.  iv. Suitable for structured message organization.  v. May need two ports on the serve side for proper operation.  The option that has the maximum number of correct matches is,,"IMAP-(i),	 FTP-(ii),	 HTTP-(iii),	 DNS-(iv),	 POP3-(v)",,"FTP-(i),	 POP3-(ii),	 SMTP-(iii),	 HTTP-(iv),	 IMAP-(v)",,"POP3-(i),	 SMTP-(ii),	 DNS-(iii),	 IMAP-(iv),	 HTTP-(v)",,"SMTP-(i),	 HTTP-(ii),	 IMAP-(iii),	 DNS-(iv),	 FTP-(v)",,D,MCQ,"FTP need to open two ports at server, 1 for control information at 21 and another for data.  SMTP- Not suitable for client authentication ,SMTP AUTH an extension is provided for authentication now. HTTP- It doesn’t depend on the state of the device or OS. IMAP- It includes a central server ,hence must have more than one server DNS- Suitable for structured message organization. FTP – needs port 20 and 21 for control and data.",,Computer Networks,Application Layer,"DNS, HTTP, SMTP, FTP, POP"
26,"Consider the following relation schemas : b-Schema = (b-name, b-city, assets) a-Schema = (a-num, b-name, bal) d-Schema = (c-name, a-number) Let branch, account and depositor be respectively instances of the above schemas. Assume that account and depositor relations are much bigger than the branch relation. Consider the following query:  П c-name (σ b-city = ""Agra"" ⋀ bal < 0 (branch ⋈ (account ⋈ depositor)  Which one of the following queries is the most efficient version of the above query ?",,"П c-name (σ bal < 0 (σ b-city = ""Agra"" branch ⋈ account) ⋈ depositor)",,"П c-name (σ b-city = ""Agra"" branch ⋈ (σ bal < 0 account ⋈ depositor))",,"П c-name (σ b-city = ""Agra"" branch ⋈ σ b-city = ""Agra"" ⋀  bal < 0 account) ⋈ depositor)",,"П c-name (σ b-city = ""Agra"" ⋀  bal < 0 account ⋈ depositor))",,A,MCQ,"For better record processing, We should always do select before join to avoid unnecessary tuples being considered for join.(For an SQL query this is not strictly required as DBMS will rearrange the query to make it efficient) and processing a smaller table gives more efficiency than the larger one. option (A) : П c-name (σ bal < 0 (σ b-city = ""Agra"" branch ⋈ account) ⋈ depositor) here we are doing join between relatively smaller table(branch) and larger one(account) and the output that this inner table gives (which is smaller in comparison to joins that we are doing in B) is used for join with depositor table with the selection condition.(same as given query). option (B) : П c-name (σ b-city = ""Agra"" branch ⋈ (σ bal < 0 account ⋈ depositor)) here we are doing a join between two massive table account and depositor with selection condition(for balance less than zero) and the output that this inner table gives is used for join with branch table(relatively smaller table) with the selection condition (for city Agra). (same as given query) so option A and option B both are same as given query but there is difference between record processing as the record processing of option A will get reduced by some rate. (as filtered conditions are applied after the join between one smaller and one larger table which will give relatively smaller table than the join of two larger tables). So, overall option A is much better than option B. option (C) : П c-name ((σ b-city = ""Agra"" branch ⋈ σ b-city = ""Agra"" depositor) Incorrect as there is no b-city column in a-Schema. option (D) : П c-name (σ b-city = ""Agra"" branch ⋈ (σ b-city = ""Agra"" depositor)) Incorrect as there is no b-city column in a-Schema. ⋀ bal < 0 account) ⋈ ⋀ bal < 0 account ⋈ Note: don't miss this sentence ""account and depositor relations are much bigger than the branch relation"" because That makes A the best answer.",,Databases,Data Models,Relational model
27,"Consider the following implications relating to functional and multivalued dependencies given below, which may or may not be correct. i.   If A ↠ B and A ↠ C then A → BC ii.  If A → B and A → C then A ↠ BC iii. If A ↠ BC and A → B then A → C iv.  If A → BC and A → B then A ↠ C Exactly how many of the above implications are valid?",,0,,1,,2,,3,,C,MCQ,,,Databases,Database Design,"Integrity constraints, normal forms"
