Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
11,"Consider the given code and its corresponding assembly code, with a few operands being unknown. Some useful information as well as the semantics of each unique assembly instruction is annotated as inline comments in the code. The memory is byte-addressable. Which one of the following options is a replacement for operands in the position in the above assembly code?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Question_Images/c5554d3b0d1929b7-3tGV7oE4VCf7SUa2aJXnGHoOPPcacN.png,"(8,4,1,L02)",,"(3,4,4,L01)",,"(8,1,1,L02)",,"(3,1,1,L01)",,B,MCQ,"So to understand u1 we must first find out what the register  r5 is storing. If we can check closely the line, L02 it’s fetching an element from array b and storing it in r5 And Line  L04 is storing the value present in array a, so we’re definitely performing the multiplication by  8 in L03 is a shift-left operator. And to multiply by how many bits (in binary) do we need to shift to the left. If we can find out that number, that would be the answer to B Option B is the right answer.",,Computer Organization and Architecture,Instruction Set Architecture,Addressing modes
12,"Consider the pushdown automaton (PDA) P below, which runs on the input alpha-bet {a, b},  has  stack alphabet  {⊥, A},  and  has three states  {s, p, q},  with s  being the start state.  A transition from state u to state v, labelled c/X/γ, where c is an input symbol or ϵ, X is a stack symbol, and γ is a string of stack symbols, represents the fact that in-state u, the PDA can read c from the input, with X on the top of its stack, pop X from the stack, push in the string γ on the stack, and go to state v. In the initial conﬁguration, the stack has only the symbol ⊥ in it. The PDA accepts by the empty stack. img Which one of the following options correctly describes the language accepted by P ?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Question_Images/9759910d195a42a8-2atMcvSjHEzSCRdfEs674uG03sSwYk.png,{ambn| 1<m and n<m},,{a m b n | 0 ≤ n ≤ m},,{ambn | 0 ≤ m and   0 ≤ n},,{am | 0 ≤ m}∪ {bn | 0 ≤ n},,A,MCQ,"The given PDA does not accept the empty string ϵ, so options B, C, and D are eliminated. The empty string is not accepted because starting from the initial state, the stack cannot be emptied when the input tape is empty. The stack bottom symbol ⊥ can only be removed in state q, but with an empty tape, it is impossible to transition to state q from the initial state. Option A is the right answer.",,Theory of Computation,Formal Languages and Automata,Context-free languages and push-down automata
13,"Consider the context-free grammar G below S → aSb | X X → aX | Xb | a | b , where S and X are non-terminals, and a and b are terminal symbols. The starting non-terminal is S. Which one of the following statements is CORRECT?",,The language generated by G is (a + b)∗,,The language generated by G is a∗(a + b)b∗,,The language generated by G is a∗b∗(a + b),,The language generated by G is not a regular language,,B,MCQ,"X → a m (a+b)/(a+b)b p (m≥0,p≥0) After replacing X in the first production we get, S → aSb / a m (a+b)/(a+b)b p . Further reduction we get, S → a n a m (a+b)b n /a n (a+b)b p b n further simplification gives : a∗(a+b)b∗ .",,Theory of Computation,Formal Languages and Automata,Context-free languages and push-down automata
14,"Consider the two functions incr and decr shown below. incr(){	                                     decr(){ wait(s);	                                 wait(s); X = X+1;	                                 X = X-1; signal(s);	                                 signal(s); }                                            } There are 5 threads each invoking incr once, and 3 threads each invoking decor once, on the same shared variable X. The initial value of X is 10. Suppose there are two implementations of the semaphore s, as follows: I-1: s is a binary semaphore initialized to 1. I-2: s is a counting semaphore initialized to 2. Let V1, and V2 be the values of X at the end of the execution of all the threads with implementations I-1, and y I-2, respectively. Which one of the following choices corresponds to the minimum possible values of V1, V2, respectively?",,"15,7",,"7,7",,"12,7",,"12,8",,C,MCQ,"The best response For I-1: Initially, X equals 10, s equals 1 (mutual exclusion), and is in binary semaphore . So, after executing 5 incr(), X becomes 10 + 5 = 15, and after executing 3 decr(), X becomes 15 - 3 = 12. For I-2: Initially, X = 10 and s = 2 (semaphore included). This means that two processes can enter the critical section at the same time. Let's say, the final values of X written by only the right-hand side function in each pass below-",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/eb2e9c9c309d4238-4erUr8PscZUu1DkrATEz0yaOWewvfE.webp,Operating System,Concurrency,Semaphores
15,Consider the control ﬂow graph shown. img Which one of the following choices correctly lists the set of live variables at the exit point of each basic block?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Question_Images/c7a4bd48cdc6523d-xScMW4ChyBabeyqxMtpXiZmRJPmvsJ.png,"B1: {}, B2: {a}, B3: {a}, B4: {a}",,"B1: {i, j}, B2: {a}, B3: {a}, B4: {i}",,"B1: {a, i, j}, B2: {a, i, j}, B3: {a, i}, B4: {a}",,"B1: {a, i, j}, B2: {a, j}, B3: {a, j}, B4: {a, i, j}",,D,MCQ,"For B1 : there are 2 paths at exit of B1. B2, B3, B4: In this path ‘i’, ‘j’ are live as they both are used before modifying. ‘a’ is not live as it is modified in B3 before being used in B4. B2, B4: In this path ‘i’, ‘j’ & ‘a’ all three are live as all these are used before being modified. Thus, set of live variables at exit of B1 is {a, i, j}. For B2: again, there are 2 paths at exit of B2. B3, B4: In this path, only ‘j’ is live because ‘a’ & ‘i’ both are dead as they have been defined before usage in B3 & B4 respectively and ‘j’ is being used before modifying in B2 (we can reach B2 from B4 as there is loop). B4: after B2, there’s a direct path to B4. Here, ‘a’ & ‘j’ are live because they are being used before definition in B4 & B2 respectively and ‘i’ is dead because it is being defined before use in B4. Thus, set of live variables at exit of B2 is {a, j}. For B3: In path B4 B2 B4 or B4 B2 B3, ‘a’ & ‘j’ are live and ‘i’ is dead because ‘i’ is defined before use in B4. Thus, set of live variables at exit of B3 is {a, j}. For B4: liveness analysis is same as for B1 because paths at exit of B4 (B2 B3 B4 & B2 B4) are same for B1 except for EXIT (which doesn’t change the ans). Thus, set of live variables at exit of B4 is {a, i, j}.",,Compiler Design,Optimization,Data flow analysis
16,Consider the following program int main()     int f1(){                int f2(int X){                   int f3(){ {                 return (1);            f3();                             return (5); f1();           }                       if(X==1)                          } f2(2);                                     return f1(); f3();                                   else return(0);                                 return (X+f2(X-1)); }                                        } Which of the following options represents the activation tree corresponding to the main function?,,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Option_A_Images/a46f61fe2f578e40-C1luPgQQWgwVSs2yxlcxVdluysvSaT.webp,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Option_B_Images/103f6e7bb0b96b82-s56KgUb1eo6T75Q3bI3lyjlvqViRDj.webp,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Option_C_Images/4097654e1c92a26a-2Tc0zEfd7VXGBNbefc6U5Ix757pRNd.webp,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Option_D_Images/94bff2436b04bcd9-D1na0mzsWwf88LnrzUJEgDeGQfAJhw.webp,A,MCQ,"The correct sequence of activation tree will be option A Inside the main() function, there are three function calls: f1() , f2() , and f3() . The functions f1() and f3() will execute and return as expected. However, in the case of f2() , it will initially take x = 2 as input and evaluate it. When x = 2 , f2() will invoke f3() and execute the else block of the given code. During the next iteration, when the value of x becomes 1 , f2() will again call f3() but this time execute the if block. After completing these operations, f2() will return.",,Compiler Design,Runtime Environments,Activation records
17,"The integer value printed by the ANSI-C program given below is. #include<stdio.h> int funcp(){ static int x = 1; x++; return x; } int main(){ int x,y; x = funcp(); y = funcp()+x; printf(""%d\n"", (x+y)); return 0; }",,2,,3,,4,,7,,D,MCQ,"when x= funcp () is called first time it will go to the function funcp () where local variable x=1 is defined, increment it and return value 2 to local variable x inside main(). when y= funcp ()+x is called, it will again go to the function funcp (). Since x is a static variable here so new value of x is 2 itself. Increment it and return 3. So, y= funcp ()+x became y=3+2=5. ∴x=2, y=5 print(x+y) = 5+2 = 7 the correct answer is 7.",,Programming and Data Structures,Programming in C,Variables and scope
18,"A keyboard connected to a computer is used at a rate of 1 keystroke per second. The computer system polls the keyboard every 10 ms (milliseconds) to check for a keystroke and consumes 100 μs (microseconds) for each poll. If it is determined after polling that a key has been pressed, the system consumes an additional 200 μs to process the keystroke. Let T1 denote the fraction of a second spent in polling and processing a keystroke. In an alternative implementation,  the system uses interrupts instead of polling. An interrupt is raised for every keystroke. It takes a total of 1 ms for servicing an interrupt and processing a keystroke. Let T2 denote the fraction of a second spent in servicing the interrupt and processing a keystroke. T1 The ratio T1/T2 is (Rounded oﬀ to one decimal place)",,5.1,,0.0001,,0.005,,10.2,,D,MCQ,"To calculate the ratio T1/T2, we need to first determine the time spent on polling and processing a keystroke (T1) and the time spent on servicing an interrupt and processing a keystroke (T2) in seconds. For the polling implementation (T1): 1. Time spent on each poll: 10 ms = 0.01 seconds 2. Time spent on processing a keystroke after polling: 200 μs = 0.0002 seconds 3. Total time spent on polling and processing a keystroke (T1) per keystroke: T1 = Time spent on each poll + Time spent on processing a keystroke after polling T1 = 0.01 seconds + 0.0002 seconds T1 = 0.0102 seconds For the interrupt implementation (T2): 1. Time spent on servicing an interrupt and processing a keystroke: 1 ms = 0.001 seconds 2. Total time spent on servicing an interrupt and processing a keystroke (T2) per keystroke: T2 = 0.001 seconds Now, let's calculate the ratio T1/T2: T1/T2 = (0.0102 seconds) / (0.001 seconds) = 10.2 Rounded off to one decimal place, the ratio T1/T2 is approximately 10.2.",,Computer Organization and Architecture,I/O,Interrupts and DMA
19,"Consider a random experiment where two fair coins are tossed. Let A be the event that denotes HEAD on both the throws, B be the event that denotes HEAD on the ﬁrst throw, and C be the event that denotes HEAD on the second throw. Which of the following statements is/are TRUE?",,A and B are independent.,,A and C are independent.,,B and C are independent.,,Prob(B|C) = Prob(B),,D,MCQ,"Let's consider the sample space S for two coin tosses, where H represents a HEAD, and T represents a TAIL. Sample space S = {HH, HT, TH, TT} Event A: HEAD on both throws = {HH} Event B: HEAD on the first throw = {HH, HT} Event C: HEAD on the second throw = {HH, TH} Now, let's calculate the probabilities for each event: Prob(A) = Number of outcomes in A / Total outcomes = 1/4 = 0.25 Prob(B) = Number of outcomes in B / Total outcomes = 2/4 = 0.5 Prob(C) = Number of outcomes in C / Total outcomes = 2/4 = 0.5 Now,  determine if A and B are independent: Events A and B are independent if Prob(A ∩ B) = Prob(A) * Prob(B). Prob(A ∩ B) = Prob(HEAD on both throws and HEAD on the first throw) = Prob({HH}) = 1/4 = 0.25 Prob(A) * Prob(B) = 0.25 * 0.5 = 0.125 Since Prob(A ∩ B) ≠ Prob(A) * Prob(B), A and B are not independent. Next,  determine if A and C are independent: Events A and C are independent if Prob(A ∩ C) = Prob(A) * Prob(C). Prob(A ∩ C) = Prob(HEAD on both throws and HEAD on the second throw) = Prob({HH}) = 1/4 = 0.25 Prob(A) * Prob(C) = 0.25 * 0.5 = 0.125 Since Prob(A ∩ C) ≠ Prob(A) * Prob(C), A and C are not independent. Finally, determine if B and C are independent: Events B and C are independent if Prob(B ∩ C) = Prob(B) * Prob(C). Prob(B ∩ C) = Prob(HEAD on the first throw and HEAD on the second throw) = Prob({HH}) = 1/4 = 0.25 Prob(B) * Prob(C) = 0.5 * 0.5 = 0.25 Since Prob(B ∩ C) = Prob(B) * Prob(C), B and C are independent.",,Engineering Mathematics,Probability and Statistics,Conditional Probability
20,"Consider functions Function 1 and Function 2 expressed in pseudocode as follows: Function 1	                                      Function 2 while n > 1 do	                                  for i = 1 to 100 ∗ n do for i=1 to n do x=x+1                                             x = x + 1; end for                                           end for n = [n/2]; end while Let f1(n) and f2(n) denote the number of times the statement “x = x + 1” is executed in Function 1 and Function 2, respectively. Which of the following statements is/are TRUE?",,f1(n) ∈ Θ(f2(n)),,f1(n) ∈ o(f2(n)),,f1(n) ∈ ω(f2(n)),,f1(n) ∈ O(n),,D,MCQ,In Function 1 it will run for =>n+n/2+n/4+n/8+........1 =>n(1+1/2+1/4+1/8+....) =>n In the function2 it will run for only n times as we can se that it is simple for loop so both are asymptotically equal,,Algorithms,Complexity Analysis,Asymptotic analysis
21,"Let G be a simple, ﬁnite, undirected graph with vertex set {v1,..., vn}. Let Δ(G) denote the maximum degree of G and let N = {1, 2,.. .} denote the set of all possible colors. Color the vertices of G using the following greedy strategy: for i = 1,...,n color(vi) ← min{j ∈ N : no neighbor of vi is colored j} Which of the following statements is/are TRUE?",,This procedure results in a proper vertex coloring of G.,,The number of colors used is at most Δ(G)+ 1.,,The number of colors used is at most Δ(G).,,The number of colors used is equal to the chromatic number of G.,,B,MCQ,"A. This procedure results in a proper vertex coloring of G. A proper vertex coloring is a coloring of the graph such that no two adjacent vertices have the same color. The greedy coloring strategy ensures that each vertex is assigned the smallest possible color that is not already used by its neighbors. Therefore, this procedure does result in a proper vertex coloring of G. B. The number of colors used is at most Δ(G) + 1. Since the graph G is finite and simple, the maximum degree Δ(G) represents the highest number of neighbors any vertex can have. In the worst-case scenario, when all neighbors of a vertex have distinct colors, the vertex itself will need one additional color not used by its neighbors. Therefore, the number of colors used by this procedure is at most Δ(G) + 1. C. The number of colors used is at most Δ(G). As explained in statement B, the number of colors used can be at most Δ(G) + 1. However, it is not guaranteed that the extra color (Δ(G) + 1) is always used. In some cases, it might be possible to achieve a proper vertex coloring with just Δ(G) colors if the extra color is not needed. D. The number of colors used is equal to the chromatic number of G. The chromatic number of a graph is the minimum number of colors needed to properly color the graph. The greedy coloring procedure described here does not necessarily guarantee that it achieves the chromatic number of G. In some cases, it might use more colors than the chromatic number, especially if the graph has certain special structures. Now, let's summarize the correctness of each statement: A. True - The procedure results in a proper vertex coloring of G. B. True - The number of colors used is at most Δ(G) + 1. C. False - The number of colors used can be at most Δ(G) + 1, and it is not always equal to Δ(G). D. False - The number of colors used is not guaranteed to be equal to the chromatic number of G. Correct Statements: A and B.",,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
22,"Let U = {1, 2, 3}. Let 2U denote the powerset of U . Consider an undirected graph G whose vertex set is 2U. For any A, B ∈ 2U, (A, B) is an edge in G if and only if (i) A /= B,  and (ii) either A Ç B or B Ç A.  For any vertex A in G,  the set of all possible orderings in which the vertices of G can be visited in a Breadth First Search (BFS) starting from A is denoted by B(A). If ∅ denotes the empty set, then the cardinality of B(∅) is _______________",,5040,,2560,,1247,,3698,,A,MCQ,"In the question it is that U = {1,2,3} → |U| = 3 → Vertex set = {∅,{1},{2},{3},{1,2},{1,3},{2,3},{1,2,3}} and cardinality is 8. And also there is an edge between A and B vertices iff either of the vertex set is a proper subset to another vertex. As we know ∅ is proper subset to every other set in the vertex set except itself. That shows that , ∅ is connected with 7 vertices directly, these 7 vertices can be visited in any order in BFS. Therefore number of BFS orders = 7!  = 5040.",,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
