Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
11,"A function y(x) is defined in the interval [0, 1] on the 𝑥-axis as : Which one of the following is the area under the curve for the interval [0, 1] on the 𝑥-axis?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/af27d57653943581-Hs7JmroOOl4P1BGaLCVeHHeIKFZpak.png,[Tex]\frac {5}{6}[/Tex],,[Tex]\frac {6}{5}[/Tex],,[Tex]\frac {13}{6}[/Tex],,[Tex]\frac {6}{13}[/Tex],,C,MCQ,The area under the curve [Tex]= \int_{0}^{1} f(x) dx[/Tex] [Tex]= \int_{0}^{\frac{1}{3}} 2 dx + \int_{\frac{1}{3}}^{\frac{3}{4}} 3 dx + \int_{\frac{3}{4}}^{1} 1 dx[/Tex] [Tex]= 2 \times \left [ \frac{1}{3} -0 \right ] + 3 \times \left [ \frac{3}{4} -\frac{1}{3} \right ] + 1 \times \left [1- \frac{3}{4}\right ][/Tex] [Tex]= \frac{2}{3} + \frac{5}{4} + \frac{1}{4}[/Tex] [Tex]= \frac{26}{12}[/Tex] [Tex]=  \frac{13}{6}[/Tex] Alternate solution: Draw the graph and calculate the area under the graph (sum of areas of 3 rectangles).,,Engineering Mathematics,Calculus,Integration
12,Use the most appropriate words to fill the blanks. The _________ is too high for it to be considered _________.,,fair / fare,,faer / fair,,fare / fare,,fare / fair,,D,MCQ,"Fare means the amount or charge you have to pay for any service, and Fair meaning is appropriate or acceptable in a particular situation. So, in the above sentence fare/ fair is the correct option. The sentence will become, The fare is too high to be considered fair, means The charge/amount is too high to be considered appropriate.",,,,
13,"A box contains five balls of same size and shape. Three of them are green coloured balls and two of them are orange coloured balls. Balls are drawn from the box one at a time. If a green ball is drawn, it is not replaced. If an orange ball is drawn, it is replaced with another orange ball. First ball is drawn. What is the probability of getting an orange ball in the next draw?",,[Tex]\frac{1}{2}[/Tex],,[Tex]\frac{8}{25}[/Tex],,[Tex]\frac{19}{50}[/Tex],,[Tex]\frac{23}{50}[/Tex],,D,MCQ,"We have a box with 5 balls in total, three of which are green and two of which are orange. The chance of obtaining an orange ball in the second draw must be calculated. So, for the first ball drawn, there will be two scenarios. Green or orange might be used for the first ball. Case 1: If the first ball drawn is green, we will only have four balls in the box instead of five if we get the orange ball in the second draw. 3/5 * 2/4 = 3/10 Case 2: If the first ball drawn is orange, we will be left with just 5 balls in the second draw since the orange ball will be replaced with a new orange ball. 2/5 * 25 = 4/25 Now, the probability of getting the orange ball in the 2nd draw will be 3/10 + 4/25 = (15+8)/50 = 23/50",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/f5c8f5acc9922f66-BNPBzEKc9mx34LS7kSZkIlxvrZPUCi.PNG,Engineering Mathematics,Probability and Statistics,Conditional Probability
14,Let r be a root of the equation x 2 + 2x + 6 = 0. Then the value of the expression (r+2) (r+3)(r+4)(r+5) is,,51,,-51,,126,,-126,,D,MCQ,"r is a root of the quadratic eqution x 2 +2x+6=0 x 2 + 2x +6 =0 So, r 2 + 2r +6 =0 = (r+2)(r+3)(r+4)(r+5) = [Tex](r^{2} + 5r +6)(r^{2} + 9r +20)[/Tex] =(r 2 +2r+6+3r)(r 2 +2r+6+7r+14) = (3r)(7r+14) = [Tex]21 (r^{2} + 2)[/Tex] =-126",,Engineering Mathematics,Discrete Mathematics,Algebraic Structures
15,"Given below are four statements. Statement 1: All students are inquisitive. Statement 2: Some students are inquisitive. Statement 3: No student is inquisitive. Statement 4: Some students are not inquisitive. From the given four statements, find the two statements that CANNOT BE TRUE simultaneously, assuming that there is at least one student in the class.",,Statement 1 and Statement 3,,Statement 1 and Statement 2,,Statement 2 and Statement 4,,Statement 3 and Statement 4,,A,MCQ,"The following statements can be easily understood with the Venn diagram Statement 1: All students are inquisitive. Statement 2: Some students are inquisitive. Statement 3: No student is inquisitive. Statement 4: Some students are not inquisitive. From the above diagram, it is clear that Statement 1 and Statement 3 are conflicting statements and both cannot be true at a time.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/ab5a748cc8292a70-koweJdFfBADi99ajHdtbJX3eb2R4yO.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/15634767014ba60f-QsTvaCDkk8qAuQ4j8rFqqLNkvmqAEH.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/c4b91f495f489cc3-uUhZ2By9TCmlodEKoNZjLlsLSo4dkS.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/ac7cc574ec223bb7-sJp38G5BHR0w9F06vH6EAkCvuAJ8CK.png",Engineering Mathematics,Discrete Mathematics,Logic
16,"A palindrome is a word that reads the same forwards and backward. In a game of words, a player has the following two plates painted with letters. From the additional plates given in the options, which one of the combinations of additional plates would allow the player to construct a five-letter palindrome. The player should use all the five plates exactly once. The plates can be rotated",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/607afc3682fb45a3-RIf1WpZatbik4cnyWbjGlLwcFrE3Si.png,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Option_A_Images/6733e18c5bb59cfa-7QtVsClZ8qdZToaroLnWRSAL2CvFJC.png,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Option_B_Images/6d432fb12d188ba7-gm5hGvDFlD194QILY2YbGGP3ppAZFh.png,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Option_C_Images/357d9b6e9da7f147-9I5ldP8TUFEMDvxgbuuqgs4LpQ1DW9.png,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Option_D_Images/dd66d0f661d3d7e6-QmAZZeTzezGq35ZrgQRCCB2cqWygu7.png,B,MCQ,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/6e5b41bebcf43db5-DkZVZ6NVTd7rm3C4Fa9L1jKzkxm3WS.png,,,
17,"Some people believe that “what gets measured, improves”. Some others believe that “what gets measured, gets gamed”. One possible reason for the difference in beliefs is the work culture in organizations. In organizations with good work culture, metrics help improve outcomes. However, the same metrics are counterproductive in organizations with the poor work cultures. Which one of the following is the CORRECT logical inference based on the information in the above passage?",,Metrics are useful in organizations with poor work culture,,Metrics are useful in organizations with good work culture,,Metrics are always counterproductive in organizations with good work culture,,Metrics are never useful in organizations with good work culture,,B,MCQ,"The second statement of the passage states that ‘In organizations with good work culture, metrics help improve outcomes.’ As a result, we can confidently assert that metrics are beneficial in firms with the positive work culture. As a result, option B is right.",,,,
18,"In a recently conducted national entrance test, boys constituted 65% of those who appeared for the test. Girls constituted the remaining candidates and they accounted for 60% of the qualified candidates. Which one of the following is the correct logical inference based on the information provided in the above passage?",,Equal number of boys and girls qualified,,Equal number of boys and girls appeared for the test,,The number of boys who appeared for the test is less than the number of girls who appeared,,The number of boys who qualified for the test is less than the number of girls who qualified,,D,MCQ,"Let us consider the total number of students who sat for the national entrance test to be 100. No of boys who appeared for the test = 65 No of girls who appeared for the test = 100 - 65 = 35 Given the fact that 60% of qualifying students are female. From this, it is evident that guys account for 40% of the qualifying students, implying that the number of boys who passed the test is lower than the number of girls who passed. (OR) If we solve it numerically then, Girls qualified = 60% = ⅗ So, no of girls qualified = 35 * ⅗ = 21 So, now when 3 => 21 Then, 5 => (21/3)*5 = 35 Hence the total number of students qualified is 35. No of boys qualified = 35 - 21 = 14",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/da57a3e8620781fb-fVcBZZtsGIPw5yCeyWWgVOMm0GPaEl.png,,,
19,"The corners and mid-points of the sides of a triangle are named using the distinct letters P, Q, R, S, T, and U, but not necessarily in the same order. Consider the following statements: The line joining P and R is parallel to the line joining Q and S. P is placed on the side opposite to corner T. S and U cannot be placed on the same side. Which one of the following statements is correct based on the above information?",,P cannot be placed at a corner,,S cannot be placed at a corner,,U cannot be placed at a mid-point,,R cannot be placed at a corner,,B,MCQ,"We need to draw the diagram based on the given conditions in the question. Now we can observe the second stated condition, which states that P is on the side opposite to corner T. This means that if we consider T at any corner point, P will be on the other side. Similarly, if we examine the first condition, which states that P and R are parallel to Q and S, we can see that S cannot be on any of the corners when analyzed with the use of a diagram. Also, we need to check the third condition before confirming option B.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/32cc705fc40c724e-iX9wHYhMWL7ssCdxjimCjVUUzJcBpC.png,,,
20,"A plot of land must be divided between four families. They want their individual plots to be similar in shape, not necessarily equal in area. The land has equally spaced poles, marked as dots in the below figure. Two ropes, R1 and R2, are already present and cannot be moved. What is the least number of additional straight ropes needed to create the desired plots? A single rope can pass through three poles that are aligned in a straight line.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/d1607160bc635cdf-QvOfneH166JN0TBa4fbCuTqQP2pjLF.jpg,2,,4,,5,,3,,D,MCQ,It is clear that 3 lines can divide the plot into similar shapes.,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/8383f14bddd054af-asRuSPFvMUTrHPEkwsN7mp57G9jxMf.jpg,,,
21,"Consider the following two statements with respect to the matrices A m×n , B n×m , C n×n and  D n×n Statement 1: tr(AB) = tr(BA) Statement 2: tr(CD) = tr(DC) where tr() represents the trace of a matrix. Which one of the following holds?",,Statement 1 is correct and Statement 2 is wrong.,,Statement 1 is wrong and Statement 2 is correct.,,Both Statement 1 and Statement 2 are correct.,,Both Statement 1 and Statement 2 are wrong.,,C,MCQ,"To compute the trace of AB, we focus on the sum of the diagonal elements of AB: Similarly, for BA, the trace is the sum of the diagonal elements: Now, there is a key property in matrix theory known as the cyclic property of the trace , which states that for matrices A and B where the products AB and BA are defined (i.e., the dimensions match), the trace is invariant under cyclic permutations of the matrices. So, option C is the correct answer.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/1c700de9e73ec4ee-YLvyIx5WfTd3SVbDVFzMvisTOFXxS2.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/c3f79501e4a41edf-DJSnegMKGsl7fYrzDSWsAVGzt3kb3m.png",Engineering Mathematics,Linear Algebra,Matrices
22,"Consider an enterprise network with two Ethernet segments, a web server and a firewall, connected via three routers as shown below. What is the number of subnets inside the enterprise network?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/7675f35737ae65dd-vMMPCjdfI11H9nNV5l6pUNmOBqX3wp.jpg,3,,12,,6,,8,,C,MCQ,"Router’s entry in routing table for each interface = 1 Each interface out of a router = 1 subnet So, here 2 + 3 + 2 = 7 but 1 is common for router to router so, 7 - 1 = 6 Option, C is the correct answer.",,Computer Networks,Network Layer,IP addressing
23,"Consider a network with three routers P, Q, R shown in the figure below. All the links have cost of unity The routers exchange distance vector routing information and have converged on the routing tables, after which the link Q−R fails. Assume that P and Q send out routing updates at random times, each at the same average rate. The probability of a routing loop formation (rounded off to one decimal place) between P and Q, leading to count-to-infinity problem, is___________.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/79e33e3301ed5d43-oDJenrJ6Ghe2YRFvDCdxGcIIJ9vQ2o.JPG,1,,3,,2,,0,,A,MCQ,"P and Q are sending routing updates at the same average rate. During a specific time period, there are two possible scenarios: Q sends an update to P first : In this case, P calculates the value of R correctly, and the count-to-infinity problem does not occur. P sends an update to Q first : Here, Q assumes that P has a valid route to R, leading to the count-to-infinity problem. Since the link between Q and R is broken, R does not send updates to anyone. Out of the two equally likely scenarios, only one results in the count-to-infinity problem . Therefore, the probability of the count-to-infinity problem occurring is 1/2 = 0.5",,Computer Networks,Network Layer,Routing protocols
24,"Consider the following grammar along with translation rules Here # and % are operators and id is a token that represents an integer and id. val represents the corresponding integer value. The set of non-terminals is {S, T, R, P} and a subscripted non-terminal indicates an instance of the non-terminal. Using this translation scheme, the computed value of S.val for root of the parse tree for the expression 20#10%5#8%2%2 is _____________.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/7f24645edb414403-Ms7RkPAZTjErjZmd4cuuOEJARibg4n.JPG,60,,55,,75,,80,,D,MCQ,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/b8cc32422180600c-ITtOOZOJaMmI3DHOtnPVb8MB81cK76.jpg,Compiler Design,Phases of Compilation,Semantic analysis
25,"Consider a demand paging system with four-page frames (initially empty) and an LRU page replacement policy. For the following page reference string 7, 2,7,3, 2,5,3, 4,6,7,7,1,5,6,1 the page fault rate, defined as the ratio of number of page faults to the number of memory accesses (rounded off to one decimal place) is_________.",,1.5,,0.5,,0.6,,0.8,,C,MCQ,"Total page fault=9 Total access=15 thus, page fault rate =9/15=0.6 Least recently used - Page replacement algorithm.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/5ae9915b4897cc86-rdjdtzIDIXt5GJddFdl5yeoA223tue.webp,Operating System,Memory Management,Virtual memory
26,"Consider two files systems A and B , that use contiguous allocation and linked allocation, respectively. A file of size 100 blocks is already stored in A and also in B. Now, consider inserting a new block in the middle of the file (between 50th and 51st block), whose data is already available in the memory. Assume that there are enough free blocks at the end of the file and that the file control blocks are already in memory. Let the number of disk accesses required to insert a block in the middle of the file in A and B are n A and n B respectively, then the value of n A + n B is_________.",,189,,236,,153,,323,,C,MCQ,"Contiguous Allocation can directly traverse to the 50th element as it is already given the file control blocks is already present. Now, we need 50 operations to read the rest of the 50 elements and another 50 operations to write those 50 blocks and 1 operation is needed to write the new block. Therefore, total operations in this case = 50 + 50 + 1 Linked Allocation Linked Allocation needs to traverse to the 50th element. Now, simply change the pointers just like the Linked list where Adding element in the middle of it. So, here it takes 50 operations to read the first 50 elements and 2 operations to change the pointer of the 50th block and a new block. So, 52 operations in this case. Therefore, nA = 101, and nB = 52. nA + nB = 101+52 = 153",,Operating System,File Systems,File allocation methods
27,"Consider the data transfer using TCP over a 1 Gbps link. Assuming that the maximum segment lifetime (MSL) is set to 60 seconds, the minimum number of bits required for the sequence number field of the TCP header, to prevent the sequence number space from wrapping around during the MSL is____________.",,27.8,,48.0,,33.0,,35.0,,C,MCQ,"Given that Bandwidth = 1Gbps = ⅛ * 10 9 bps . In 60 seconds No of bytes to be transferred = 60*⅛ *10 9 , i.e. 7.5*10 9 Bytes So, TCP will generate 7.5*10 9 Sequence numbers within 60 seconds. To generate 7.5*10 9 unique sequence no. we need ceil(log(7.5*10 9 ))=ceil(32.8) = 33 bits in the sequence no. field",,Computer Networks,Transport Layer,TCP/UDP
28,"Consider a 100 Mbps link between an earth station (sender) and a satellite (receiver) at an altitude of 2100 km. The signal propagates at a speed of 3x10 8 m/s. The time taken (in milliseconds, rounded off to two decimal places) for the receiver to completely receive a packet of 1000 bytes transmitted by the sender is_________.",,3.95,,5.09,,7.08,,9.65,,C,MCQ,"The time required for the receiver to receive the packet is transmission time (Tt)+ propagation time (Tp) , i.e. Tt + Tp . Tt = 1000*8 bits/10 8 bps = 0.08 ms Tp = 2100*1000m / 3*10 8 m = 7*10 5 /10 8 = 7ms hence, total time required = 7.08 ms",,Computer Networks,Network Models,Delay models
29,"Let G (V, E) be a directed graph, where V = {1, 2, 3, 4, 5} is the set of vertices and E is the set of directed edges, as defined by the following adjacency matrix A. [Tex]A[i][j]= \left\{\begin{matrix} 1,& 1\leq j\leq i\leq 5 \\ 0,& otherwise \end{matrix}\right.[/Tex]",,18,,24,,12,,36,,B,MCQ,"When we consider a graph of two elements, we get only 1 possible MST (2->1) When we consider a graph of three elements, we get 2 possible MSTs (3->1, 3->2 or 2->1, 3->2) Similarly, When we consider a graph of four elements, we get only 3*2*1 possible MST s Similarly, When we consider a graph of five elements, we get only 4*3*2*1=24 possible MST s ​5->4 = 1 way 5->3 = 2 ways 5->2 = 3 ways 5->1 = 4 ways Therefore, directed spanning tree rooted at vertex 5 is 4*3*2*1=24",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/5615c74980777051-upLjTOi02FTjWe2jFg94giU8ZW0nGN.png,Engineering Mathematics,Discrete Mathematics,Graph Theory
30,"Consider the following three relations in a relational database. Employee ( eId, Name ), Brand ( bId , bName), Own ( eId, bId ) Which of the following relational algebra expressions return the set of eIds who own all the brands?",,"[Tex]\pi_{eid} (\frac{\pi_{eid, bid}(Own)}{\pi_{bid}(Brand)})[/Tex]",,"[Tex]\pi_{eid}(Own) - \pi_{eid}((\pi_{eid}(Own)\times \pi_{bid}(Brand))- \pi_{eid, bid}(Own))[/Tex]",,"[Tex]\pi_{eid} (\frac{\pi_{eid, bid}(Own)}{\pi_{bid}(Own)})[/Tex]",,[Tex]\pi_{eid}\frac{((\pi_{eid}(Own)\times\pi_{bid}(Own))}{\pi_{bid}(Brand)}[/Tex],,B,MCQ,"Option A and Option B are the relational algebra expressions that results eid’s which owns every brand of brand relation. Option A - It is simply a division operation. Division in SQL is typically required when you want to find out entities that are interacting with all entities of a set of different types of entities. Option B- In the first step, a cross product is performed between the eid (employee ID) from the Own table and the bid (brand ID) from the BRAND table, which results in all possible combinations of eid and bid . Next, a set difference operation is applied between the pairings of eid and bid in the Own table, which helps identify the employees who do not own every brand. Finally, another set difference is carried out using the eid values from the Own table, revealing the employees who are associated with all brand IDs (i.e., employees who own every brand).",,Databases,Data Models,Relational model (queries)
31,"Consider the relational database with the following four schemas and their respective instances. Student(sNo, sName, dNo) Dept(dNo, dName) Course(cNo, cName, dNo) Register(sNo, cNo) SQL Query: SELECT * FROM Student AS S WHERE NOT EXIST (SELECT cNo FROM Course WHERE dNo = “D01” EXCEPT SELECT cNo FROM Register WHERE sNo = S.sNo) The number of rows returned by the above SQL query is___________.",https://media.geeksforgeeks.org/wp-content/uploads/20220309175219/ques56-660x257.JPG,4,,3,,2,,0,,C,MCQ,"The given query is correlated, therefore, for every value of S.sno, we will be running the inner query. Inner query will have {C11, C12} EXCEPT {C11, C12} = empty relation for sno = S01. As a consequence, clauses that are not non-existing will return true, and the tuple tih sno = S01 will be added to the resulting relation. Similarly for sno = S02, Inner query will have {C11, C12} EXCEPT {C11} = {C12} The non-existing clause will return false, and the resulting relationship will not include it. We'll look for other issues in the same way. This query will return tuples that are enrolled in all of department D01's courses. This query will return tuples that are enrolled in all the courses offered by department D01. Thus, there will be 2 tuples in the resultant relation: sno sname dno S01 James D01 S04 Jane D01 Hence, the correct answer is 2.",,Databases,Data Models,Relational model (queries)
