Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
11,"Let a and b be two sorted arrays containing n integers each, in non-decreasing order. Let c be a sorted array containing 2n integers obtained by merging the two arrays a and b. Assuming the arrays are indexed starting from 0, consider the following four statements a[i] ≥ b [i] => c[2i] ≥ a [i] a[i] ≥ b [i] => c[2i] ≥ b [i] a[i] ≥ b [i] => c[2i] ≤ a [i] a[i] ≥ b [i] => c[2i] ≤ b [i] Which of the following is TRUE?",,only I and II,,only I and IV,,only II and III,,only III and IV,,C,MCQ,,,Algorithms,Basic Techniques,"Searching, sorting, hashing"
12,"A two-way switch has three terminals a, b and c. In ON position (logic value 1), a is connected to b, and in OFF position, a is connected to c. Two of these two-way switches S1 and S2 are connected to a bulb as shown below. Which of the following expressions, if true, will always result in the lighting of the bulb ?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Question_Images/bffa1d56330c15cf-w5lofRflgBfDLqYt5hRfMeeStHxwZm.png,S1.S2',,S1+S2,,(S1⊕S2)',,S1⊕S2,,C,MCQ,"If we draw truth table of the above circuit,it'll be S1     S2    Bulb 0         0       On 0         1        Off 1         0        Off 1          1         On = (S1⊕ S2)' Therefore answer is C",,Digital Logic,Combinational and sequential circuits,
13,Q81 Part_A A disk has 8 equidistant tracks. The diameters of the innermost and outermost tracks are 1 cm and 8 cm respectively. The innermost track has a storage capacity of 10 MB.  What is the total amount of data that can be stored on the disk if it is used with a drive that rotates it with (i) Constant Linear Velocity (ii) Constant Angular Velocity?,,(i) 80 MB (ii) 2040 MB,,(i) 2040 MB (ii) 80 MB,,(i) 80 MB (ii) 360 MB,,(i) 360 MB (ii) 80 MB,,D,MCQ,"Constant linear velocity : Diameter of inner track = d = 1cm Circumference of inner track : = 2 * 3.14 * (d/2) = 3.14 cm Storage capacity = 10 MB  (given) Circumference of all equidistant tracks :  = 2 * 3.14 *(0.5 + 1 + 1.5 + 2 + 2.5 + 3+ 3.5 + 4)  = 113.14cm Here, 3.14 cm holds 10 MB. Therefore, 1 cm holds 3.18 MB. 113.14 cm holds 113.14 * 3.18 = 360 MB. Total amount of data that can be stored on the disk = 360 MB Constant angular velocity : In case of CAV, the disk rotates at a constant angular speed. Same rotation time is taken by all the tracks.  Total amount of data that can be stored on the disk = 8 * 10 = 80 MB Thus, option (D) is correct.",,Computer Organization and Architecture,Memory Hierarchy,"Cache, main memory and secondary storage"
14,Consider a 2-way set associative cache memory with 4 sets and total 8 cache blocks (0-7) and a main memory with 128 blocks (0-127). What memory blocks will be present in the cache after the following sequence of memory block references if LRU policy is used for cache block replacement. Assuming that initially the cache did not have any memory block from the current job? 0 5 3 9 7 0 16 55,,0 3 5 7 16 55,,0 3 5 7 9 16 55,,0 5 7 9 16 55,,3 5 7 9 16 55,,C,MCQ,"2-way set associative cache memory, .i.e K = 2. No of sets is given as 4, i.e. S = 4 ( numbered 0 - 3 ) No of blocks in cache memory is given as 8, i.e. N =8 ( numbered from 0 -7) Each set in cache memory contains 2 blocks. The number of blocks in the main memory is 128, i.e  M = 128.  ( numbered from 0 -127) A referred block numbered X of the main memory is placed in the set numbered ( X mod S ) of the cache memory. In that set, the block can be placed at any location, but if the set has already become full, then the current referred block of the main memory should replace a block in that set according to some replacement policy. Here the replacement policy is LRU ( i.e. Least Recently Used block should be replaced with currently referred block). X ( Referred block no ) and the corresponding Set values are as follows: X-->set no ( X mod 4 ) 0--->0   ( block 0 is placed in set 0, set 0 has 2 empty block locations, block 0 is placed in any one of them  ) 5--->1   ( block 5 is placed in set 1, set 1 has 2 empty block locations, block 5 is placed in any one of them  ) 3--->3  ( block 3 is placed in set 3, set 3 has 2 empty block locations, block 3 is placed in any one of them  ) 9--->1  ( block 9 is placed in set 1, set 1 has currently 1 empty block location, block 9 is placed in that, now set 1 is full, and block 5 is the least recently used block  ) 7--->3  ( block 7 is placed in set 3, set 3 has 1 empty block location, block 7 is placed in that, set 3 is full now, and block 3 is the least recently used block) 0--->block 0 is referred again, and it is present in the cache memory in set 0, so no need to put again this block into the cache memory. 16--->0  ( block 16 is placed in set 0, set 0 has 1 empty block location, block 0 is placed in that, set 0 is full now, and block 0 is the LRU one) 55--->3 ( block 55 should be placed in set 3, but set 3 is full with block 3 and 7, hence need to replace one block with block 55, as block 3 is the least recently used block in the set 3, it is replaced with block 55. Hence the main memory blocks present in the cache memory are : 0, 5, 7, 9, 16, 55 . ( Note : block 3 is not present in the cache memory, it was replaced with block 55 )   Read the following articles to learn more related to the above question: Cache Memory Cache Organization | Introduction",,Computer Organization and Architecture,Memory Hierarchy,"Cache, main memory and secondary storage"
15,"What is the output printed by the following program? C #include <stdio.h> int f ( int n , int k ) { if ( n == 0 ) return 0 ; else if ( n % 2 ) return f ( n / 2 , 2 * k ) + k ; else return f ( n / 2 , 2 * k ) - k ; } int main () { printf ( ""%d"" , f ( 20 , 1 )); return 0 ; }",,5,,8,,9,,20,,C,MCQ,"f(20,1) = 9. f(10,2) - 1 = 9 f(5,4) - 2 = 10 f(2,8) + 4 = 12 f(1,16) - 8 = 8 f(0,32) + 16 = 16",,Programming and Data Structures,Recursion,
16,What is the value of,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Question_Images/183704d47bd4b053-2SKS2m8PhNSt0ZgKF1xzoPPQmwF5ju.png,-1,,1,,0,,π,,B,MCQ,"In the above  integral f(x) = (x- π)^3 (sinx) f(2π - x) = (2π - x - π)^3 (sinx) = (π - x )^3 (sinx) =  -( x - π  )^3 (sinx) =-f(x) so ,  ∫ (x- π)^3 (sinx) dx =1 since , ∫f(x)dx= 1 whenever f(2π - x)  = -f(x) hence option B is correct",,Engineering Mathematics,Calculus,Integration
17,"In a depth-first traversal of a graph G with n vertices, k edges are marked as tree edges. The number of connected components in G is",,k,,k + 1,,n - k - 1,,n - k,,D,MCQ,"Tree edges are the edges that are part of DFS tree.  If there are x tree edges in a tree, then  x+1 vertices in the tree. The output of DFS is a forest if the graph is disconnected.  Let us see below simple example where graph is disconnected. The above example matches with D option More Examples: 1) All vertices  of Graph are connected.  k must be n-1.  We get number of connected components  = n- k =  n - (n-1) = 1 2) No vertex is connected. k must be 0.  We get number of connected components  = n- k =  n - 0 = n",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Explanation_Images/f0f752a7b6ab3d11-b8n6tCaDDS4rqgP71P0bOGiFoIZhKA.png,Engineering Mathematics,Discrete Mathematics,Graph Theory
18,Let G be a directed graph whose vertex set is the set of numbers from 1 to 100. There is an edge from a vertex i to a vertex j if either j = i + 1 or j = 3i. The minimum number of edges in a path in G from vertex 1 to vertex 100 is,,4,,7,,23,,99,,B,MCQ,"The task is to find minimum number of edges in a path in G from vertex 1 to vertex 100 such that we can move to either i+1 or 3i from a vertex i. Since the task is to minimize number of edges, we would prefer to follow 3*i. Let us follow multiple of 3. 1 => 3 => 9 => 27 => 81, now we can't follow multiple of 3. So we will have to follow i+1. This solution gives a long path. What if we begin from end, and we reduce by 1 if the value is not multiple of 3, else we divide by 3. 100 => 99 => 33 => 11 => 10 => 9 => 3 => 1 So we need total 7 edges.",,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
19,"In a schema with attributes A, B, C, D and E following set of functional dependencies are given A → B
A → C
CD → E
B → D
E → A Which of the following functional dependencies is NOT implied by the above set?",,CD → AC,,BD → CD,,BC → CD,,AC → BC,,B,MCQ,Please see this article to learn the concept http://geeksquiz.com/equivalence-of-functional-dependencies-sets/,,Databases,Database Design,"Integrity constraints, normal forms"
20,"Consider the entities 'hotel room', and 'person' with a many to many relationship 'lodging' as shown below: If we wish to store information about the rent payment to be made by person (s) occupying different hotel rooms, then this information should appear as an attribute of",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Question_Images/e11c3afba0210e62-adLnciogEgTAAwvBuqYucfrNzBB3NN.jpg,Person,,Hotel Room,,Lodging,,None of these,,C,MCQ,Lodging is the only attribute relating person and hotel room.,,Databases,Data Models,ER-model
21,"A table has fields Fl, F2, F3, F4, F5 with the following functional dependencies F1 → F3   F2→ F4   (F1 . F2) → F5 In terms of Normalization, this table is in",,1 NF,,2 NF,,3 NF,,none,,A,MCQ,"First Normal Form A relation is in first normal form if every attribute in that relation is singled valued attribute. Second Normal Form A relation is in 2NF iff it has No Partial Dependency, i.e. , no non-prime attribute (attributes which are not part of any candidate key) is dependent on any proper subset of any candidate key of the table. This table has Partial Dependency f1->f3, f2-> f4 given (F1,F2) is Key So answer is A",,Databases,Database Design,"Integrity constraints, normal forms"
22,"A company maintains records of sales made by its salespersons and pays them commission based on each individual's total sales made in a year. This data is maintained in a table with following schema: salesinfo = (salespersonid, totalsales, commission) In a certain year, due to better business results, the company decides to further reward its salespersons by enhancing the commission paid to them as per the following formula: If commission < = 50000, enhance it by 2% If 50000 < commission < = 100000, enhance it by 4% If commission > 100000, enhance it by 6% The IT staff has written three different SQL scripts to calculate enhancement for each slab, each of these scripts is to run as a separate transaction as follows: T1 Update salesinfo Set commission = commission * 1.02 Where commission < = 50000; T2 Update salesinfo Set commission = commission * 1.04 Where commission > 50000 and commission is < = 100000; T3 Update salesinfo Set commission = commission * 1.06 Where commission > 100000; Which of the following options of running these transactions will update the commission of all salespersons correctly",,Execute T1 followed by T2 followed by T3,,"Execute T2, followed by T3; T1 running concurrently throughout",,Execute T3 followed by T2; T1 running concurrently throughout,,Execute T3 followed by T2 followed by T1,,D,MCQ,"T3 followed by T2 followed by T1 If this sequence is not followed then it may happen that the Officer of one slab gets benefited twice. Say an officer is having commission as 99,999, He must get an updated commission according to T2. But then 99,999*1.04=1,03998 and he again becomes eligible for next slab of commission. T3 followed by T2 followed by T1 will be check all border cases like above.So Answer is D",,Databases,Transactions,Transactions and concurrency control
23,"In an inventory management system implemented at a trading corporation, there are several tables designed to hold all the information. Amongst these, the following two tables hold information on which items are supplied by which suppliers, and which warehouse keeps which items along with the stock-level of these items.  Supply = (supplierid, itemcode) Inventory = (itemcode, warehouse, stocklevel)  For a specific information required by the management, following SQL query has been written Select distinct STMP.supplierid From Supply as STMP Where not unique (Select ITMP.supplierid From Inventory, Supply as ITMP Where STMP.supplierid = ITMP.supplierid And ITMP.itemcode = Inventory.itemcode And Inventory.warehouse = 'Nagpur'); For the warehouse at Nagpur, this query will find all suppliers who",,do not supply any item,,supply exactly one item,,supply one or more items,,supply two or more items,,D,MCQ,"Here [not unique] in nested query ensures that only for those suppliers it return True which supplies more than 1 item in which case supplier id in inner query will be repeated for that supplier. Hence, answer is (D) supply two or more items.",,Databases,Data Models,Relational model
24,"A table 'student' with schema (roll, name, hostel, marks), and another table 'hobby' with schema (roll, hobbyname) contains records as shown below: Table: Student Roll Name Hostel Marks 1798 Manoj Rathod 7 95 2154 Soumic Banerjee 5 68 2369 Gumma Reddy 7 86 2581 Pradeep Pendse 6 92 2643 Suhas Kulkarni 5 78 2711 Nitin Kadam 8 72 2872 Kiran Vora 5 92 2926 Manoj Kunkalikar 5 94 2959 Hemant Karkhanis 7 88 3125 Rajesh Doshi 5 82 Table: hobby Roll Hobbyname 1798 chess 1798 music 2154 music 2369 swimming 2581 cricket 2643 chess 2643 hockey 2711 volleyball 2872 football 2926 cricket 2959 photography 3125 music 3125 chess The following SQL query is executed on the above tables: select hostel from student natural join hobby where marks > = 75 and roll between 2000 and 3000; Relations S and H with the same schema as those of these two tables respectively contain the same information as tuples. A new relation S’ is obtained by the following relational algebra operation:  S’ = ∏ hostel ((σ s.roll = H.roll (σ marks > 75 and roll > 2000 and roll < 3000 (S)) X (H))  The difference between the number of rows output by the SQL statement and the number of tuples in S’ is",,6,,4,,2,,0,,B,MCQ,"Output of above Query Roll Hostel 2369 7 2581 6 2643 5 2643 5 2872 5 2926 5 2959 7 Total   rows selected by running SQL Query: 7  Total rows by Relation Algebra : 4  i.e 5,6,7 (Unique values only)  7-3=4     Answer is B",,Databases,Data Models,Relational model
25,"A database table T1 has 2000 records and occupies 80 disk blocks. Another table T2 has 400 records and occupies 20 disk blocks. These two tables have to be joined as per a specified join condition that needs to be evaluated for every pair of records from these two tables. The memory buffer space available can hold exactly one block of records for T1 and one block of records for T2 simultaneously at any point in time. No index is available on either table. If, instead of Nested-loop join, Block nested-loop join is used, again with the most appropriate choice of table in the outer loop, the reduction in number of block accesses required for reading the data will be",,0,,30400,,38400,,798400,,B,MCQ,"Number of block access = n r * b s + b r where b r and b s are number of blocks in relations R and S respectively, and n r is the number of tuples in relation R. We select the relation with small number of tuples as outer relation R. So, R is T2. Number of block access = 400 * 80 + 20 = 32020 The memory buffer space holds one block of records for T1 and one block of records for T2 simultaneously. So, number of block accesses is 80 * 20 + 20 = 1620 So, Total number of block access = 32020 - 1620 = 30400 Thus, option (B) is correct.",,Databases,Data Models,Relational model
26,"A database table T1 has 2000 records and occupies 80 disk blocks. Another table T2 has 400 records and occupies 20 disk blocks. These two tables have to be joined as per a specified join condition that needs to be evaluated for every pair of records from these two tables. The memory buffer space available can hold exactly one block of records for T1 and one block of records for T2 simultaneously at any point in time. No index is available on either table. If Nested-loop join algorithm is employed to perform the join, with the most appropriate choice of table to be used in outer loop, the number of block accesses required for reading the data are",,800000,,40080,,32020,,100,,C,MCQ,"Number of block access = n r * b s + b r where b r and b s are number of blocks in relations R and S respectively, and n r is the number of tuples in relation R. We select the relation with small number of tuples as outer relation R. So, R is T2. Number of block access = 400 * 80 + 20 = 32020 Thus, option (C) is correct.",,Databases,Data Models,Relational model
27,"A bag contains 10 blue marbles, 20 green marbles and 30 red marbles. A marble is drawn from the bag, its colour recorded and it is put back in the bag. This process is repeated 3 times. The probability that no two of the marbles drawn have the same colour is",,1/36,,1/6,,1/4,,1/3,,B,MCQ,"As number of colors is 3,Possible combinations -> 3! = 6 Probability of Blue  marble: 10/60 Probability of Green  marble: 20/60 Probability of Red marble: 30/60 Probability that no two of the marbles drawn have the same colour is = 6 * (10/60 * 20/60 * 30/60) = 1/6 Therefore B is the Answer",,Engineering Mathematics,Probability and Statistics,Conditional probability and Bayes theorem
28,"An unbiased coin is tossed repeatedly until the outcome of two successive tosses is the same. Assuming that the trials are independent, the expected number of tosses is",,3,,4,,5,,6,,A,MCQ,,"https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Explanation_Images/97d9311551ec254c-jbdAVZbejtcQlMrU6vxS4UKwQsExtY.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Explanation_Images/56b2a1169cc7dcca-8c8xUOYg21w0I7XVrsyUdjvNGOLoUe.png",Engineering Mathematics,Probability and Statistics,Random variables
29,"Let f be a function from a set A to a set B, g a function from B to C, and h a function from A to C, such that h(a) = g(f(a)) for all a ∈ A. Which of the following statements is always true for all such functions f and g?",,g is onto => h is onto,,h is onto => f is onto,,h is onto => g is onto,,h is onto => f and g are onto,,C,MCQ,"g(f(a)) is a composition function, which is A → B → C . If h: A → C is onto, the composition must be onto, but the first function in the composition need not to be onto (surjective function), so g: B → C must be onto. So, option (C) is correct.",,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
30,"Let A be a set with n elements. Let C be a collection of distinct subsets of A such that for any two subsets S 1 and S 2 in C, either S 1 ⊂ S 2 or S 2 ⊂ S 1 . What is the maximum cardinality of C?",,n,,n + 1,,2 (n-1) + 1,,n!,,B,MCQ,"Here let n=2 A = {1, 2} All subsets formed by A are: - {}, {1}, {2}, {1,2}. C is a collection of distinct subsets such that for any S1, S2 either S1⊂S2 or S2⊂S1. So for C, {} null set can be included always since it null. set is a subset of every set. We can choose one from either {1} or {2}, {1,2} can be included to maximise the cardinality. So, here 1) If {1} is chosen then C = {}, {1}, {1,2} here every set is subset of other. 2) If {2} is chosen then C = {}, {2}, {1,2} here also every set is subset of other. So, answer should be 2 but it includes empty set also therefore the maximum cardinality of C is 3. Alternative approach: The description of set C in the question actually means that C is a total ordered set, so every subset of A in C should be of different size, since |A| = n, along with empty set, there are n + 1 possible sets in C, so the maximum cardinality of C is n + 1.",,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
31,How many pulses are needed to change the contents of a 8-bit up counter from 10101100 to 00100111 (rightmost bit is the LSB)?,,134,,133,,124,,123,,D,MCQ,8 bit Counter range 0-255 To go from 10101100 (172) to 00100111 (39) first counter will move from 172 to 255(255-172= 83 ) 255 to 0= 1 pulse and then  0 to 39(39-0= 39 ). Total=83+1+39=123 So answer is D,,Digital Logic,Combinational and sequential circuits,
32,Which of the following expressions is equivalent to (A⊕B)⊕C,,(A+B+C)(A¯+B¯+C¯),,(A+B+C)(A¯+B¯+C),,ABC+A¯(B⊕C)+B¯(A⊕C),,,,C,MCQ,"(A ⊕ B) ⊕ C By Solving, We get = (A ⊕ B)′ C + (A ⊕ B) C′ The above expression can be written as: = (A ⊙ B) C + (A ⊕ B) C′ Now, = (AB + A′B′) C + (A ⊕ B) C′ = ABC + A′B′C + AB′C′ + A′BC′	     [As: X + X = X] [So, A′B′C + A′B′C = A′B′C] = ABC + (A′B′C + A′B′C) + AB′C′ + A′BC′ This can be written as: = ABC + A′ (B ⊕ C) + B′ (A ⊕ C)",,Digital Logic,Boolean algebra,
33,Which of the following input sequences will always generate a 1 at the output z at the end of the third cycle?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Question_Images/4d921d5c76d3a417-8GKfuvKfEBP5uQqNqEK0KP2wFeCjc8.png,0 0 0 1 0 1 1 1 1,,1 0 1 1 1 0 1 1 1,,0 1 1 1 0 1 1 1 1,,0 0 1 1 1 0 1 1 1,,D,MCQ,"Let's take cycles as 1,2,3. There are two flip-flops, let's call them D1 and D2. And Q1, Q2 to be the output for flip-flop D1, D2 respectively. here Q11 means output of D1 flip-flop for 1st cycle, similarly Q12 is the output of D1 flip-flop for 2nd Cycle. A1, A2, A3 means input for A at cycles 1, 2, 3 respectively. Similarly for B and C. Let's check for the option D where: A1=0 A2=1 A3=1 B1=0 B2=1 B3=1 C1=1 C2=0 C3=1 Q11=0 Q12 = A1.B1 = 0.0 = 0 Q13 = A2.B2 = 1.1 = 1 ~Q11=1 ~Q12 = ~(A1.B1) = 1 ~Q13 = ~(A2.B2) = 0 Q21 = 0 Q22 = C1.(~Q11) = 1.1 = 1 Q23 = C2.(~Q12) = 0.1 = 0 Z1 = 0 Z2 = Q12.Q21 = 0.0 = 0 Z3 = Q13.Q22 = 1.1 = 1 Hence, sequence given in option D is generating a 1 at the output z at the end of the third cycle (Z3).",,Digital Logic,Combinational and sequential circuits,
34,"The circuit shown below implements a 2-input NOR gate using two 2-4 MUX (control signal 1 selects the upper input). What are the values of signals x, y and z?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Question_Images/7d175bcc9d4bcf3f-KgmcR5yEKAfEh7xkpa8VBhkBcuWNUW.png,"1, 0, B",,"1, 0, A",,"0, 1, B",,"0, 1, A",,D,MCQ,"In MUX1, equation is : g = Az + Bz’ In MUX2, equation is : f = xg + yg’ = x(Az + Bz’) + y (Az + Bz’)’ Function ‘f’  should be equal to (A + B)’ . Using hit and try method, put  x = 0, y = 1 and  z = A. f = 0(AA + BA’) + 1(AA + BA’)’ f = (A + A’B)’ f = (A + B)’ Thus, option (D) is correct.",,Digital Logic,Combinational and sequential circuits,
